Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(16 CPU)

20:53:07        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:53:12        all      0.04      0.00      0.05      0.01      0.00     99.90
20:53:17        all     26.34      0.00      1.40      0.03      0.00     72.24
20:53:22        all      0.03      0.00      0.03      0.00      0.00     99.95
20:53:27        all      6.06      0.00      0.28      0.01      0.00     93.65
20:53:32        all     16.71      0.00      1.38      0.03      0.00     81.88
20:53:37        all      0.01      0.00      0.01      0.01      0.00     99.96
Average:        all      8.16      0.00      0.52      0.01      0.00     91.30

20:53:07    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:53:12     51530156  59796492   4082336      6.30     74616   8719700   4681236      7.22   3902748   8555380       276
20:53:17     51459420  59725792   4152876      6.40     74628   8719716   4787492      7.38   4032048   8555416       204
20:53:22     51487484  59753868   4124788      6.36     74636   8719732   4784516      7.38   4030756   8555428      2200
20:53:27     51445368  59711792   4166920      6.43     74636   8719748   4788892      7.39   4078580   8555468      2216
20:53:32     51438500  59705048   4173568      6.44     74636   8719872   4815616      7.43   4111612   8555592     14764
20:53:37     51447384  59713932   4164668      6.42     74636   8719888   4843888      7.47   4113412   8555592     14580
Average:     51468052  59734487   4144193      6.39     74631   8719776   4783607      7.38   4044859   8555479      5707

20:53:07          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
20:53:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:12      nvme0n1      7.20      0.00    614.40      0.00     85.33      0.01      1.53      0.16
20:53:12    nvme0n1p1      7.20      0.00    614.40      0.00     85.33      0.01      1.56      0.16
20:53:12    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:12    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:12    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:17      nvme0n1     17.60      0.00    106.40      0.80      6.09      0.01      0.38      0.60
20:53:17    nvme0n1p1     17.60      0.00    106.40      0.80      6.09      0.01      0.36      0.60
20:53:17    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:17    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:17    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:22      nvme0n1      0.60      0.00      4.80      0.00      8.00      0.00      0.67      0.04
20:53:22    nvme0n1p1      0.60      0.00      4.80      0.00      8.00      0.00      0.67      0.04
20:53:22    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:22    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:22    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:27        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:27      nvme0n1      4.00      0.00     11.20      0.00      2.80      0.00      0.35      0.12
20:53:27    nvme0n1p1      4.00      0.00     11.20      0.00      2.80      0.00      0.40      0.12
20:53:27    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:27    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:27    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:32        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:32        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:32        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:32        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:32      nvme0n1     60.40      0.00    579.20      0.00      9.59      0.09      1.55      0.90
20:53:32    nvme0n1p1     60.40      0.00    579.20      0.00      9.59      0.09      1.55      0.90
20:53:32    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:32    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:32    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:37        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:37        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:37        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:37        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:37      nvme0n1      0.40      0.00      4.80      0.00     12.00      0.00      0.50      0.00
20:53:37    nvme0n1p1      0.40      0.00      4.80      0.00     12.00      0.00      1.00      0.00
20:53:37    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:37    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:53:37    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:      nvme0n1     15.03      0.00    220.13      0.13     14.65      0.02      1.26      0.30
Average:    nvme0n1p1     15.03      0.00    220.13      0.13     14.65      0.02      1.26      0.30
Average:    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
