Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(16 CPU)

20:47:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:48:04        all      1.54      0.00      0.86      0.00      0.00     97.60
20:48:09        all     52.31      0.00      3.79      0.05      0.00     43.85
20:48:14        all     26.90      0.00      3.24      0.12      0.00     69.74
20:48:19        all      4.92      0.00      0.83      0.04      0.00     94.22
20:48:24        all      0.50      0.00      0.33      0.00      0.00     99.17
20:48:29        all      7.71      0.00      1.45      0.06      0.00     90.78
20:48:34        all     14.99      0.00      2.45      0.08      0.00     82.48
20:48:39        all     16.96      0.00      2.62      0.09      0.00     80.33
20:48:44        all     15.87      0.00      2.41      0.08      0.00     81.63
20:48:49        all     14.98      0.00      2.39      0.13      0.00     82.51
20:48:54        all     17.38      0.00      2.84      0.10      0.00     79.68
20:48:59        all      5.06      0.00      0.85      0.01      0.00     94.07
Average:        all     14.85      0.00      2.00      0.06      0.00     83.09

20:47:59    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:48:04     51491468  59754712   4126828      6.36     73708   8717888   5861524      9.04   4033496   8553220      3068
20:48:09     51133684  59397108   4483800      6.91     73712   8718064   6202964      9.57   4380764   8553400     23240
20:48:14     51126828  59390552   4490292      6.92     73712   8718364   6214400      9.58   4393020   8553700     46032
20:48:19     51132592  59396448   4484356      6.92     73712   8718496   6212968      9.58   4391092   8553832     52372
20:48:24     51024548  59288244   4592524      7.08     73712   8718336   6218024      9.59   4510616   8553672     52340
20:48:29     51023056  59286868   4593728      7.08     73712   8718452   6219440      9.59   4528856   8553788     47648
20:48:34     51012248  59276272   4604324      7.10     73712   8718664   6230568      9.61   4550288   8554000     61660
20:48:39     50959472  59223652   4656852      7.18     73712   8718836   6235652      9.62   4582880   8554156     26800
20:48:44     50950692  59215280   4665240      7.19     73712   8719228   6238860      9.62   4588612   8554564     46536
20:48:49     50974352  59239228   4641256      7.16     73716   8719512   6244172      9.63   4585028   8554852     60808
20:48:54     50982772  59247904   4632596      7.14     73716   8719768   6244752      9.63   4574288   8555108     72664
20:48:59     50981540  59246728   4633820      7.15     73716   8719840   6247984      9.64   4573972   8555164     67280
Average:     51066104  59330250   4550468      7.02     73713   8718787   6197609      9.56   4474409   8554121     46704

20:47:59          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
20:48:04        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:04        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:04        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:04        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:04      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:04    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:04    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:04    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:04    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:09      nvme0n1     52.00      0.00    684.00     15.20     13.45      0.03      0.57      1.40
20:48:09    nvme0n1p1     52.00      0.00    684.00     15.20     13.45      0.03      0.57      1.42
20:48:09    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:09    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:09    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:14        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:14        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:14        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:14      nvme0n1     64.00     34.40    178.40      0.00      3.33      0.02      0.30      1.90
20:48:14    nvme0n1p1     64.00     34.40    178.40      0.00      3.33      0.02      0.30      1.90
20:48:14    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:14    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:14    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:48:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
