Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

18:26:58        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:27:03        all      0.20      0.00      0.30      0.00      0.00     99.50
18:27:08        all     28.96      0.00      1.30      0.10      0.00     69.64
18:27:13        all     45.03      0.00      0.90      0.00      0.00     54.07
18:27:18        all     50.35      0.00      1.31      0.00      0.00     48.34
18:27:23        all     28.36      0.00      1.20      0.10      0.00     70.34
18:27:28        all      0.20      0.00      0.10      0.00      0.00     99.70
18:27:33        all      2.20      0.00      0.40      0.00      0.00     97.39
18:27:38        all     47.34      0.00      1.61      0.10      0.00     50.95
18:27:43        all     26.49      0.00      1.11      0.00      0.00     72.41
18:27:48        all     31.49      0.00      2.51      0.10      0.00     65.90
18:27:53        all     14.00      0.00      0.91      0.20      0.00     84.89
18:27:58        all     30.82      0.00      1.81      0.00      0.00     67.37
18:28:03        all      0.00      0.00      0.10      0.00      0.00     99.90
Average:        all     23.48      0.00      1.04      0.05      0.00     75.43

18:26:58    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
18:27:03       351356   5198416   2082580     27.18     55892   4935088   2633896     34.37   1975688   4949848      2784
18:27:08       334724   5181788   2099212     27.40     55892   4935092   2648336     34.56   2007724   4949852      2788
18:27:13       305116   5152184   2128784     27.78     55892   4935100   2662704     34.75   2035576   4949860      2796
18:27:18       284956   5132032   2148936     28.05     55892   4935108   2674408     34.90   2048356   4949868      2584
18:27:23       288532   5135612   2145324     28.00     55892   4935112   2675824     34.92   2049792   4949872      2580
18:27:28       288532   5135620   2145312     28.00     55896   4935120   2676080     34.92   2050152   4949880       136
18:27:33       288532   5135628   2145308     28.00     55896   4935124   2676208     34.93   2050232   4949888        92
18:27:38       286780   5133884   2147052     28.02     55896   4935132   2682836     35.01   2056800   4949896      1696
18:27:43       276688   5123800   2157136     28.15     55896   4935140   2685284     35.04   2065728   4949904      2608
18:27:48       276440   5123604   2157332     28.15     55896   4935192   2686248     35.06   2066796   4949956     19804
18:27:53       272184   5119356   2161580     28.21     55896   4935200   2687088     35.07   2067672   4949964     19812
18:27:58       255972   5103168   2177800     28.42     55896   4935224   2689788     35.10   2077664   4949988     20432
18:28:03       266504   5113700   2167260     28.28     55900   4935228   2689788     35.10   2071064   4949988     20472
Average:       290486   5137599   2143355     27.97     55895   4935143   2674499     34.90   2047942   4949905      7583

18:26:58          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
18:27:03        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:03        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:03        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:03        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:03      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:03    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:03    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:03    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:03    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:08        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:08        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:08        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:08        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:08      nvme0n1      6.00      0.00     15.20      0.00      2.53      0.00      0.33      0.18
18:27:08    nvme0n1p1      6.00      0.00     15.20      0.00      2.53      0.00      0.37      0.18
18:27:08    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:08    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:08    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:13        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:13        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:13        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:13        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:13      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.12
18:27:13    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.12
18:27:13    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:13    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:13    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:18        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:27:18        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
