Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

18:29:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:29:19        all      0.10      0.00      0.30      0.00      0.00     99.60
18:29:24        all     88.06      0.00      2.11      0.00      0.00      9.83
18:29:29        all     44.27      0.00      1.71      0.00      0.00     54.02
18:29:34        all      0.10      0.00      0.20      0.10      0.00     99.60
18:29:39        all     25.15      0.00      0.80      0.00      0.00     74.04
18:29:44        all     87.59      0.00      4.50      0.10      0.00      7.81
18:29:49        all     43.10      0.00      2.32      0.70      0.00     53.88
18:29:54        all      0.00      0.00      0.20      0.10      0.00     99.70
Average:        all     36.07      0.00      1.52      0.13      0.00     62.28

18:29:14    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
18:29:19       386188   5242972   2037856     26.60     56516   4943928   2555236     33.35   1911340   4955436      2772
18:29:24       338828   5195616   2085148     27.21     56516   4943932   2585568     33.74   1964744   4955440      2776
18:29:29       338828   5195624   2085140     27.21     56516   4943940   2596036     33.88   1971572   4955448      2784
18:29:34       343260   5200064   2080700     27.15     56516   4943948   2596036     33.88   1971672   4955456      2572
18:29:39       338472   5195280   2085484     27.22     56516   4943952   2599640     33.93   1977732   4955460      2568
18:29:44       326136   5183040   2097724     27.38     56516   4944048   2606008     34.01   1988444   4955556     26832
18:29:49       308836   5177840   2102916     27.44     56516   4956148   2609036     34.05   2004764   4955616     29936
18:29:54       310352   5179364   2101392     27.42     56516   4956156   2609036     34.05   2004804   4955624     17788
Average:       336362   5196225   2084545     27.20     56516   4947006   2594574     33.86   1974384   4955504     11004

18:29:14          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
18:29:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:19        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:19      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:19    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:19    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:19    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:19    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:24        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:24        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:24        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:24        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:24      nvme0n1     14.80      0.00     40.00      0.00      2.70      0.01      0.32      0.38
18:29:24    nvme0n1p1     14.80      0.00     40.00      0.00      2.70      0.00      0.32      0.38
18:29:24    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:24    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:24    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:29        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:29        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:29:29        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
