Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

18:23:57        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:24:02        all     81.25      0.00      7.06      1.61      0.00     10.08
18:24:07        all     83.25      0.00      3.53      0.40      0.00     12.82
18:24:12        all     93.50      0.00      6.00      0.10      0.00      0.40
18:24:17        all     95.60      0.00      4.10      0.10      0.00      0.20
18:24:22        all     94.09      0.00      5.21      0.40      0.00      0.30
18:24:27        all     94.18      0.00      5.42      0.10      0.00      0.30
18:24:32        all     93.79      0.00      5.51      0.30      0.00      0.40
18:24:37        all     91.59      0.00      7.41      0.50      0.00      0.50
18:24:42        all      3.41      0.00      0.40      0.10      0.00     96.09
18:24:47        all      5.21      0.00      1.43      0.00      0.00     93.36
18:24:52        all     77.03      0.00      6.52      0.00      0.00     16.45
18:24:57        all     92.67      0.00      6.73      0.30      0.00      0.30
18:25:02        all     90.88      0.00      8.12      0.30      0.00      0.70
18:25:07        all     91.57      0.00      7.73      0.40      0.00      0.30
18:25:12        all     91.69      0.00      7.41      0.40      0.00      0.50
18:25:17        all     91.48      0.00      7.52      0.40      0.00      0.60
18:25:22        all     91.26      0.00      7.84      0.40      0.00      0.50
18:25:27        all     94.30      0.00      4.90      0.30      0.00      0.50
18:25:32        all     90.75      0.00      7.74      1.11      0.00      0.40
18:25:37        all     92.29      0.00      7.11      0.20      0.00      0.40
18:25:42        all     91.26      0.00      7.94      0.40      0.00      0.40
18:25:47        all     79.18      0.00      7.61      1.00      0.00     12.21
18:25:52        all      0.20      0.00      0.30      0.10      0.00     99.40
Average:        all     78.77      0.00      5.81      0.39      0.00     15.03

18:23:57    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
18:24:02       211360   5105660   2175428     28.39     61136   4975876   2971272     38.78   2092136   4977252     19728
18:24:07       193680   4987024   2293924     29.94     57344   4879488   3061764     39.96   2205252   4881532       284
18:24:12       135984   4942352   2338600     30.52     57344   4892512   3107344     40.55   2257256   4894556       304
18:24:17       134684   4948044   2332920     30.45     57344   4899492   3113392     40.63   2256424   4901548     33312
18:24:22       121256   4944924   2336024     30.49     57344   4909816   3117248     40.68   2269804   4911856     33516
18:24:27       188040   4939476   2341484     30.56     56140   4839068   3118024     40.69   2276104   4839908     27788
18:24:32       185772   4937840   2343044     30.58     56140   4839776   3119248     40.71   2273056   4840540     29120
18:24:37       165136   4919596   2361316     30.82     56144   4842136   3121568     40.74   2286952   4842932      3084
18:24:42       167184   4921720   2359236     30.79     56144   4842168   3121632     40.74   2283332   4843008      3092
18:24:47       159188   4845532   2435404     31.78     55580   4774760   3124016     40.77   2357860   4783896      3076
18:24:52       143088   4830668   2450204     31.98     55580   4775996   3126984     40.81   2367192   4785132     12572
18:24:57       143088   4831940   2448908     31.96     55580   4777292   3128668     40.83   2365520   4786404     71436
18:25:02       141324   4831316   2449440     31.97     55580   4778432   3130404     40.85   2368280   4787544     74532
18:25:07       137296   4828620   2452116     32.00     55588   4779776   3130724     40.86   2374328   4788876     17784
18:25:12       137296   4829372   2451300     31.99     55588   4780592   3130792     40.86   2370168   4789628     18036
18:25:17       136540   4829780   2450920     31.99     55588   4781728   3130856     40.86   2372404   4790792      8760
18:25:22       128980   4823376   2457396     32.07     55588   4782812   3134028     40.90   2382156   4791948      6080
18:25:27       122932   4818036   2462716     32.14     55596   4783536   3131372     40.87   2385860   4792656      2788
18:25:32       120692   4820456   2460224     32.11     55596   4788268   3135880     40.93   2384512   4797316      3280
18:25:37       119448   4820176   2460508     32.11     55596   4789228   3136072     40.93   2384752   4798280      1452
18:25:42       118440   4820332   2460512     32.11     55596   4790232   3136264     40.93   2385124   4799444       524
18:25:47       166796   4819992   2460780     32.12     55532   4741908   3136592     40.93   2376500   4760792       768
18:25:52       166796   4820000   2460772     32.11     55532   4741916   3136592     40.93   2376492   4760800       128
Average:       149783   4878967   2401877     31.35     56226   4816818   3117423     40.68   2323977   4823767     16150

18:23:57          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
18:24:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:02        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:02      nvme0n1     55.80      0.00  12806.40     36.80    230.16      0.45      8.07      3.46
18:24:02    nvme0n1p1     55.80      0.00  12806.40     36.80    230.16      0.45      8.07      3.68
18:24:02    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:02    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:02    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:07      nvme0n1     33.80     17.60   4240.80      0.00    125.99      0.15      4.52      1.58
18:24:07    nvme0n1p1     33.80     17.60   4240.80      0.00    125.99      0.15      4.51      1.64
18:24:07    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:07    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:07    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:12      nvme0n1    387.80   2604.80    269.60      0.00      7.41      0.15      0.38     11.84
18:24:12    nvme0n1p1    387.80   2604.80    269.60      0.00      7.41      0.15      0.38     12.30
18:24:12    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:12    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:12    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:17      nvme0n1    154.20   1306.40      8.80      0.00      8.53      0.07      0.43      5.98
18:24:17    nvme0n1p1    154.20   1306.40      8.80      0.00      8.53      0.07      0.43      6.16
18:24:17    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:17    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:17    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:22      nvme0n1    251.80   2050.40    888.80      0.00     11.67      0.12      0.48      7.34
18:24:22    nvme0n1p1    251.80   2050.40    888.80      0.00     11.67      0.12      0.48      7.62
18:24:22    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:22    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:22    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:27        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:27      nvme0n1     25.80    196.00     20.80      0.00      8.40      0.01      0.53      1.06
18:24:27    nvme0n1p1     25.80    196.00     20.80      0.00      8.40      0.01      0.53      1.06
18:24:27    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:27    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:27    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:32        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:32        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:32        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:32        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:32      nvme0n1     17.00    142.40     25.60      0.00      9.88      0.01      0.61      1.10
18:24:32    nvme0n1p1     17.00    142.40     25.60      0.00      9.88      0.01      0.61      1.10
18:24:32    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:32    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:32    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:37        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:37        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:37        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:37        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:37      nvme0n1    149.40    463.20    900.80      0.00      9.13      0.08      0.50      3.16
18:24:37    nvme0n1p1    149.40    463.20    900.80      0.00      9.13      0.08      0.50      3.22
18:24:37    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:37    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:37    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:42        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:42        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:42        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:42        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:42      nvme0n1      0.60      4.80      0.00      0.00      8.00      0.00      0.33      0.00
18:24:42    nvme0n1p1      0.60      4.80      0.00      0.00      8.00      0.00      0.67      0.00
18:24:42    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:42    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:42    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:47        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:47        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:47        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:47        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:47      nvme0n1      1.00      0.00     13.60      0.00     13.60      0.00      0.60      0.02
18:24:47    nvme0n1p1      1.00      0.00     13.60      0.00     13.60      0.00      0.60      0.04
18:24:47    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:47    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:47    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:52        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:52        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:52        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:52        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:52      nvme0n1    258.00    216.00    794.40      0.00      3.92      0.11      0.40      4.88
18:24:52    nvme0n1p1    258.00    216.00    794.40      0.00      3.92      0.10      0.40      4.92
18:24:52    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:52    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:52    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:57      nvme0n1    105.40    226.40    193.60      0.00      3.98      0.03      0.29      2.44
18:24:57    nvme0n1p1    105.40    226.40    193.60      0.00      3.98      0.03      0.29      2.46
18:24:57    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:57    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:24:57    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:02        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:02      nvme0n1     25.60    223.20      3.20      0.00      8.84      0.01      0.58      1.30
18:25:02    nvme0n1p1     25.60    223.20      3.20      0.00      8.84      0.01      0.58      1.32
18:25:02    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:02    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:02    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:07      nvme0n1    255.40    267.20   2544.80     67.20     11.27      0.15      0.58      2.92
18:25:07    nvme0n1p1    255.40    267.20   2544.80     67.20     11.27      0.15      0.58      3.00
18:25:07    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:07    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:07    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:12      nvme0n1     22.00    180.80      0.00      0.00      8.22      0.01      0.53      1.04
18:25:12    nvme0n1p1     22.00    180.80      0.00      0.00      8.22      0.01      0.52      1.04
18:25:12    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:12    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:12    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:17      nvme0n1     86.40    199.20   1166.40      0.00     15.81      0.07      0.84      1.98
18:25:17    nvme0n1p1     86.40    199.20   1166.40      0.00     15.81      0.07      0.84      2.64
18:25:17    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:17    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:17    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:22      nvme0n1     25.40    212.00      4.80      0.00      8.54      0.01      0.60      1.62
18:25:22    nvme0n1p1     25.40    212.00      4.80      0.00      8.54      0.02      0.59      1.62
18:25:22    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:25:22    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
