Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

18:20:58        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:21:03        all     79.58      0.00      7.68      1.82      0.00     10.92
18:21:08        all     78.65      0.00      3.42      0.30      0.00     17.62
18:21:13        all     94.39      0.00      5.41      0.00      0.00      0.20
18:21:18        all     95.70      0.00      3.90      0.00      0.00      0.40
18:21:23        all     93.78      0.00      5.92      0.00      0.00      0.30
18:21:28        all     95.59      0.00      4.21      0.00      0.00      0.20
18:21:33        all     94.30      0.00      5.30      0.00      0.00      0.40
18:21:38        all     91.79      0.00      7.91      0.00      0.00      0.30
18:21:43        all     24.72      0.00      1.91      0.00      0.00     73.37
18:21:48        all      5.79      0.00      1.12      0.10      0.00     92.99
18:21:53        all     49.24      0.00      3.25      0.00      0.00     47.51
18:21:58        all     91.69      0.00      7.91      0.00      0.00      0.40
18:22:03        all     90.87      0.00      8.63      0.00      0.00      0.50
18:22:08        all     91.19      0.00      8.51      0.00      0.00      0.30
18:22:13        all     90.28      0.00      9.22      0.00      0.00      0.50
18:22:18        all     91.48      0.00      8.22      0.00      0.00      0.30
18:22:23        all     91.18      0.00      8.22      0.00      0.00      0.60
18:22:28        all     92.48      0.00      6.71      0.00      0.00      0.80
18:22:33        all     92.58      0.00      7.02      0.00      0.00      0.40
18:22:38        all     91.79      0.00      7.71      0.00      0.00      0.50
18:22:43        all     92.90      0.00      6.70      0.00      0.00      0.40
18:22:48        all     91.37      0.00      8.13      0.00      0.00      0.50
18:22:53        all     43.04      0.00      4.00      0.00      0.00     52.95
Average:        all     80.70      0.00      6.13      0.10      0.00     13.07

18:20:58    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
18:21:03       234020   5077316   2203072     28.75     69740   4909688   2870276     37.46   2112912   4919656     19744
18:21:08       140304   4985088   2295096     29.95     69744   4911172   2953692     38.55   2198580   4921144       292
18:21:13       203684   4972316   2308048     30.12     68104   4838400   2984620     38.95   2233800   4846792       312
18:21:18       192056   4960828   2319536     30.27     68104   4838540   2992740     39.06   2245396   4846932      5272
18:21:23       181068   4950100   2330328     30.41     68104   4838800   2998560     39.13   2253964   4847192     32240
18:21:28       178044   4947092   2333336     30.45     68104   4838816   3001076     39.17   2262488   4847208     32952
18:21:33       175020   4944080   2336348     30.49     68104   4838828   3001848     39.18   2265772   4847220     34384
18:21:38       178580   4947668   2332760     30.44     68112   4838848   3002692     39.19   2261156   4847248      2632
18:21:43       183468   4952564   2327864     30.38     68112   4838856   3003272     39.19   2255260   4847256      2768
18:21:48       151412   4847240   2433372     31.76     66608   4768808   3092208     40.36   2350088   4775704      2760
18:21:53       139344   4835256   2445356     31.91     66608   4768892   3096784     40.42   2367064   4775788      5504
18:21:58       139648   4835740   2444872     31.91     66608   4769072   3098696     40.44   2373784   4775968     26656
18:22:03       136984   4833232   2447328     31.94     66608   4769228   3100508     40.46   2375532   4776124     39548
18:22:08       133656   4830244   2450284     31.98     66616   4769560   3112380     40.62   2379184   4776464     53308
18:22:13       128960   4825856   2454664     32.04     66616   4769868   3112840     40.62   2383792   4776712     23168
18:22:18       135572   4832692   2447828     31.95     66616   4770092   3112904     40.63   2378716   4776936     37620
18:22:23       130028   4827212   2453340     32.02     66616   4770156   3113100     40.63   2381748   4777000     37852
18:22:28       129020   4826228   2454324     32.03     66616   4770180   3113420     40.63   2383868   4777024     33212
18:22:33       127004   4824236   2456316     32.06     66616   4770204   3114004     40.64   2385836   4777048     21388
18:22:38       127004   4824256   2456296     32.06     66620   4770220   3114260     40.64   2386456   4777068     23772
18:22:43       127004   4824268   2456284     32.06     66620   4770232   3114516     40.65   2383312   4777080     23848
18:22:48       127004   4824292   2456260     32.06     66620   4770256   3114972     40.65   2385356   4777104      3880
18:22:53       202576   4826032   2454720     32.04     65100   4699684   3115292     40.66   2390060   4705012      4732
Average:       156585   4884949   2395549     31.26     67275   4799930   3058029     39.91   2321484   4807464     20341

18:20:58          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
18:21:03        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:03        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:03        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:03        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:03      nvme0n1     95.80      0.00  22639.20     28.80    236.62      2.15     22.42      6.32
18:21:03    nvme0n1p1     95.80      0.00  22639.20     28.80    236.62      2.15     22.42      6.64
18:21:03    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:03    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:03    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:08        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:08        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:08        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:08        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:08      nvme0n1     38.80      0.00   4260.00  34406.40    996.56      0.33      8.40      1.30
18:21:08    nvme0n1p1     38.80      0.00   4260.00  34406.40    996.56      0.33      8.40      1.36
18:21:08    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:08    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:08    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:13        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:13        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:13        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:13        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:13      nvme0n1     75.20     25.60    189.60      0.00      2.86      0.02      0.28      1.44
18:21:13    nvme0n1p1     75.20     25.60    189.60      0.00      2.86      0.02      0.28      1.46
18:21:13    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:13    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:13    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:18        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:18        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:18        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:18        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:18      nvme0n1     30.20     20.00     69.60      0.00      2.97      0.01      0.32      0.66
18:21:18    nvme0n1p1     30.20     20.00     69.60      0.00      2.97      0.01      0.31      0.64
18:21:18    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:18    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:18    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:23        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:23        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:23        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:23        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:23      nvme0n1     57.80      0.00   1022.40      0.00     17.69      0.07      1.22      0.28
18:21:23    nvme0n1p1     57.80      0.00   1022.40      0.00     17.69      0.07      1.23      0.30
18:21:23    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:23    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:23    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:28        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:21:28        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
