Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(4 CPU)

19:20:12        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:20:17        all      0.10      0.00      0.15      0.00      0.00     99.75
19:20:22        all     75.69      0.00      2.26      0.00      0.00     22.05
19:20:27        all      0.50      0.00      0.05      0.10      0.00     99.35
19:20:32        all      0.15      0.00      0.20      0.00      0.00     99.65
19:20:37        all     76.06      0.00      3.57      0.00      0.00     20.37
19:20:42        all     15.63      0.00      1.21      0.00      0.00     83.17
Average:        all     27.97      0.00      1.24      0.02      0.00     70.78

19:20:12    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
19:20:17      3439452  12143012   2747864     17.87     94264   8717040   3250300     21.14   2752144   8573220      2588
19:20:22      3362168  12065736   2825016     18.37     94264   8717048   3311688     21.54   2834676   8573228      2596
19:20:27      3388360  12091928   2798816     18.20     94264   8717056   3312396     21.54   2824372   8573228      2604
19:20:32      3401572  12105140   2785596     18.12     94264   8717064   3312396     21.54   2824372   8573228      2612
19:20:37      3365736  12069440   2821260     18.35     94264   8717184   3331752     21.67   2859824   8573364     15600
19:20:42      3366760  12070520   2820176     18.34     94268   8717240   3335644     21.69   2862912   8573420     18776
Average:      3387341  12090963   2799788     18.21     94265   8717105   3309029     21.52   2826383   8573281      7463

19:20:12          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
19:20:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:17      nvme0n1      6.00      0.00     62.40      0.00     10.40      0.01      0.80      0.06
19:20:17    nvme0n1p1      6.00      0.00     62.40      0.00     10.40      0.00      0.83      0.06
19:20:17    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:17    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:17    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:22      nvme0n1     13.20      0.00     36.00      0.00      2.73      0.00      0.33      0.46
19:20:22    nvme0n1p1     13.20      0.00     36.00      0.00      2.73      0.00      0.32      0.46
19:20:22    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:22    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:22    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:20:27        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
