Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(4 CPU)

19:16:41        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:16:46        all      0.10      0.00      0.15      0.00      0.00     99.75
19:16:51        all     14.36      0.00      0.55      0.05      0.00     85.03
19:16:56        all     30.45      0.00      1.01      0.00      0.00     68.55
19:17:01        all     26.93      0.00      0.90      0.05      0.00     72.11
19:17:06        all      9.80      0.00      0.50      0.05      0.00     89.65
19:17:11        all      0.15      0.00      0.05      0.00      0.00     99.80
19:17:16        all      1.05      0.00      0.15      0.05      0.00     98.75
19:17:21        all     31.06      0.00      0.95      0.05      0.00     67.94
19:17:26        all     12.36      0.00      0.65      0.00      0.00     86.98
19:17:31        all     12.71      0.00      1.00      0.00      0.00     86.29
19:17:36        all      6.62      0.00      0.55      0.10      0.00     92.72
19:17:41        all     10.36      0.00      0.65      0.05      0.00     88.93
19:17:46        all      0.15      0.00      0.05      0.00      0.00     99.80
Average:        all     11.99      0.00      0.55      0.03      0.00     87.42

19:16:41    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
19:16:46      3515376  12217668   2673520     17.39     94004   8716224   3154064     20.51   2669964   8572408      2456
19:16:51      3493064  12195376   2695824     17.53     94004   8716232   3168936     20.61   2716108   8572428      2460
19:16:56      3469396  12171716   2719456     17.69     94004   8716240   3197260     20.79   2757964   8572436      2468
19:17:01      3438008  12140340   2750816     17.89     94008   8716248   3205988     20.85   2793436   8572448      2640
19:17:06      3440668  12143008   2748148     17.87     94008   8716256   3210168     20.88   2797104   8572456      2648
19:17:11      3440908  12143248   2747896     17.87     94012   8716264   3210168     20.88   2796992   8572456      2772
19:17:16      3440908  12143268   2747888     17.87     94012   8716272   3210748     20.88   2797528   8572476       128
19:17:21      3396192  12098560   2792596     18.16     94012   8716280   3219068     20.94   2833884   8572484      1988
19:17:26      3395124  12097500   2793656     18.17     94012   8716288   3226572     20.98   2837480   8572492      3604
19:17:31      3394168  12096600   2794556     18.17     94012   8716344   3229520     21.00   2840200   8572548     20740
19:17:36      3394168  12096604   2794552     18.17     94012   8716348   3230420     21.01   2841216   8572552     20744
19:17:41      3393412  12095876   2795272     18.18     94016   8716372   3236712     21.05   2847624   8572580     21456
19:17:46      3393412  12095876   2795264     18.18     94016   8716380   3236712     21.05   2847624   8572580     21464
Average:      3431139  12133511   2757650     17.93     94010   8716288   3210487     20.88   2798240   8572488      8121

19:16:41          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
19:16:46        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:46        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:46        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:46        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:46      nvme0n1      0.20      0.00     29.60      0.00    148.00      0.00      1.00      0.02
19:16:46    nvme0n1p1      0.20      0.00     29.60      0.00    148.00      0.00      2.00      0.02
19:16:46    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:46    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:46    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:51        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:51        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:51        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:51        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:51      nvme0n1      6.20      0.00     16.00      0.00      2.58      0.00      0.35      0.20
19:16:51    nvme0n1p1      6.20      0.00     16.00      0.00      2.58      0.00      0.35      0.20
19:16:51    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:51    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:51    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:56        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:56        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:56      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.10
19:16:56    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.10
19:16:56    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:56    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:16:56    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:17:01        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:17:01        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:17:01        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:17:01        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:17:01      nvme0n1      5.00      0.80     14.40      0.00      3.04      0.00      0.36      0.20
19:17:01    nvme0n1p1      5.00      0.80     14.40      0.00      3.04      0.00      0.40      0.20
19:17:01    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:17:01    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:17:01    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
