Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(4 CPU)

19:14:36        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:14:41        all     36.29      0.00      4.15      1.18      0.00     58.38
19:14:46        all     83.07      0.00      2.97      0.00      0.00     13.95
19:14:51        all     93.78      0.00      5.27      0.05      0.00      0.90
19:14:56        all     92.28      0.00      6.66      0.00      0.00      1.05
19:15:01        all     70.10      0.00      7.63      0.00      0.00     22.28
19:15:06        all      2.71      0.00      0.45      0.05      0.00     96.79
19:15:11        all      3.26      0.00      1.02      0.10      0.00     95.61
19:15:16        all     90.07      0.00      8.98      0.15      0.00      0.80
19:15:21        all     88.81      0.00      9.28      0.00      0.00      1.91
19:15:26        all     89.92      0.00      9.03      0.00      0.00      1.05
19:15:31        all     90.12      0.00      8.88      0.00      0.00      1.00
19:15:36        all     89.86      0.00      8.94      0.00      0.00      1.20
19:15:41        all     88.97      0.00      9.87      0.00      0.00      1.15
19:15:46        all     21.11      0.00      1.71      0.25      0.00     76.93
Average:        all     67.29      0.00      6.07      0.13      0.00     26.52

19:14:36    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
19:14:41      3264424  11965760   2925816     19.03     93788   8715576   3661944     23.82   2933532   8571820       332
19:14:46      3119076  11820420   3070796     19.97     93788   8715584   3832932     24.93   3086368   8571828       180
19:14:51      3057364  11759232   3131992     20.37     93788   8716108   3898368     25.35   3153068   8572352     42144
19:14:56      3069796  11771680   3119544     20.29     93788   8716124   3904060     25.39   3150892   8572368     47536
19:15:01      3070420  11772328   3118732     20.28     93788   8716148   3905232     25.40   3157092   8572392     50044
19:15:06      2969988  11671896   3219140     20.94     93804   8716156   3908552     25.42   3241768   8572392     48056
19:15:11      2959948  11661732   3229368     21.00     93804   8716008   3909064     25.42   3248524   8572268     29096
19:15:16      2964788  11667716   3223384     20.96     93804   8717152   3914416     25.46   3262544   8573412     84988
19:15:21      2954640  11657612   3233460     21.03     93804   8717192   3916388     25.47   3281056   8573452     30180
19:15:26      2931108  11634112   3256960     21.18     93804   8717224   3917800     25.48   3291376   8573484     30852
19:15:31      2926544  11629584   3261488     21.21     93804   8717260   3918384     25.48   3301448   8573520     31144
19:15:36      2921944  11625016   3266052     21.24     93804   8717292   3918708     25.49   3300184   8573552     31696
19:15:41      2912724  11615832   3275236     21.30     93804   8717328   3919096     25.49   3311992   8573588     32092
19:15:46      2906924  11610040   3281028     21.34     93804   8717336   3919420     25.49   3327784   8573596     13780
Average:      3002121  11704497   3186643     20.72     93798   8716606   3888883     25.29   3217688   8572859     33723

19:14:36          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
19:14:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:41        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:41      nvme0n1     62.40      0.00  13280.00     20.80    213.15      0.44      6.99      3.60
19:14:41    nvme0n1p1     62.40      0.00  13280.00     20.80    213.15      0.44      6.99      3.78
19:14:41    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:41    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:41    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:46        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:46        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:46        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:46        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:46      nvme0n1     27.40      0.00    104.80      0.00      3.82      0.01      0.30      0.72
19:14:46    nvme0n1p1     27.40      0.00    104.80      0.00      3.82      0.01      0.30      0.72
19:14:46    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:46    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:46    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:51        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:51        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:51        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:51        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:51      nvme0n1     97.00     45.60    236.80      0.00      2.91      0.03      0.30      2.48
19:14:51    nvme0n1p1     97.00     45.60    236.80      0.00      2.91      0.03      0.30      2.48
19:14:51    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:51    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:51    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:56        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:14:56        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
