Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(4 CPU)

19:12:36        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:12:41        all     19.33      0.00      2.51      0.92      0.00     77.25
19:12:46        all     76.40      0.00      2.67      0.05      0.00     20.88
19:12:51        all     93.98      0.00      5.17      0.00      0.00      0.85
19:12:56        all     93.29      0.00      5.96      0.00      0.00      0.75
19:13:01        all     86.79      0.00      8.74      0.00      0.00      4.47
19:13:06        all      1.50      0.00      0.50      0.20      0.00     97.80
19:13:11        all      3.87      0.00      0.97      0.00      0.00     95.17
19:13:16        all     62.45      0.00      6.28      0.10      0.00     31.17
19:13:21        all     88.65      0.00      9.19      0.05      0.00      2.11
19:13:26        all     84.81      0.00      9.71      0.05      0.00      5.43
19:13:31        all     88.23      0.00     10.17      0.00      0.00      1.60
19:13:36        all     91.01      0.00      8.28      0.00      0.00      0.70
19:13:41        all     89.77      0.00      9.17      0.05      0.00      1.00
19:13:46        all     51.76      0.00      7.28      0.50      0.00     40.46
19:13:51        all      1.50      0.00      0.25      0.00      0.00     98.25
Average:        all     62.31      0.00      5.80      0.13      0.00     31.76

19:12:36    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
19:12:41      3208612  11908968   2982820     19.40     93484   8714960   3664220     23.83   2969148   8571152       332
19:12:46      3062732  11763100   3128328     20.34     93484   8714968   3797772     24.70   3109744   8571164       180
19:12:51      3010084  11710792   3180552     20.68     93484   8715308   3838152     24.96   3162844   8571504     33312
19:12:56      3013236  11714144   3177156     20.66     93484   8715508   3846000     25.01   3176080   8571704     49148
19:13:01      3016516  11717456   3173844     20.64     93484   8715540   3848124     25.03   3189616   8571736     46812
19:13:06      3024884  11725832   3165532     20.59     93484   8715548   3848512     25.03   3189588   8571744     31196
19:13:11      2935128  11635912   3255412     21.17     93492   8715380   3850584     25.04   3271132   8571580     30944
19:13:16      2932740  11633660   3257620     21.19     93492   8715512   3855896     25.08   3273308   8571716     16136
19:13:21      2917012  11618120   3273160     21.29     93492   8715700   3864196     25.13   3296872   8571904     35040
19:13:26      2923136  11624408   3266872     21.25     93492   8715864   3865744     25.14   3296944   8572068     44780
19:13:31      2923768  11625408   3265872     21.24     93492   8716232   3867288     25.15   3302232   8572436     58776
19:13:36      2904928  11606824   3284456     21.36     93492   8716488   3870932     25.17   3320456   8572692     68648
19:13:41      2911788  11613892   3277388     21.31     93496   8716692   3871388     25.18   3309888   8572900     75092
19:13:46      2910304  11612440   3278836     21.32     93496   8716724   3871564     25.18   3311800   8572932      5476
19:13:51      2891440  11593576   3297692     21.45     93496   8716732   3876852     25.21   3337908   8572932       312
Average:      2972421  11673635   3217703     20.93     93490   8715810   3842482     24.99   3234504   8572011     33079

19:12:36          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
19:12:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:41        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:41      nvme0n1     62.20      0.00  13294.40    248.00    217.72      1.33     21.42      3.64
19:12:41    nvme0n1p1     62.20      0.00  13294.40    248.00    217.72      1.33     21.42      3.82
19:12:41    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:41    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:41    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:46        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:46        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:46        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:46        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:46      nvme0n1     33.20      0.00    122.40      0.00      3.69      0.01      0.32      0.92
19:12:46    nvme0n1p1     33.20      0.00    122.40      0.00      3.69      0.01      0.33      0.92
19:12:46    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:46    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:46    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:51        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:51        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:51        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:51        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:51      nvme0n1     70.00     30.40    169.60      0.00      2.86      0.02      0.31      1.64
19:12:51    nvme0n1p1     70.00     30.40    169.60      0.00      2.86      0.02      0.31      1.64
19:12:51    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:51    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:51    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:56        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:56        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:12:56      nvme0n1     21.60     15.20     51.20      0.00      3.07      0.01      0.39      0.80
19:12:56    nvme0n1p1     21.60     15.20     51.20      0.00      3.07      0.01      0.38      0.80
