Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

20:02:50        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:02:56        all      0.05      0.00      0.08      0.03      0.00     99.85
20:03:01        all      5.66      0.00      0.30      0.00      0.00     94.04
20:03:06        all     12.68      0.00      0.45      0.03      0.00     86.84
20:03:10        all     12.48      0.00      0.40      0.05      0.00     87.06
20:03:16        all      4.71      0.00      0.30      0.03      0.00     94.96
20:03:21        all      0.03      0.00      0.03      0.00      0.00     99.95
20:03:26        all      0.65      0.00      0.08      0.00      0.00     99.27
20:03:31        all     11.95      0.00      0.43      0.00      0.00     87.62
20:03:36        all      4.38      0.00      0.35      0.03      0.00     95.24
20:03:41        all      7.07      0.00      0.58      0.03      0.00     92.33
20:03:46        all      2.83      0.00      0.30      0.03      0.00     96.84
20:03:51        all      5.49      0.00      0.33      0.05      0.00     94.13
20:03:56        all      0.03      0.00      0.05      0.00      0.00     99.92
Average:        all      5.23      0.00      0.28      0.02      0.00     94.47

20:02:50    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:02:56     19842664  28405460   2825756      8.87     80340   8716656   3364288     10.56   2725288   8559428       180
20:03:01     19856880  28419696   2811532      8.82     80340   8716664   3385620     10.62   2756980   8559448        36
20:03:06     19801272  28364100   2867112      9.00     80340   8716676   3409948     10.70   2830240   8559460        48
20:03:10     19753800  28316640   2914524      9.15     80340   8716688   3422148     10.74   2869416   8559472        60
20:03:16     19738660  28301512   2929656      9.19     80352   8716688   3427284     10.76   2885236   8559484        68
20:03:21     19750200  28313064   2918092      9.16     80352   8716712   3427604     10.76   2885552   8559496       196
20:03:26     19760232  28323104   2908056      9.13     80352   8716720   3427924     10.76   2882492   8559504       124
20:03:31     19729540  28292424   2938736      9.22     80352   8716732   3432624     10.77   2913384   8559516      2116
20:03:36     19727956  28290864   2940308      9.23     80352   8716744   3435004     10.78   2918524   8559540      3608
20:03:41     19707800  28270772   2960388      9.29     80352   8716820   3435520     10.78   2932952   8559604     21916
20:03:46     19705240  28268232   2962940      9.30     80352   8716828   3437576     10.79   2936060   8559624     21924
20:03:51     19696572  28259596   2971608      9.33     80356   8716856   3440028     10.80   2943476   8559656     22932
20:03:56     19697904  28260896   2970296      9.32     80356   8716868   3448416     10.82   2943476   8559656     22944
Average:     19751440  28314335   2916846      9.15     80349   8716742   3422614     10.74   2878698   8559530      7396

20:02:50          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
20:02:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:02:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:02:56        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:02:56        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:02:56      nvme0n1      6.40      0.00    543.20      0.00     84.88      0.01      1.66      0.14
20:02:56    nvme0n1p1      6.40      0.00    543.20      0.00     84.88      0.01      1.69      0.14
20:02:56    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:02:56    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:02:56    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:01        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:01        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:01        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:01        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:01      nvme0n1      6.40      0.00     45.60      0.00      7.12      0.00      0.38      0.22
20:03:01    nvme0n1p1      6.40      0.00     45.60      0.00      7.12      0.00      0.34      0.22
20:03:01    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:01    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:01    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:06        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:06        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:06        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:06        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:06      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.04
20:03:06    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.04
20:03:06    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:06    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:06    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:10        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:10        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:03:10        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
