Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

20:04:47        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:04:52        all      0.05      0.00      0.05      0.03      0.00     99.87
20:04:57        all     37.72      0.00      1.23      0.08      0.00     60.97
20:05:02        all      0.03      0.00      0.08      0.00      0.00     99.90
20:05:07        all      5.94      0.00      0.28      0.00      0.00     93.79
20:05:12        all     37.60      0.00      2.34      0.05      0.00     60.01
20:05:17        all      0.13      0.00      0.08      0.03      0.00     99.77
Average:        all     13.54      0.00      0.67      0.03      0.00     85.76

20:04:47    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:04:52     19851484  28415252   2815660      8.84     80764   8717032   3404268     10.68   2742180   8560196       276
20:04:57     19772348  28336148   2894604      9.08     80764   8717040   3504416     11.00   2853704   8560228       136
20:05:02     19776520  28340320   2890420      9.07     80764   8717052   3504416     11.00   2854132   8560228      2468
20:05:07     19756248  28320048   2910680      9.13     80764   8717064   3508604     11.01   2876808   8560228      2480
20:05:12     19710724  28274672   2955960      9.28     80764   8717188   3538828     11.11   2915992   8560376     18292
20:05:17     19717920  28281880   2948740      9.25     80776   8717200   3547664     11.13   2915996   8560388     18160
Average:     19764207  28328053   2902677      9.11     80766   8717096   3501366     10.99   2859802   8560274      6969

20:04:47          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
20:04:52        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:04:52        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:04:52        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:04:52        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:04:52      nvme0n1      5.40      0.00    623.20      0.00    115.41      0.01      1.89      0.16
20:04:52    nvme0n1p1      5.40      0.00    623.20      0.00    115.41      0.01      1.89      0.16
20:04:52    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:04:52    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:04:52    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:04:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:04:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:04:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:04:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:04:57      nvme0n1     16.00      0.00     72.00      0.00      4.50      0.01      0.36      0.52
20:04:57    nvme0n1p1     16.00      0.00     72.00      0.00      4.50      0.01      0.38      0.52
20:04:57    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:04:57    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
