Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

20:01:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:01:16        all      2.87      0.00      1.02      0.00      0.00     96.12
20:01:21        all     82.64      0.00      3.53      0.00      0.00     13.83
20:01:26        all     89.05      0.00      7.16      0.00      0.00      3.79
20:01:31        all     29.89      0.00      3.97      0.00      0.00     66.14
20:01:36        all      1.84      0.00      0.53      0.00      0.00     97.63
20:01:41        all     37.87      0.00      4.38      0.15      0.00     57.60
20:01:46        all     83.83      0.00     12.78      0.20      0.00      3.19
20:01:51        all     84.50      0.00     12.96      0.00      0.00      2.54
20:01:56        all     75.05      0.00     11.17      0.00      0.00     13.78
20:02:01        all      0.65      0.00      0.15      0.00      0.00     99.20
Average:        all     48.85      0.00      5.77      0.04      0.00     45.34

20:01:11    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:01:16     19650996  28212304   3019100      9.47     79828   8716020   4047520     12.70   2905988   8558556      2640
20:01:21     19416948  27978320   3252516     10.21     79828   8716084   4388904     13.77   3193920   8558620     12944
20:01:26     19217840  27779732   3451068     10.83     79828   8716604   4654080     14.61   3412672   8559140     49992
20:01:31     19138256  27700168   3530632     11.08     79828   8716624   4666216     14.64   3492840   8559160     50844
20:01:36     19047652  27609396   3621364     11.36     79828   8716460   4673824     14.67   3591024   8558992     50812
20:01:41     19010984  27573108   3657636     11.48     79840   8716840   4679216     14.68   3614900   8559372     52600
20:01:46     18987680  27550676   3680048     11.55     79840   8717700   4683404     14.70   3642112   8560244     99920
20:01:51     18988016  27551080   3679680     11.55     79840   8717764   4684112     14.70   3643576   8560312     25044
20:01:56     18932796  27495912   3734844     11.72     79840   8717816   4685148     14.70   3713660   8560364     25928
20:02:01     18951808  27514924   3715820     11.66     79840   8717828   4685132     14.70   3700232   8560364     25940
Average:     19134298  27696562   3534271     11.09     79834   8716974   4584756     14.39   3491092   8559512     39666

20:01:11          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
20:01:16        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:16        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:16        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:16        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:16      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:16    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:16    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:16    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:16    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:21        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:21        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:21        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:21        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:21      nvme0n1     44.40      0.00    564.00      0.00     12.70      0.02      0.51      1.36
20:01:21    nvme0n1p1     44.40      0.00    564.00      0.00     12.70      0.02      0.51      1.40
20:01:21    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:21    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:21    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:01:26      nvme0n1     85.00     45.60    230.40      0.00      3.25      0.03      0.34      2.86
20:01:26    nvme0n1p1     85.00     45.60    230.40      0.00      3.25      0.03      0.34      2.84
