Linux 6.17.0-1020-gcp (neo4j-baseline-16) 	07/04/26 	_x86_64_	(16 CPU)

23:45:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:45:10        all      1.84      0.00      0.52      0.21      0.00     97.43
23:45:15        all     55.35      0.00      2.94      0.03      0.00     41.69
23:45:20        all     26.96      0.00      2.62      0.11      0.00     70.30
23:45:25        all      4.78      0.00      0.53      0.05      0.00     94.65
23:45:30        all      0.64      0.00      0.25      0.00      0.00     99.11
23:45:35        all      8.13      0.00      1.12      0.06      0.00     90.68
23:45:40        all     14.62      0.00      1.95      0.13      0.00     83.31
23:45:45        all     15.83      0.00      2.14      0.08      0.00     81.95
23:45:50        all     14.87      0.00      1.96      0.10      0.00     83.06
23:45:55        all     15.71      0.00      1.90      0.10      0.00     82.30
23:46:00        all     17.17      0.00      2.46      0.10      0.00     80.27
23:46:05        all      5.10      0.00      0.65      0.08      0.00     94.17
Average:        all     15.04      0.00      1.58      0.09      0.00     83.29

23:45:05    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:45:10     52188448  60537356   4418952      6.71     74108   8717572   5967284      9.06   4155116   8553592       440
23:45:15     51822608  60171704   4784108      7.27     74108   8717760   6354660      9.65   4542660   8553780     25332
23:45:20     51823916  60173324   4782452      7.26     74108   8718076   6362296      9.66   4553472   8554092     44836
23:45:25     51848048  60197580   4758196      7.23     74108   8718200   6363008      9.66   4543356   8554216     49448
23:45:30     51752260  60101636   4854012      7.37     74108   8718052   6368500      9.67   4664516   8554072     49424
23:45:35     51744608  60094084   4861496      7.38     74108   8718152   6369724      9.67   4682868   8554172     41928
23:45:40     51732124  60081828   4873752      7.40     74116   8718372   6380636      9.69   4698952   8554400     59580
23:45:45     51728148  60078044   4877632      7.41     74116   8718564   6383436      9.70   4701820   8554592     23692
23:45:50     51712256  60062500   4893160      7.43     74116   8718924   6385288      9.70   4718528   8554940     43492
23:45:55     51699468  60050020   4905652      7.45     74116   8719220   6394896      9.71   4737636   8555248     58688
23:46:00     51705644  60056460   4899212      7.44     74116   8719484   6398136      9.72   4734472   8555512     70088
23:46:05     51709228  60060088   4895564      7.44     74116   8719548   6398252      9.72   4724256   8555556     53740
Average:     51788896  60138719   4817016      7.32     74112   8718494   6343843      9.64   4621471   8554514     43391

23:45:05          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
23:45:10        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:10        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:10        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:10        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:10          sda     60.20      0.00  13272.00     28.00    220.93      0.35      5.86      3.02
23:45:10         sda1     60.20      0.00  13272.00     28.00    220.93      0.35      5.86      3.16
23:45:10        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:10        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:10        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:15        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:15        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:15        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:15        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:15          sda     45.20      0.00    126.40      0.00      2.80      0.02      0.31      1.38
23:45:15         sda1     45.20      0.00    126.40      0.00      2.80      0.01      0.31      1.38
23:45:15        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:15        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:15        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:20        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:20        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:20        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:20        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:20          sda     64.20     34.40    180.00      0.00      3.34      0.02      0.33      1.92
23:45:20         sda1     64.20     34.40    180.00      0.00      3.34      0.02      0.33      1.92
23:45:20        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:20        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:20        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:25        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:45:25        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
