Linux 6.17.0-1020-gcp (neo4j-baseline-16) 	07/04/26 	_x86_64_	(16 CPU)

23:51:30        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:51:35        all      0.03      0.00      0.04      0.00      0.00     99.94
23:51:40        all     26.10      0.00      0.89      0.04      0.00     72.97
23:51:45        all      0.01      0.00      0.01      0.00      0.00     99.97
23:51:50        all     12.03      0.00      0.51      0.00      0.00     87.46
23:51:55        all      8.97      0.00      0.75      0.05      0.00     90.23
23:52:00        all      0.06      0.00      0.04      0.00      0.00     99.90
Average:        all      7.85      0.00      0.37      0.01      0.00     91.76

23:51:30    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:51:35     52159268  60513112   4439384      6.74     76028   8719916   4951548      7.52   4184636   8557164       388
23:51:40     52015800  60369688   4582600      6.96     76028   8719936   5076736      7.71   4341008   8557208       256
23:51:45     52021312  60375200   4577104      6.95     76028   8719952   5076736      7.71   4341000   8557208       272
23:51:50     52001248  60355172   4596828      6.98     76028   8719972   5171688      7.86   4387744   8557244      5084
23:51:55     52008120  60362120   4589912      6.97     76028   8720048   5179336      7.87   4386076   8557320     13488
23:52:00     52009844  60363864   4588160      6.97     76036   8720068   5211152      7.92   4389864   8557340     10472
Average:     52035932  60389859   4562331      6.93     76029   8719982   5111199      7.76   4338388   8557247      4993

23:51:30          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
23:51:35        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:35        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:35        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:35        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:35          sda      7.40      0.00    548.00      0.00     74.05      0.01      1.38      0.12
23:51:35         sda1      7.40      0.00    548.00      0.00     74.05      0.01      1.38      0.14
23:51:35        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:35        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:35        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:40        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:40        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:40        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:40        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:40          sda     16.00      0.00     72.80      0.00      4.55      0.01      0.30      0.32
23:51:40         sda1     16.00      0.00     72.80      0.00      4.55      0.00      0.30      0.32
23:51:40        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:40        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:40        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:45        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:45        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:45        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:45        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:45          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:45         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:45        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:45        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:45        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:50        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:50        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:50        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:50        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:50          sda      8.80      0.00     36.80      0.00      4.18      0.01      0.57      0.14
23:51:50         sda1      8.80      0.00     36.80      0.00      4.18      0.00      0.57      0.14
23:51:50        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:50        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:50        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:55        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:55        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:55        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:55        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:55          sda     53.60      0.00    523.20      0.00      9.76      0.06      1.14      0.78
23:51:55         sda1     53.60      0.00    523.20      0.00      9.76      0.06      1.14      0.78
23:51:55        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:55        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:51:55        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:52:00        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:52:00        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:52:00        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:52:00        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:52:00          sda      2.00      0.00     36.00      0.00     18.00      0.00      0.70      0.02
23:52:00         sda1      2.00      0.00     36.00      0.00     18.00      0.00      0.70      0.02
23:52:00        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:52:00        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:52:00        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          sda     14.63      0.00    202.80      0.00     13.86      0.01      0.94      0.23
Average:         sda1     14.63      0.00    202.80      0.00     13.86      0.01      0.94      0.23
Average:        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
