Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

21:18:26        CPU     %user     %nice   %system   %iowait    %steal     %idle
21:18:31        all     81.13      0.00      7.27      1.82      0.00      9.79
21:18:36        all     83.60      0.00      3.12      0.40      0.00     12.88
21:18:41        all     95.50      0.00      4.20      0.00      0.00      0.30
21:18:46        all     96.40      0.00      3.60      0.00      0.00      0.00
21:18:51        all     95.19      0.00      4.51      0.00      0.00      0.30
21:18:56        all     96.00      0.00      3.90      0.00      0.00      0.10
21:19:01        all     94.71      0.00      5.00      0.00      0.00      0.30
21:19:06        all     94.29      0.00      5.41      0.00      0.00      0.30
21:19:11        all     92.19      0.00      7.41      0.00      0.00      0.40
21:19:16        all     15.56      0.00      1.10      0.00      0.00     83.33
21:19:21        all      6.92      0.00      1.22      0.41      0.00     91.45
21:19:26        all     62.87      0.00      4.14      0.10      0.00     32.90
21:19:31        all     90.41      0.00      9.19      0.10      0.00      0.30
21:19:36        all     94.29      0.00      5.11      0.00      0.00      0.60
21:19:41        all     93.69      0.00      6.01      0.00      0.00      0.30
21:19:46        all     90.57      0.00      8.83      0.00      0.00      0.60
21:19:51        all     92.98      0.00      6.72      0.00      0.00      0.30
21:19:56        all     93.00      0.00      6.40      0.00      0.00      0.60
21:20:01        all     92.48      0.00      7.11      0.00      0.00      0.40
21:20:06        all     94.60      0.00      4.90      0.00      0.00      0.50
21:20:11        all     93.27      0.00      6.33      0.00      0.00      0.40
21:20:16        all     92.11      0.00      7.49      0.00      0.00      0.40
21:20:21        all     94.29      0.00      5.51      0.00      0.00      0.20
21:20:26        all     91.29      0.00      8.31      0.00      0.00      0.40
21:20:31        all     52.21      0.00      4.72      0.00      0.00     43.07
Average:        all     83.25      0.00      5.50      0.11      0.00     11.14

21:18:26    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
21:18:31       278792   5416220   2324208     28.60     77224   5191168   2969108     36.54   2300940   5124728     31984
21:18:36       181492   5308064   2432236     29.93     77224   5180376   3059364     37.65   2401528   5113936       260
21:18:41       137896   5264508   2475760     30.46     77224   5180416   3098236     38.12   2450844   5113976       272
21:18:46       188020   5246960   2493340     30.68     73920   5116816   3106868     38.23   2547820   4979304      2676
21:18:51       172148   5231364   2508940     30.87     73920   5117088   3112364     38.30   2554468   4979580     29244
21:18:56       170888   5230112   2510192     30.89     73920   5117096   3113792     38.32   2560216   4979588     32508
21:19:01       167864   5227112   2513188     30.92     73920   5117120   3115336     38.33   2564920   4979612     33292
21:19:06       166100   5225364   2514928     30.95     73928   5117136   3115848     38.34   2569284   4979628     35132
21:19:11       150196   5209504   2530796     31.14     73928   5117172   3122456     38.42   2582840   4979672      9808
21:19:16       150196   5209540   2530720     31.14     73932   5117244   3122528     38.42   2582820   4979708      9820
21:19:21       127496   5170204   2570128     31.63     72384   5102408   3156512     38.84   2455884   5134788      3588
21:19:26       208448   5150160   2590220     31.87     61340   5012928   3162388     38.91   2493276   5014244      4004
21:19:31       205688   5148392   2591988     31.89     61340   5013920   3166380     38.96   2497784   5015076     70852
21:19:36       201152   5143880   2596500     31.95     61340   5013944   3167488     38.98   2503308   5015100     73484
21:19:41       203384   5146124   2594256     31.92     61340   5013956   3168904     38.99   2494744   5015112     74268
21:19:46       188312   5131564   2608816     32.10     61340   5014476   3169412     39.00   2503924   5015136     25208
21:19:51       188312   5131596   2608792     32.10     61348   5014492   3169476     39.00   2505280   5015160     25476
21:19:56       188312   5131608   2608780     32.10     61348   5014504   3169476     39.00   2508664   5015172     20296
21:20:01       188312   5131636   2608752     32.10     61348   5014532   3169924     39.01   2510532   5015200      1068
21:20:06       188080   5131444   2608904     32.10     61356   5014564   3170056     39.01   2512056   5015236      2928
21:20:11       187052   5130440   2609912     32.12     61356   5014588   3170380     39.01   2514036   5015260      3140
21:20:16       185288   5128688   2611664     32.14     61356   5014600   3170572     39.01   2515364   5015272      2720
21:20:21       184592   5128668   2611668     32.14     61356   5015292   3170640     39.01   2517056   5015288      2864
21:20:26       185100   5129220   2611132     32.13     61356   5015320   3170960     39.02   2517676   5015172      2892
21:20:31       184596   5128728   2611624     32.14     61356   5015332   3170960     39.02   2518492   5015184      4288
Average:       183109   5185244   2555098     31.44     67216   5067060   3138377     38.62   2507350   5022245     20083

21:18:26          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
21:18:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:31        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:31          sda     60.20     23.20  12774.40    180.00    215.57      0.46      7.59      3.76
21:18:31         sda1     60.20     23.20  12774.40    180.00    215.57      0.46      7.59      3.92
21:18:31        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:31        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:31        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:36        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:36        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:36        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:36        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:36          sda     28.20      0.00   4230.40      0.00    150.01      0.16      5.52      1.26
21:18:36         sda1     28.20      0.00   4230.40      0.00    150.01      0.16      5.52      1.32
21:18:36        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:36        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:36        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:41        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:41          sda     59.80     10.40    158.40      0.00      2.82      0.03      0.48      2.34
21:18:41         sda1     59.80     10.40    158.40      0.00      2.82      0.03      0.48      2.34
21:18:41        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:41        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:41        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:46        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:46        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:46        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:46        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:46          sda     55.80     37.60    128.00      0.00      2.97      0.03      0.43      2.00
21:18:46         sda1     55.80     37.60    128.00      0.00      2.97      0.02      0.43      2.02
21:18:46        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:46        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:46        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:51        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:51        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:51        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:51        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:51          sda     47.80      0.80    914.40      0.00     19.15      0.06      1.27      0.62
21:18:51         sda1     47.80      0.80    914.40      0.00     19.15      0.06      1.27      0.66
21:18:51        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:51        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:51        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:56        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:56        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:56          sda      0.40      0.80      0.80      0.00      4.00      0.00      1.00      0.04
21:18:56         sda1      0.40      0.80      0.80      0.00      4.00      0.00      1.00      0.04
21:18:56        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:18:56        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
