Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

21:15:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
21:15:18        all     81.33      0.00      6.56      1.82      0.00     10.29
21:15:23        all     81.71      0.00      3.12      0.40      0.00     14.77
21:15:28        all     96.10      0.00      3.60      0.00      0.00      0.30
21:15:33        all     96.29      0.00      3.61      0.00      0.00      0.10
21:15:38        all     95.79      0.00      4.11      0.00      0.00      0.10
21:15:43        all     95.30      0.00      4.20      0.00      0.00      0.50
21:15:48        all     94.98      0.00      4.82      0.00      0.00      0.20
21:15:53        all     94.29      0.00      5.31      0.00      0.00      0.40
21:15:58        all     93.00      0.00      6.60      0.00      0.00      0.40
21:16:03        all     15.95      0.00      1.10      0.00      0.00     82.95
21:16:08        all      6.40      0.00      1.32      0.30      0.00     91.98
21:16:13        all     57.46      0.00      3.12      0.10      0.00     39.31
21:16:18        all     91.89      0.00      7.71      0.00      0.00      0.40
21:16:23        all     92.88      0.00      6.72      0.00      0.00      0.40
21:16:28        all     92.18      0.00      7.31      0.00      0.00      0.50
21:16:33        all     89.89      0.00      9.81      0.00      0.00      0.30
21:16:38        all     92.01      0.00      7.69      0.10      0.00      0.20
21:16:43        all     92.20      0.00      7.20      0.00      0.00      0.60
21:16:48        all     92.48      0.00      7.22      0.00      0.00      0.30
21:16:53        all     94.60      0.00      5.20      0.00      0.00      0.20
21:16:58        all     92.49      0.00      7.11      0.00      0.00      0.40
21:17:03        all     91.70      0.00      8.10      0.00      0.00      0.20
21:17:08        all     93.68      0.00      6.02      0.00      0.00      0.30
21:17:13        all     91.10      0.00      8.50      0.00      0.00      0.40
21:17:18        all     48.14      0.00      4.71      0.00      0.00     47.14
Average:        all     82.61      0.00      5.63      0.11      0.00     11.65

21:15:13    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
21:15:18       186472   5485880   2253788     27.73     79112   5343860   2920484     35.94   2224768   5274500     22068
21:15:23       200652   5398204   2341416     28.81     77980   5245412   2995188     36.86   2303212   5187212      2616
21:15:28       160836   5358444   2381176     29.30     77980   5245468   3025096     37.22   2337248   5187268      2628
21:15:33       157120   5354936   2384696     29.34     77980   5245676   3034320     37.34   2355944   5187476      2528
21:15:38       150052   5348132   2391496     29.43     77980   5245940   3038512     37.39   2364296   5187740     36904
21:15:43       142492   5340584   2399044     29.52     77980   5245952   3040316     37.41   2373748   5187752     41204
21:15:48       149548   5347648   2391980     29.43     77980   5245960   3043548     37.45   2370488   5187760     42132
21:15:53       133672   5331792   2407836     29.63     77984   5245976   3044192     37.46   2382172   5187780     18228
21:15:58       122080   5320216   2419412     29.77     77984   5245992   3052252     37.56   2384536   5187796     18628
21:16:03       127588   5325740   2413888     29.70     77984   5246008   3052844     37.57   2379956   5187812     14364
21:16:08       173292   5269560   2470204     30.40     76860   5147320   3181168     39.14   2446460   5088052       324
21:16:13       173292   5269656   2470108     30.39     76860   5147416   3190012     39.25   2456220   5088148      4604
21:16:18       157420   5253964   2485800     30.59     76860   5147596   3191956     39.28   2468264   5088328     26020
21:16:23       155404   5252088   2487676     30.61     76860   5147736   3193960     39.30   2466044   5088468     43288
21:16:28       151876   5248892   2490872     30.65     76860   5148068   3195960     39.33   2476832   5088800     53072
21:16:33       143588   5240848   2498908     30.75     76860   5148312   3196028     39.33   2482604   5089044     38736
21:16:38       135636   5233104   2506648     30.84     76860   5148524   3196348     39.33   2487620   5089252     49384
21:16:43       133648   5231176   2508588     30.87     76860   5148580   3195116     39.32   2493292   5089312     52892
21:16:48       123064   5220612   2519152     31.00     76860   5148600   3195824     39.32   2499812   5089332     35008
21:16:53       123064   5220624   2519140     31.00     76860   5148612   3196016     39.33   2499548   5089344     35260
21:16:58       121300   5218884   2520880     31.02     76860   5148636   3196404     39.33   2505324   5088672     30572
21:17:03       246856   5241044   2498768     30.75     76840   5047160   3196984     39.34   2509364   4987176      5096
21:17:08       244524   5238728   2501084     30.78     76840   5047176   3196984     39.34   2511544   4987192      5400
21:17:13       239484   5233716   2506096     30.84     76840   5047204   3196984     39.34   2516540   4987220      5348
21:17:18       172956   5167200   2572612     31.66     76840   5047216   3253264     40.03   2574616   4987232      2736
Average:       161037   5286067   2453651     30.19     77351   5174976   3128790     38.50   2434818   5115547     23562

21:15:13          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
21:15:18        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:18        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:18        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:18        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:18          sda     54.00      0.00  12774.40    248.00    241.16      0.44      8.12      3.54
21:15:18         sda1     54.00      0.00  12774.40    248.00    241.16      0.44      8.12      3.68
21:15:18        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:18        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:18        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:23        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:23        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:23        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:23        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:23          sda     30.60      0.00   4238.40      0.00    138.51      0.25      7.99      1.24
21:15:23         sda1     30.60      0.00   4238.40      0.00    138.51      0.24      7.99      1.30
21:15:23        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:23        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:23        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:28        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:28        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:28        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:28        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:28          sda     60.20     12.00    157.60      0.00      2.82      0.03      0.42      1.94
21:15:28         sda1     60.20     12.00    157.60      0.00      2.82      0.03      0.42      1.94
21:15:28        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:28        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:28        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:33        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:33        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:33        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:33        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:33          sda     62.20     33.60    619.20      0.00     10.50      0.04      0.63      1.80
21:15:33         sda1     62.20     33.60    619.20      0.00     10.50      0.04      0.63      1.80
21:15:33        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:33        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:33        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:38        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:38        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:38        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:38        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:38          sda     12.60      0.00    134.40      0.00     10.67      0.01      0.94      0.12
21:15:38         sda1     12.60      0.00    134.40      0.00     10.67      0.01      0.94      0.14
21:15:38        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:38        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:38        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:43        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:43        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:43        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:43        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:43          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:43         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:43        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:15:43        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
