Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

21:24:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
21:24:06        all      0.40      0.00      0.20      0.00      0.00     99.40
21:24:11        all     86.67      0.00      2.00      0.00      0.00     11.32
21:24:16        all     52.16      0.00      1.71      0.00      0.00     46.14
21:24:21        all      0.20      0.00      0.30      0.00      0.00     99.50
21:24:26        all     18.42      0.00      0.60      0.10      0.00     80.88
21:24:31        all     84.45      0.00      2.91      0.10      0.00     12.54
21:24:36        all     71.24      0.00      4.51      0.00      0.00     24.25
21:24:41        all      2.60      0.00      0.50      0.20      0.00     96.70
Average:        all     39.49      0.00      1.59      0.05      0.00     58.87

21:24:01    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
21:24:06       585592   5551272   2189292     26.94     62184   5037760   2678320     32.96   2072996   5027708      3332
21:24:11       536200   5501892   2238612     27.55     62184   5037768   2714644     33.40   2129652   5027720      3340
21:24:16       528172   5493872   2246632     27.64     62184   5037776   2720936     33.48   2135944   5027728      3348
21:24:21       539492   5505192   2235312     27.51     62184   5037780   2720936     33.48   2135964   5027728      3152
21:24:26       537408   5503120   2237388     27.53     62184   5037788   2722868     33.51   2140488   5027740        36
21:24:31       522908   5488640   2251868     27.71     62184   5037808   2732896     33.63   2153992   5027760      3704
21:24:36       513652   5479548   2260960     27.82     62188   5037968   2735148     33.66   2159016   5027924     26544
21:24:41       520512   5486408   2254096     27.74     62188   5037972   2735472     33.66   2159300   5027924     15096
Average:       535492   5501243   2239270     27.55     62185   5037828   2720152     33.47   2135919   5027779      7319

21:24:01          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
21:24:06        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:06        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:06        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:06        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:06          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:06         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:06        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:06        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:06        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:11        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:11        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:11        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:11        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:11          sda     13.80      0.00     38.40      0.00      2.78      0.01      0.46      0.50
21:24:11         sda1     13.80      0.00     38.40      0.00      2.78      0.01      0.46      0.50
21:24:11        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:11        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:11        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:16        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:16        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:16        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:16        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:16          sda      1.80      0.00      4.00      0.00      2.22      0.00      0.33      0.06
21:24:16         sda1      1.80      0.00      4.00      0.00      2.22      0.00      0.33      0.06
21:24:16        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:16        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:16        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:21        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:21        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:21        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:21        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:21          sda      4.80      0.00     28.00      0.00      5.83      0.00      1.00      0.04
21:24:21         sda1      4.80      0.00     28.00      0.00      5.83      0.00      1.00      0.04
21:24:21        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:21        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:21        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:26          sda     13.60      0.00    643.20      0.00     47.29      0.03      1.96      0.44
21:24:26         sda1     13.60      0.00    643.20      0.00     47.29      0.03      1.96      0.44
21:24:26        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:26        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:26        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:31        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:31          sda     20.40      0.00     58.40      0.00      2.86      0.01      0.44      0.68
21:24:31         sda1     20.40      0.00     58.40      0.00      2.86      0.01      0.44      0.68
21:24:31        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:31        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:31        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:36        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:36        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:36        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:36        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:36          sda      0.60      0.00     32.00      0.00     53.33      0.00      1.00      0.06
21:24:36         sda1      0.60      0.00     32.00      0.00     53.33      0.00      1.00      0.06
21:24:36        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:36        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:36        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:41        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:41          sda     41.20      0.00    380.80      0.00      9.24      0.03      0.81      0.38
21:24:41         sda1     41.20      0.00    380.80      0.00      9.24      0.03      0.81      0.42
21:24:41        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:41        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:24:41        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          sda     12.03      0.00    148.10      0.00     12.32      0.01      0.84      0.27
Average:         sda1     12.03      0.00    148.10      0.00     12.32      0.01      0.84      0.28
Average:        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
