Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/04/26 	_x86_64_	(4 CPU)

22:13:45        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:13:50        all     31.87      0.00      2.65      0.87      0.00     64.61
22:13:55        all     83.04      0.00      2.32      0.05      0.00     14.59
22:14:00        all     94.54      0.00      4.36      0.00      0.00      1.10
22:14:05        all     93.79      0.00      5.76      0.00      0.00      0.45
22:14:10        all     93.03      0.00      6.07      0.00      0.00      0.90
22:14:15        all     34.27      0.00      3.51      0.20      0.00     62.02
22:14:20        all      3.03      0.00      0.81      0.00      0.00     96.17
22:14:25        all     44.72      0.00      4.04      0.35      0.00     50.88
22:14:30        all     90.43      0.00      8.57      0.00      0.00      1.00
22:14:35        all     90.62      0.00      8.33      0.00      0.00      1.05
22:14:40        all     90.88      0.00      8.32      0.00      0.00      0.80
22:14:45        all     91.42      0.00      7.92      0.00      0.00      0.65
22:14:50        all     90.29      0.00      9.01      0.00      0.00      0.70
22:14:55        all     86.55      0.00      9.73      0.00      0.00      3.71
22:15:00        all      8.06      0.00      1.15      0.70      0.00     90.09
Average:        all     68.51      0.00      5.51      0.14      0.00     25.84

22:13:45    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
22:13:50      4086316  12836492   3094604     18.90     91408   8717380   3844100     23.48   3071128   8569840       328
22:13:55      3939652  12689844   3240964     19.80     91408   8717388   4007764     24.48   3230052   8569856       176
22:14:00      3892864  12643476   3287328     20.08     91408   8717808   4041284     24.69   3280400   8570276     24964
22:14:05      3894384  12645160   3285644     20.07     91408   8717972   4048972     24.73   3291928   8570440     47120
22:14:10      3882040  12632832   3297940     20.14     91408   8717988   4052808     24.76   3304500   8570456     47520
22:14:15      3884280  12635088   3295684     20.13     91408   8718004   4057448     24.78   3310464   8570472     28928
22:14:20      3793032  12543688   3387048     20.69     91416   8717848   4061304     24.81   3401976   8570320     28700
22:14:25      3762968  12513956   3416784     20.87     91416   8718176   4071260     24.87   3427868   8570652     20772
22:14:30      3758844  12510684   3420056     20.89     91416   8719028   4074352     24.89   3433116   8571504     77856
22:14:35      3762688  12514560   3416180     20.87     91416   8719060   4075124     24.89   3436632   8571536     78656
22:14:40      3753788  12505692   3425048     20.92     91416   8719092   4075900     24.90   3448228   8571568     79264
22:14:45      3747356  12499292   3431448     20.96     91416   8719124   4078744     24.91   3453680   8571600     79488
22:14:50      3747232  12499208   3431536     20.96     91420   8719160   4079200     24.92   3454728   8571640     79892
22:14:55      3723636  12475640   3455104     21.10     91420   8719188   4079780     24.92   3462024   8571668     77880
22:15:00      3736584  12488596   3442156     21.03     91420   8719196   4079844     24.92   3461612   8571676       140
Average:      3824378  12575614   3355168     20.49     91414   8718427   4048526     24.73   3364556   8570900     44779

22:13:45          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
22:13:50        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:13:50        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:13:50        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:13:50        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:13:50          sda     65.00      0.00  13412.00     57.60    207.22      0.45      6.91      3.70
22:13:50         sda1     65.00      0.00  13412.00     57.60    207.22      0.45      6.91      3.88
22:13:50        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:13:50        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:13:50        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:13:55        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:13:55        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:13:55        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:13:55        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:13:55          sda     25.00      0.00     98.40      0.00      3.94      0.01      0.46      1.00
22:13:55         sda1     25.00      0.00     98.40      0.00      3.94      0.01      0.45      1.00
22:13:55        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:13:55        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:13:55        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:00        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:00        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:00        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:00        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:00          sda     99.40     45.60    243.20      0.00      2.91      0.05      0.43      3.62
22:14:00         sda1     99.40     45.60    243.20      0.00      2.91      0.04      0.43      3.62
22:14:00        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:00        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:00        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:05        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:05        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:05        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:05        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:05          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:05         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:05        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:14:05        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
