Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/04/26 	_x86_64_	(4 CPU)

22:11:39        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:11:44        all     36.16      0.00      2.89      0.91      0.00     60.03
22:11:49        all     77.66      0.00      2.62      0.05      0.00     19.67
22:11:54        all     94.79      0.00      4.11      0.05      0.00      1.05
22:11:59        all     92.27      0.00      6.43      0.05      0.00      1.26
22:12:04        all     91.39      0.00      7.56      0.00      0.00      1.05
22:12:09        all     17.54      0.00      2.06      0.20      0.00     80.20
22:12:14        all      3.49      0.00      0.96      0.00      0.00     95.55
22:12:19        all     45.52      0.00      4.00      0.05      0.00     50.43
22:12:24        all     89.21      0.00      9.73      0.05      0.00      1.00
22:12:29        all     88.54      0.00      9.65      0.10      0.00      1.70
22:12:34        all     89.51      0.00      9.43      0.00      0.00      1.05
22:12:39        all     91.28      0.00      7.92      0.00      0.00      0.80
22:12:44        all     90.42      0.00      8.63      0.00      0.00      0.95
22:12:49        all     87.09      0.00      9.96      0.00      0.00      2.95
22:12:54        all      7.82      0.00      0.90      0.00      0.00     91.27
Average:        all     66.92      0.00      5.80      0.10      0.00     27.18

22:11:39    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
22:11:44      4145416  12894576   3036648     18.55     91080   8716788   3776404     23.07   3020944   8569168       332
22:11:49      3969548  12718716   3212140     19.62     91080   8716796   3898408     23.81   3183048   8569176       184
22:11:54      3937768  12687268   3243584     19.81     91080   8717128   3929736     24.00   3233052   8569508     26308
22:11:59      3926800  12676552   3254300     19.88     91080   8717380   3952868     24.15   3250352   8569760     47384
22:12:04      3928900  12678676   3252176     19.87     91080   8717404   3955184     24.16   3265648   8569784     47920
22:12:09      3935324  12685100   3245744     19.83     91080   8717412   3955452     24.16   3265612   8569784     29056
22:12:14      3839476  12589084   3341728     20.41     91088   8717248   3960276     24.19   3351280   8569628     28748
22:12:19      3813136  12562852   3367808     20.57     91088   8717348   3987908     24.36   3383132   8569736     14244
22:12:24      3803732  12553628   3377032     20.63     91088   8717528   3995476     24.41   3389428   8569916     34488
22:12:29      3805728  12555776   3374884     20.61     91088   8717680   3997148     24.42   3397992   8570068     45716
22:12:34      3796400  12546816   3383776     20.67     91088   8718052   4001240     24.44   3404344   8570436     60424
22:12:39      3792172  12542812   3387780     20.69     91088   8718276   4001688     24.44   3410264   8570660     71680
22:12:44      3773940  12524832   3405772     20.80     91092   8718520   4002468     24.45   3423908   8570912     79800
22:12:49      3775296  12526260   3404472     20.80     91092   8718592   4003048     24.45   3425856   8570984      8492
22:12:54      3775484  12526448   3404276     20.79     91092   8718600   4003032     24.45   3425332   8570984      3648
Average:      3867941  12617960   3312808     20.24     91086   8717650   3961356     24.20   3322013   8570034     33228

22:11:39          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
22:11:44        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:44        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:44        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:44        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:44          sda     65.00      0.00  13454.40  13755.20    418.61      0.47      7.18      3.80
22:11:44         sda1     65.00      0.00  13454.40  13755.20    418.61      0.47      7.18      3.88
22:11:44        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:44        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:44        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:49        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:49        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:49        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:49        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:49          sda     29.00      0.00    108.00      0.00      3.72      0.01      0.43      1.16
22:11:49         sda1     29.00      0.00    108.00      0.00      3.72      0.01      0.42      1.16
22:11:49        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:49        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:49        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:54        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:54        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:54        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:54        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:54          sda     74.00     30.40    182.40      0.00      2.88      0.03      0.44      2.98
22:11:54         sda1     74.00     30.40    182.40      0.00      2.88      0.03      0.44      2.98
22:11:54        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:54        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:54        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:59        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:59        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:59        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:59        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:59          sda     21.40     15.20     50.40      0.00      3.07      0.01      0.43      0.90
22:11:59         sda1     21.40     15.20     50.40      0.00      3.07      0.01      0.43      0.90
22:11:59        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:11:59        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
