Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/04/26 	_x86_64_	(4 CPU)

22:19:32        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:19:37        all      0.20      0.00      0.15      0.00      0.00     99.65
22:19:42        all     82.41      0.00      1.70      0.00      0.00     15.89
22:19:47        all      1.10      0.00      0.05      0.00      0.00     98.85
22:19:52        all      0.10      0.00      0.10      0.00      0.00     99.80
22:19:57        all     76.74      0.00      2.91      0.05      0.00     20.30
22:20:02        all     28.13      0.00      1.65      0.00      0.00     70.21
Average:        all     31.43      0.00      1.09      0.01      0.00     67.46

22:19:32    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
22:19:37      4917828  13670416   2260124     13.81     92240   8718584   2735572     16.71   2225488   8571588      3256
22:19:42      4852424  13605032   2325392     14.20     92240   8718592   2802408     17.12   2309236   8571608      3264
22:19:47      4888728  13641336   2289080     13.98     92240   8718600   2802408     17.12   2304100   8571608      3272
22:19:52      4894728  13647336   2283076     13.95     92240   8718604   2802408     17.12   2304100   8571608      3276
22:19:57      4827452  13580144   2350284     14.36     92240   8718676   2814532     17.19   2356080   8571692     20072
22:20:02      4839400  13592208   2338220     14.28     92244   8718788   2820724     17.23   2362184   8571808     25164
Average:      4870093  13622745   2307696     14.10     92241   8718641   2796342     17.08   2310198   8571652      9717

22:19:32          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
22:19:37        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:37        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:37        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:37        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:37          sda      0.20      0.00     29.60      0.00    148.00      0.00      2.00      0.02
22:19:37         sda1      0.20      0.00     29.60      0.00    148.00      0.00      1.00      0.02
22:19:37        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:37        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:37        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:42        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:42        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:42        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:42        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:42          sda     13.20      0.00     36.00      0.00      2.73      0.01      0.42      0.48
22:19:42         sda1     13.20      0.00     36.00      0.00      2.73      0.01      0.44      0.48
22:19:42        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:42        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:42        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:47        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:47        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:47        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:47        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:19:47          sda      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.10
22:19:47         sda1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.10
22:19:47        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
