Linux 6.17.0-1020-gcp (neo4j-baseline-8) 	07/04/26 	_x86_64_	(8 CPU)

23:01:45        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:01:50        all      3.37      0.00      1.14      0.03      0.00     95.47
23:01:55        all     82.28      0.00      2.79      0.03      0.00     14.90
23:02:00        all     91.40      0.00      6.32      0.03      0.00      2.26
23:02:05        all     35.50      0.00      4.47      0.00      0.00     60.04
23:02:10        all      1.63      0.00      0.48      0.00      0.00     97.89
23:02:15        all     30.94      0.00      3.16      0.08      0.00     65.82
23:02:20        all     86.08      0.00     11.28      0.13      0.00      2.51
23:02:25        all     85.96      0.00     12.19      0.00      0.00      1.86
23:02:30        all     85.64      0.00     12.53      0.00      0.00      1.83
23:02:35        all     12.74      0.00      1.88      0.00      0.00     85.39
Average:        all     51.60      0.00      5.63      0.03      0.00     42.74

23:01:45    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:01:50     20581404  29192960   3080004      9.37     80060   8716624   4068552     12.38   2937736   8558528       392
23:01:55     20335412  28947008   3325316     10.12     80060   8716664   4410884     13.42   3231336   8558568     10860
23:02:00     20284096  28896248   3376076     10.27     80060   8717216   4450716     13.54   3286580   8559120     51256
23:02:05     20043464  28655644   3616648     11.01     80060   8717244   4705284     14.32   3531152   8559148     52500
23:02:10     19946552  28558564   3713632     11.30     80060   8717076   4709812     14.33   3632344   8558980     52456
23:02:15     19907624  28519916   3752208     11.42     80068   8717348   4741032     14.43   3682692   8559260     43540
23:02:20     19894048  28507312   3764776     11.46     80068   8718320   4749020     14.45   3708924   8560232    102300
23:02:25     19877548  28490872   3781216     11.51     80068   8718380   4752804     14.46   3711244   8560292     76528
23:02:30     19858264  28471640   3800480     11.57     80068   8718432   4753580     14.47   3732776   8560344     26340
23:02:35     19874516  28487904   3784216     11.52     80068   8718444   4753696     14.47   3726424   8560356     26480
Average:     20060293  28672807   3599457     10.95     80064   8717575   4609538     14.03   3518121   8559483     44265

23:01:45          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
23:01:50        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:50        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:50        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:50        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:50          sda      6.40      0.00    503.20      0.00     78.62      0.01      1.75      0.14
23:01:50         sda1      6.40      0.00    503.20      0.00     78.62      0.01      1.75      0.14
23:01:50        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:50        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:50        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:55        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:55        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:55        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:55        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:55          sda     34.80      0.00    124.80      0.00      3.59      0.01      0.35      0.96
23:01:55         sda1     34.80      0.00    124.80      0.00      3.59      0.01      0.35      0.96
23:01:55        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:55        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:55        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:00        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:00        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:00        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:00        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:00          sda     89.60     45.60    215.20      0.00      2.91      0.03      0.33      2.46
23:02:00         sda1     89.60     45.60    215.20      0.00      2.91      0.03      0.33      2.46
23:02:00        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:00        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:00        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:05        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:05        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:05        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:05        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:05          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:05         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:05        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:05        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:05        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:10        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:10        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:10        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:10        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:10          sda      1.00      0.00     20.00      0.00     20.00      0.00      0.60      0.06
23:02:10         sda1      1.00      0.00     20.00      0.00     20.00      0.00      0.60      0.08
23:02:10        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:10        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:10        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:15        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:15        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:15        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:15        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:15          sda    163.20     49.60   1591.20     79.20     10.54      0.21      1.26      2.88
23:02:15         sda1    163.20     49.60   1591.20     79.20     10.54      0.21      1.26      2.92
23:02:15        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:15        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:15        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:20        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:20        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:20        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:20        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:20          sda    229.00    128.80    548.00      0.00      2.96      0.07      0.29      6.06
23:02:20         sda1    229.00    128.80    548.00      0.00      2.96      0.07      0.29      6.06
23:02:20        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:20        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:20        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:25        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:25        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:25        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:25        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:25          sda     94.40      0.00    793.60      0.00      8.41      0.07      0.78      0.58
23:02:25         sda1     94.40      0.00    793.60      0.00      8.41      0.07      0.78      0.60
23:02:25        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:25        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:25        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:30        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:30        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:30        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:30        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:30          sda    178.20      0.00   1606.40      0.00      9.01      0.15      0.87      0.92
23:02:30         sda1    178.20      0.00   1606.40      0.00      9.01      0.15      0.87      0.98
23:02:30        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:30        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:30        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:35        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:35        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:35        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:35        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:35          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:35         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:35        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:35        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:02:35        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          sda     79.66     22.40    540.24      7.92      7.16      0.06      0.70      1.41
Average:         sda1     79.66     22.40    540.24      7.92      7.16      0.06      0.70      1.42
Average:        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
