Linux 6.17.0-1020-gcp (neo4j-baseline-8) 	07/04/26 	_x86_64_	(8 CPU)

22:59:56        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:00:01        all      3.37      0.00      1.24      0.03      0.00     95.37
23:00:06        all     73.18      0.00      3.13      0.05      0.00     23.65
23:00:11        all     90.90      0.00      6.21      0.00      0.00      2.89
23:00:16        all     41.01      0.00      5.17      0.00      0.00     53.82
23:00:21        all      1.61      0.00      0.45      0.00      0.00     97.94
23:00:26        all      8.17      0.00      1.32      0.13      0.00     90.38
23:00:31        all     42.89      0.00      5.32      0.20      0.00     51.59
23:00:36        all     35.29      0.00      4.53      0.13      0.00     60.05
23:00:41        all     36.72      0.00      4.50      0.20      0.00     58.58
23:00:46        all     42.06      0.00      5.08      0.30      0.00     52.56
23:00:51        all     42.81      0.00      5.27      0.20      0.00     51.71
23:00:56        all     24.75      0.00      3.64      0.08      0.00     71.53
23:01:01        all      0.90      0.00      0.10      0.05      0.00     98.95
Average:        all     34.13      0.00      3.53      0.10      0.00     62.24

22:59:56    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:00:01     20661660  29272124   3001584      9.13     79608   8715972   4077868     12.41   2920740   8557680       388
23:00:06     20355256  28965792   3307328     10.06     79608   8716044   4347472     13.23   3222116   8557752     12180
23:00:11     20315980  28926904   3346216     10.18     79608   8716432   4370496     13.30   3262244   8558140     46232
23:00:16     20043300  28654384   3618736     11.01     79608   8716592   4626580     14.08   3516456   8558300     52364
23:00:21     19958336  28569192   3703824     11.27     79608   8716428   4630992     14.09   3618472   8558136     52320
23:00:26     19944292  28555220   3717732     11.31     79620   8716488   4636784     14.11   3637268   8558208     32728
23:00:31     19920124  28531248   3741620     11.39     79620   8716684   4645028     14.14   3664376   8558404     57604
23:00:36     19930696  28541980   3730888     11.35     79620   8716844   4646832     14.14   3654848   8558564     69756
23:00:41     19928260  28539740   3733056     11.36     79620   8717040   4647804     14.14   3658868   8558760     35372
23:00:46     19895920  28507832   3764956     11.46     79620   8717472   4648772     14.15   3683372   8559192     55664
23:00:51     19894980  28507148   3765640     11.46     79620   8717728   4650252     14.15   3697752   8559448     67692
23:00:56     19890164  28502436   3770352     11.47     79624   8717832   4650580     14.15   3705420   8559552     68564
23:01:01     19869152  28481428   3791344     11.54     79624   8717844   4678192     14.24   3725524   8559556     49132
Average:     20046778  28658110   3614867     11.00     79616   8716877   4558281     13.87   3535958   8558592     46154

22:59:56          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
23:00:01        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:01        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:01        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:01        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:01          sda      6.60      0.00    516.80      0.00     78.30      0.01      1.88      0.16
23:00:01         sda1      6.60      0.00    516.80      0.00     78.30      0.01      1.88      0.16
23:00:01        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:01        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:01        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:06        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:06        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:06        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:06        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:06          sda     40.20      0.00    140.80      0.00      3.50      0.02      0.35      1.18
23:00:06         sda1     40.20      0.00    140.80      0.00      3.50      0.01      0.35      1.18
23:00:06        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:06        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:06        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:11        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:11        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:11        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:11        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:11          sda     65.00     32.00    154.40      0.00      2.87      0.02      0.33      2.08
23:00:11         sda1     65.00     32.00    154.40      0.00      2.87      0.02      0.33      2.08
23:00:11        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:11        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:11        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:16        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:16        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:16        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:16        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:16          sda     19.40     13.60     45.60      0.00      3.05      0.01      0.33      0.58
23:00:16         sda1     19.40     13.60     45.60      0.00      3.05      0.01      0.33      0.58
23:00:16        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:16        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:16        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:21        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:21        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:21        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:21        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:21          sda      1.00      0.00     20.00      0.00     20.00      0.00      0.60      0.04
23:00:21         sda1      1.00      0.00     20.00      0.00     20.00      0.00      0.60      0.06
23:00:21        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:21        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:21        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:26          sda     86.40      9.60   1295.20    243.20     17.92      0.15      1.78      0.98
23:00:26         sda1     86.40      9.60   1295.20    243.20     17.92      0.15      1.78      1.06
23:00:26        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:26        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:26        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:31        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:31          sda     51.80     28.00    142.40      0.00      3.29      0.02      0.34      1.76
23:00:31         sda1     51.80     28.00    142.40      0.00      3.29      0.02      0.34      1.76
23:00:31        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:31        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:31        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:36        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:36        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:36        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:36        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:36          sda     41.80     23.20     96.00      0.00      2.85      0.02      0.34      1.48
23:00:36         sda1     41.80     23.20     96.00      0.00      2.85      0.01      0.34      1.48
23:00:36        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:36        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:36        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:41        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:41          sda    227.00     28.80   1619.20      0.00      7.26      0.36      1.60      1.98
23:00:41         sda1    227.00     28.80   1619.20      0.00      7.26      0.36      1.60      2.10
23:00:41        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:41        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:41        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:46        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:46        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:46        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:46        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:46          sda     70.20     41.60    161.60      0.00      2.89      0.03      0.36      2.52
23:00:46         sda1     70.20     41.60    161.60      0.00      2.89      0.03      0.36      2.52
23:00:46        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:46        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:46        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:51        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:51        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:51        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:51        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:51          sda     55.20     32.80    126.40      0.00      2.88      0.02      0.33      1.76
23:00:51         sda1     55.20     32.80    126.40      0.00      2.88      0.02      0.33      1.76
23:00:51        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:51        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:51        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:56        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:56        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:56          sda     32.20     14.40    126.40      0.00      4.37      0.01      0.36      1.00
23:00:56         sda1     32.20     14.40    126.40      0.00      4.37      0.01      0.36      1.00
23:00:56        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:56        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:00:56        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:01        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:01        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:01        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:01        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:01          sda     91.60      0.00   1431.20      0.00     15.62      0.15      1.66      0.40
23:01:01         sda1     91.60      0.00   1431.20      0.00     15.62      0.15      1.66      0.40
23:01:01        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:01        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:01:01        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
