Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(16 CPU)

00:15:28        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:15:33        all      0.03      0.00      0.05      0.03      0.00     99.90
00:15:38        all     26.61      0.00      1.28      0.04      0.00     72.08
00:15:43        all      0.01      0.00      0.03      0.00      0.00     99.96
00:15:48        all      4.69      0.00      0.23      0.00      0.00     95.08
00:15:53        all     16.34      0.00      1.23      0.05      0.00     82.38
00:15:58        all      0.05      0.00      0.06      0.00      0.00     99.89
Average:        all      7.92      0.00      0.48      0.02      0.00     91.59

00:15:28    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
00:15:33     51542780  59877388   4064596      6.27     74560   8722536   4695492      7.24   3935996   8557796       360
00:15:38     51388116  59722740   4219092      6.51     74560   8722552   4834456      7.46   4092184   8557812      2040
00:15:43     51415444  59750068   4191748      6.46     74560   8722568   4834456      7.46   4092180   8557812      2056
00:15:48     51395876  59730500   4211156      6.49     74560   8722584   4902128      7.56   4137636   8557812      2072
00:15:53     51390844  59725568   4215960      6.50     74572   8722640   4928596      7.60   4147468   8557912     13124
00:15:58     51389820  59724572   4216956      6.50     74572   8722668   4947964      7.63   4148360   8557940     13280
Average:     51420480  59755139   4186585      6.46     74564   8722591   4857182      7.49   4092304   8557847      5489

00:15:28          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
00:15:33        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:15:33        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:15:33        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:15:33        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:15:33      nvme0n1      7.00      0.00    672.80      0.00     96.11      0.01      1.43      0.16
00:15:33    nvme0n1p1      7.00      0.00    672.80      0.00     96.11      0.01      1.43      0.16
00:15:33    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:15:33    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:15:33    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:15:38        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:15:38        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:15:38        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:15:38        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:15:38      nvme0n1     16.60      0.00     76.00      0.00      4.58      0.01      0.31      0.40
00:15:38    nvme0n1p1     16.60      0.00     76.00      0.00      4.58      0.01      0.33      0.40
00:15:38    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:15:38    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:15:38    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:15:43        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
