Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(16 CPU)

00:12:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:12:18        all      0.04      0.00      0.01      0.00      0.00     99.95
00:12:23        all      3.62      0.00      0.26      0.01      0.00     96.10
00:12:28        all      7.14      0.00      0.49      0.01      0.00     92.36
00:12:33        all      8.66      0.00      0.48      0.01      0.00     90.85
00:12:38        all      2.68      0.00      0.21      0.01      0.00     97.10
00:12:43        all      0.03      0.00      0.03      0.01      0.00     99.94
00:12:48        all      0.33      0.00      0.05      0.00      0.00     99.62
00:12:53        all      5.92      0.00      0.35      0.00      0.00     93.73
00:12:58        all      2.12      0.00      0.15      0.01      0.00     97.72
00:13:03        all      3.33      0.00      0.29      0.00      0.00     96.38
00:13:08        all      2.04      0.00      0.24      0.03      0.00     97.69
00:13:13        all      3.42      0.00      0.19      0.00      0.00     96.39
00:13:18        all      0.03      0.00      0.03      0.01      0.00     99.94
Average:        all      3.02      0.00      0.21      0.01      0.00     96.75

00:12:13    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
00:12:18     51583204  59915696   4027576      6.21     73916   8721536   4690812      7.23   3912120   8556408       356
00:12:23     51545324  59877816   4065440      6.27     73916   8721552   4712060      7.27   3964416   8556408       220
00:12:28     51477072  59809616   4133644      6.37     73916   8721568   4737412      7.31   4030860   8556460       236
00:12:33     51458628  59791188   4152036      6.40     73916   8721584   4757348      7.34   4066888   8556476       252
00:12:38     51462464  59794960   4148252      6.40     73920   8721600   4759468      7.34   4066860   8556476        96
00:12:43     51477996  59810524   4132696      6.37     73920   8721620   4760956      7.34   4068296   8556508       216
00:12:48     51465752  59798284   4144960      6.39     73920   8721636   4759788      7.34   4069472   8556512      2188
00:12:53     51437296  59769864   4173432      6.44     73920   8721652   4766420      7.35   4097144   8556548      4248
00:12:58     51439572  59772148   4171140      6.43     73920   8721668   4768484      7.35   4105820   8556556      5936
00:13:03     51445000  59777640   4165648      6.42     73920   8721732   4769832      7.36   4108232   8556620     23848
00:13:08     51434100  59766764   4176564      6.44     73920   8721748   4773760      7.36   4112268   8556644     23864
00:13:13     51420664  59753368   4189960      6.46     73928   8721780   4774920      7.36   4141500   8556684     25112
00:13:18     51423236  59755940   4187364      6.46     73928   8721796   4774920      7.36   4141676   8556684     23052
Average:     51466947  59799524   4143747      6.39     73920   8721652   4754322      7.33   4068119   8556537      8433

00:12:13          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
00:12:18        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:18        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:18        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:18        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:18      nvme0n1      5.80      0.00    604.00      0.00    104.14      0.01      1.79      0.16
00:12:18    nvme0n1p1      5.80      0.00    604.00      0.00    104.14      0.01      1.79      0.16
00:12:18    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:18    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:18    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:23        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:23        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:23        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:23        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:23      nvme0n1      6.40      0.00     45.60      0.00      7.12      0.00      0.38      0.26
00:12:23    nvme0n1p1      6.40      0.00     45.60      0.00      7.12      0.00      0.38      0.26
00:12:23    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:23    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:23    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:28        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:28        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:28        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:28        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:28      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.10
00:12:28    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.10
00:12:28    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:28    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:28    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:33        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:33        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:12:33        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
