Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(16 CPU)

00:10:45        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:10:50        all      1.56      0.00      0.87      0.00      0.00     97.57
00:10:55        all     74.11      0.00      3.49      0.01      0.00     22.39
00:11:00        all     43.02      0.00      4.29      0.13      0.00     52.56
00:11:05        all      0.78      0.00      0.25      0.00      0.00     98.97
00:11:10        all     17.50      0.00      2.30      0.06      0.00     80.13
00:11:15        all     80.63      0.00     13.20      0.16      0.00      6.01
00:11:20        all     56.37      0.00     10.25      0.00      0.00     33.38
00:11:25        all      0.04      0.00      0.08      0.11      0.00     99.77
Average:        all     34.22      0.00      4.34      0.06      0.00     61.38

00:10:45    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
00:10:50     51428744  59760180   4183892      6.45     73648   8721132   5894908      9.09   4070324   8555764      2992
00:10:55     50866392  59197908   4745060      7.32     73648   8721212   6530132     10.07   4648948   8555844     15892
00:11:00     50847700  59179720   4763244      7.35     73648   8721720   6545060     10.09   4635456   8556348     47696
00:11:05     50745368  59077224   4865620      7.50     73648   8721568   6552576     10.11   4763672   8556200     47668
00:11:10     50703792  59035860   4906916      7.57     73648   8721780   6560296     10.12   4830332   8556412     56864
00:11:15     50653944  58987160   4955580      7.64     73660   8722928   6583640     10.15   4872216   8557560     96020
00:11:20     50161980  58495268   5447532      8.40     73660   8723004   7043076     10.86   5340720   8557632     94272
00:11:25     50196544  58529836   5412952      8.35     73660   8723020   7043076     10.86   5314720   8557636     14100
Average:     50700558  59032894   4910100      7.57     73652   8722046   6594096     10.17   4809548   8556674     46938

00:10:45          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
00:10:50        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:10:50        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:10:50        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:10:50        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:10:50      nvme0n1      6.60      0.00     46.40      0.00      7.03      0.01      0.94      0.04
00:10:50    nvme0n1p1      6.60      0.00     46.40      0.00      7.03      0.01      0.94      0.04
00:10:50    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:10:50    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:10:50    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:10:55        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:10:55        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:10:55        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:10:55        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:10:55      nvme0n1     32.60      0.00    627.20      0.00     19.24      0.02      0.68      0.90
00:10:55    nvme0n1p1     32.60      0.00    627.20      0.00     19.24      0.02      0.69      0.90
00:10:55    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:10:55    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:10:55    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:00        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:00        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:00        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:00        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:00      nvme0n1     97.80     45.60    268.80      0.00      3.21      0.03      0.28      2.88
00:11:00    nvme0n1p1     97.80     45.60    268.80      0.00      3.21      0.03      0.28      2.88
00:11:00    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:00    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:00    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:05        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:05        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:05        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:05        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:05      nvme0n1      1.00      0.00     19.20      0.00     19.20      0.00      0.80      0.08
00:11:05    nvme0n1p1      1.00      0.00     19.20      0.00     19.20      0.00      0.80      0.08
00:11:05    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:05    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:05    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:10        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:10        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:10        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:10        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:10      nvme0n1     60.00     33.60    136.80      0.00      2.84      0.02      0.30      1.56
00:11:10    nvme0n1p1     60.00     33.60    136.80      0.00      2.84      0.02      0.30      1.56
00:11:10    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:10    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:10    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:15        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:15        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:15        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:15        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:15      nvme0n1    352.00    144.80   2361.60    572.00      8.75      0.46      1.29      6.82
00:11:15    nvme0n1p1    352.00    144.80   2361.60    572.00      8.75      0.45      1.29      6.88
00:11:15    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:15    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:15    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:20        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:20        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:20        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:20        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:20      nvme0n1      1.60      0.00     48.00      0.00     30.00      0.00      1.12      0.04
00:11:20    nvme0n1p1      1.60      0.00     48.00      0.00     30.00      0.00      1.00      0.04
00:11:20    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:20    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:20    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:25        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:25        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:25        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:25        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:25      nvme0n1    280.80      0.00   2411.20      0.00      8.59      0.17      0.59      1.92
00:11:25    nvme0n1p1    280.80      0.00   2411.20      0.00      8.59      0.17      0.59      2.02
00:11:25    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:25    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:11:25    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:      nvme0n1    104.05     28.00    739.90     71.50      8.07      0.09      0.84      1.78
Average:    nvme0n1p1    104.05     28.00    739.90     71.50      8.07      0.09      0.84      1.80
Average:    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
