Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

21:53:12        CPU     %user     %nice   %system   %iowait    %steal     %idle
21:53:17        all      0.20      0.00      0.20      0.00      0.00     99.60
21:53:22        all     87.49      0.00      2.20      0.00      0.00     10.31
21:53:27        all     46.43      0.00      1.91      0.00      0.00     51.66
21:53:32        all      0.50      0.00      0.20      0.00      0.00     99.30
21:53:37        all     23.55      0.00      1.00      0.10      0.00     75.35
21:53:42        all     89.88      0.00      4.21      0.00      0.00      5.91
21:53:47        all     60.97      0.00      3.52      0.00      0.00     35.51
21:53:52        all      0.40      0.00      0.20      0.00      0.00     99.40
Average:        all     38.67      0.00      1.68      0.01      0.00     59.64

21:53:12    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
21:53:17       328236   5185524   2095520     27.35     55124   4943828   2632772     34.36   2018852   4907876      2184
21:53:22       298532   5155824   2125156     27.73     55124   4943832   2664784     34.78   2070240   4907880      2188
21:53:27       294500   5151800   2129188     27.79     55124   4943840   2668896     34.83   2074768   4907888      2196
21:53:32       294500   5151808   2129180     27.79     55124   4943848   2668964     34.83   2074836   4907896      1988
21:53:37       286436   5143748   2137240     27.89     55124   4943852   2671536     34.87   2079144   4907900      1984
21:53:42       270560   5127924   2153064     28.10     55128   4943900   2678484     34.96   2097204   4907952     18500
21:53:47       255456   5112952   2168036     28.29     55128   4944032   2682416     35.01   2108676   4908084     26880
21:53:52       255456   5112952   2168028     28.29     55128   4944040   2682480     35.01   2108676   4908084     26892
Average:       285460   5142816   2138176     27.90     55126   4943896   2668792     34.83   2079050   4907945     10352

21:53:12          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
21:53:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:17      nvme0n1      0.20      0.00      0.80      0.00      4.00      0.00      0.00      0.00
21:53:17    nvme0n1p1      0.20      0.00      0.80      0.00      4.00      0.00      1.00      0.00
21:53:17    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:17    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:17    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:22      nvme0n1     11.20      0.00     30.40      0.00      2.71      0.00      0.34      0.34
21:53:22    nvme0n1p1     11.20      0.00     30.40      0.00      2.71      0.00      0.32      0.34
21:53:22    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:22    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:22    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:53:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
