Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

21:49:02        CPU     %user     %nice   %system   %iowait    %steal     %idle
21:49:07        all      0.20      0.00      0.20      0.00      0.00     99.60
21:49:12        all     29.33      0.00      1.10      0.10      0.00     69.47
21:49:17        all     43.37      0.00      1.20      0.10      0.00     55.32
21:49:22        all     52.65      0.00      1.50      0.00      0.00     45.85
21:49:27        all     29.72      0.00      1.31      0.00      0.00     68.98
21:49:32        all      0.00      0.00      0.20      0.00      0.00     99.80
21:49:37        all      2.81      0.00      0.30      0.00      0.00     96.89
21:49:42        all     53.56      0.00      1.71      0.10      0.00     44.63
21:49:47        all     29.55      0.00      1.11      0.00      0.00     69.35
21:49:52        all     33.13      0.00      2.81      0.00      0.00     64.06
21:49:57        all     13.52      0.00      0.71      0.20      0.00     85.57
21:50:02        all     30.32      0.00      1.81      0.00      0.00     67.87
21:50:07        all      0.10      0.00      0.20      0.00      0.00     99.70
Average:        all     24.49      0.00      1.09      0.04      0.00     74.38

21:49:02    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
21:49:07       376876   5213048   2068160     26.99     54248   4923964   2615704     34.14   1985452   4902048      1968
21:49:12       361000   5197188   2084032     27.20     54248   4923968   2630400     34.33   2010232   4902064      1972
21:49:17       333852   5170044   2111144     27.55     54248   4923976   2642920     34.49   2034088   4902072      1980
21:49:22       313692   5149892   2131264     27.81     54248   4923984   2654044     34.64   2049376   4902080      1768
21:49:27       318176   5154380   2126776     27.76     54248   4923988   2657972     34.69   2053416   4902084      1760
21:49:32       318176   5154388   2126800     27.76     54248   4923996   2657972     34.69   2053420   4902092        44
21:49:37       318176   5154396   2126792     27.76     54252   4924000   2658104     34.69   2053572   4902100        84
21:49:42       302048   5138276   2142912     27.97     54252   4924008   2661764     34.74   2067056   4902108      1560
21:49:47       298268   5134504   2146684     28.02     54252   4924016   2664280     34.77   2078072   4902116      2472
21:49:52       297512   5133800   2147388     28.03     54252   4924068   2667480     34.81   2080364   4902168     19540
21:49:57       296504   5132800   2148388     28.04     54252   4924076   2668704     34.83   2081720   4902176     19548
21:50:02       290960   5127280   2153908     28.11     54252   4924100   2669988     34.85   2083572   4902200     20236
21:50:07       290960   5127280   2153900     28.11     54256   4924104   2669988     34.85   2083720   4902200     20192
Average:       316631   5152867   2128319     27.78     54250   4924019   2655332     34.65   2054928   4902116      7163

21:49:02          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
21:49:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:07      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:07    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:07    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:07    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:07    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:12      nvme0n1      6.00      0.00     15.20      0.00      2.53      0.00      0.33      0.18
21:49:12    nvme0n1p1      6.00      0.00     15.20      0.00      2.53      0.00      0.33      0.18
21:49:12    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:12    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:12    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:17      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.08
21:49:17    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.08
21:49:17    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:17    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:17    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:49:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
