Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

21:45:52        CPU     %user     %nice   %system   %iowait    %steal     %idle
21:45:57        all     79.53      0.00      7.80      2.13      0.00     10.54
21:46:02        all     86.39      0.00      3.83      0.50      0.00      9.27
21:46:07        all     94.88      0.00      4.51      0.00      0.00      0.60
21:46:12        all     95.50      0.00      4.10      0.00      0.00      0.40
21:46:17        all     93.89      0.00      5.81      0.00      0.00      0.30
21:46:22        all     95.50      0.00      4.10      0.00      0.00      0.40
21:46:27        all     94.09      0.00      5.61      0.00      0.00      0.30
21:46:32        all     93.38      0.00      6.42      0.00      0.00      0.20
21:46:37        all     53.50      0.00      4.80      0.00      0.00     41.70
21:46:42        all      5.47      0.00      0.91      0.00      0.00     93.62
21:46:47        all     26.71      0.00      3.16      0.31      0.00     69.83
21:46:52        all     90.18      0.00      9.52      0.00      0.00      0.30
21:46:57        all     91.58      0.00      7.41      0.00      0.00      1.00
21:47:02        all     92.57      0.00      6.63      0.30      0.00      0.50
21:47:07        all     90.57      0.00      8.63      0.10      0.00      0.70
21:47:12        all     90.98      0.00      8.32      0.30      0.00      0.40
21:47:17        all     92.09      0.00      7.21      0.20      0.00      0.50
21:47:22        all     91.57      0.00      7.92      0.10      0.00      0.40
21:47:27        all     94.48      0.00      4.81      0.30      0.00      0.40
21:47:32        all     91.48      0.00      7.62      0.20      0.00      0.70
21:47:37        all     93.49      0.00      6.01      0.10      0.00      0.40
21:47:42        all     91.19      0.00      8.01      0.20      0.00      0.60
21:47:47        all     84.75      0.00      8.93      0.30      0.00      6.02
21:47:52        all      3.02      0.00      0.40      0.00      0.00     96.58
Average:        all     79.95      0.00      5.94      0.21      0.00     13.90

21:45:52    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
21:45:57       167204   5078884   2202048     28.74     62828   4989396   2851364     37.21   2104820   4982476     21784
21:46:02       120148   5017348   2263456     29.54     61504   4976416   2942940     38.41   2197172   4968092       292
21:46:07       123008   4992768   2288056     29.86     59104   4951848   2971420     38.78   2235160   4942808       300
21:46:12       177972   4956532   2324320     30.33     56388   4864036   3043628     39.72   2270144   4852260      2532
21:46:17       171452   4950640   2330212     30.41     56388   4864664   3046140     39.75   2272460   4852888     32236
21:46:22       163388   4942800   2338048     30.51     56388   4864888   3057128     39.90   2282012   4853112     35568
21:46:27       163388   4943028   2337812     30.51     56388   4865124   3059128     39.92   2287344   4853340     35924
21:46:32       157844   4937796   2343052     30.58     56392   4865424   3059708     39.93   2291432   4853652      5068
21:46:37       143732   4923884   2356964     30.76     56392   4865624   3060288     39.94   2296132   4853852      5524
21:46:42       162460   4872668   2408188     31.43     55128   4797164   3089456     40.32   2355188   4784144      5516
21:46:47       158428   4868992   2411864     31.48     55128   4797520   3093644     40.37   2359508   4784500       596
21:46:52       141852   4853496   2427360     31.68     55128   4798600   3096896     40.42   2365508   4785580     65252
21:46:57       125976   4838332   2442468     31.88     55128   4799368   3098900     40.44   2385596   4786292     73584
21:47:02       125848   4838716   2442068     31.87     55136   4799888   3100636     40.47   2389788   4786804     74164
21:47:07       123972   4837992   2442784     31.88     55136   4801048   3100832     40.47   2390508   4787956     24912
21:47:12       123972   4838500   2442220     31.87     55136   4801612   3100832     40.47   2386936   4788464     25092
21:47:17       120192   4835448   2445356     31.91     55136   4802260   3100964     40.47   2389944   4789192     20044
21:47:22       173000   4835048   2445796     31.92     53820   4750576   3101288     40.47   2392820   4736232       656
21:47:27       171236   4834136   2446712     31.93     53820   4751424   3101544     40.48   2394752   4737084       688
21:47:32       168464   4832420   2448408     31.95     53828   4752492   3101932     40.48   2399628   4738140      1580
21:47:37       163424   4827664   2453164     32.02     53828   4752776   3102060     40.48   2400816   4738424      1288
21:47:42       154604   4819440   2461420     32.12     53828   4753340   3102252     40.49   2402444   4739020      1436
21:47:47       153092   4818656   2462164     32.13     53828   4754108   3102384     40.49   2405160   4739748      2524
21:47:52       155492   4821168   2459656     32.10     53828   4754216   3102384     40.49   2403380   4738932      2532
Average:       150423   4888182   2392650     31.23     55817   4823909   3066156     40.02   2335777   4811375     18296

21:45:52          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
21:45:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:45:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:45:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:45:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:45:57      nvme0n1     92.80      0.00  21789.60     59.20    235.44      0.64      6.92      6.30
21:45:57    nvme0n1p1     92.80      0.00  21789.60     59.20    235.44      0.64      6.92      6.66
21:45:57    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:45:57    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:45:57    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:02        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:02      nvme0n1     31.60      0.00   4238.40   9830.40    445.22      0.16      4.91      1.18
21:46:02    nvme0n1p1     31.60      0.00   4238.40   9830.40    445.22      0.15      4.91      1.18
21:46:02    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:02    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:02    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:07      nvme0n1     70.00     16.80    180.00      0.00      2.81      0.02      0.28      1.52
21:46:07    nvme0n1p1     70.00     16.80    180.00      0.00      2.81      0.02      0.28      1.52
21:46:07    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:07    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:07    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:12      nvme0n1     44.40     41.60    100.00      0.00      3.19      0.02      0.47      1.50
21:46:12    nvme0n1p1     44.40     41.60    100.00      0.00      3.19      0.02      0.47      1.80
21:46:12    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:12    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:12    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:17      nvme0n1     48.80     68.80    847.20      0.00     18.77      0.04      0.92      0.94
21:46:17    nvme0n1p1     48.80     68.80    847.20      0.00     18.77      0.04      0.92      0.98
21:46:17    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:17    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:17    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:22      nvme0n1      5.60     41.60      2.40      0.00      7.86      0.00      0.75      0.32
21:46:22    nvme0n1p1      5.60     41.60      2.40      0.00      7.86      0.00      0.75      0.32
21:46:22    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:22    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:22    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:27        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:46:27      nvme0n1      5.80     44.80     24.80      0.00     12.00      0.00      0.76      0.52
21:46:27    nvme0n1p1      5.80     44.80     24.80      0.00     12.00      0.00      0.79      0.52
