Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

21:42:47        CPU     %user     %nice   %system   %iowait    %steal     %idle
21:42:52        all     80.87      0.00      7.09      0.00      0.00     12.04
21:42:57        all     87.30      0.00      5.14      2.02      0.00      5.54
21:43:02        all     94.88      0.00      4.81      0.00      0.00      0.30
21:43:07        all     95.70      0.00      4.10      0.00      0.00      0.20
21:43:12        all     93.69      0.00      6.11      0.00      0.00      0.20
21:43:17        all     94.88      0.00      4.61      0.00      0.00      0.50
21:43:22        all     94.39      0.00      5.21      0.00      0.00      0.40
21:43:27        all     93.30      0.00      6.50      0.00      0.00      0.20
21:43:32        all     38.01      0.00      2.61      0.00      0.00     59.38
21:43:37        all      5.98      0.00      1.01      0.00      0.00     93.00
21:43:42        all     37.68      0.00      2.95      0.00      0.00     59.37
21:43:47        all     91.60      0.00      8.10      0.00      0.00      0.30
21:43:52        all     92.18      0.00      7.42      0.00      0.00      0.40
21:43:57        all     91.69      0.00      7.91      0.00      0.00      0.40
21:44:02        all     88.68      0.00     11.02      0.00      0.00      0.30
21:44:07        all     91.28      0.00      8.42      0.00      0.00      0.30
21:44:12        all     92.01      0.00      7.49      0.00      0.00      0.50
21:44:17        all     91.06      0.00      8.33      0.00      0.00      0.60
21:44:22        all     94.39      0.00      5.31      0.00      0.00      0.30
21:44:27        all     92.88      0.00      6.72      0.00      0.00      0.40
21:44:32        all     91.68      0.00      7.82      0.00      0.00      0.50
21:44:37        all     92.71      0.00      6.89      0.00      0.00      0.40
21:44:42        all     91.37      0.00      8.32      0.00      0.00      0.30
21:44:47        all     32.33      0.00      3.80      0.00      0.00     63.86
Average:        all     81.34      0.00      6.16      0.08      0.00     12.41

21:42:47    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
21:42:52       171280   5050932   2229536     29.10     66156   4948312   2891176     37.73   2153268   4945484     76044
21:42:57       175920   4984056   2296232     29.97     64956   4879664   3012408     39.31   2233268   4875612       292
21:43:02       141704   4949936   2330312     30.41     64956   4879760   3053284     39.85   2278120   4875708       312
21:43:07       199280   4930340   2350100     30.67     63780   4805568   3069628     40.06   2296344   4800352      3504
21:43:12       205284   4936620   2343820     30.59     63780   4805844   3071752     40.09   2300224   4800628     32688
21:43:17       201772   4933124   2347316     30.63     63780   4805860   3075968     40.14   2302920   4800468     27896
21:43:22       198748   4930112   2350328     30.67     63780   4805872   3077380     40.16   2306032   4800480     29016
21:43:27       178588   4909980   2370460     30.94     63788   4805892   3079824     40.19   2327604   4800508      3916
21:43:32       170524   4901932   2378508     31.04     63788   4805908   3080656     40.20   2324428   4800524      4124
21:43:37       143056   4874304   2406132     31.40     63788   4805748   3099976     40.46   2352108   4800364      4108
21:43:42       130960   4862280   2418156     31.56     63788   4805820   3101908     40.48   2364224   4800436      3300
21:43:47       115984   4847468   2432936     31.75     63788   4805984   3110108     40.59   2371952   4800600     26140
21:43:52       115736   4847364   2433040     31.75     63788   4806128   3113516     40.63   2369780   4800744     40052
21:43:57       114480   4846272   2434132     31.77     63796   4806284   3123584     40.77   2368268   4800908     49144
21:44:02       179888   4836812   2443816     31.89     62420   4734572   3124616     40.78   2382420   4727820     26516
21:44:07       179888   4837060   2443568     31.89     62420   4734820   3124680     40.78   2382876   4728068     39976
21:44:12       176108   4833356   2447304     31.94     62420   4734896   3125128     40.79   2376964   4728144     40088
21:44:17       176108   4833380   2447280     31.94     62420   4734920   3125324     40.79   2380860   4728168     21952
21:44:22       176108   4833396   2447264     31.94     62420   4734936   3125516     40.79   2384984   4728184     22540
21:44:27       176108   4833428   2447232     31.94     62428   4734960   3125968     40.80   2383840   4728216     22692
21:44:32       176108   4833440   2447220     31.94     62428   4734972   3126932     40.81   2391208   4728228      2332
21:44:37       176108   4833456   2447204     31.94     62428   4734988   3127060     40.81   2392832   4728244      2672
21:44:42       175352   4832724   2447936     31.95     62428   4735012   3127060     40.81   2394716   4728268      3832
21:44:47       175352   4832740   2447920     31.95     62428   4735028   3127060     40.81   2395072   4728284      3976
Average:       167935   4881021   2399490     31.32     63415   4788406   3092521     40.36   2342263   4782685     20296

21:42:47          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
21:42:52        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:52        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:52        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:52        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:52      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:52    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:52    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:52    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:52    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:57      nvme0n1     83.60      0.00  17004.80     30.40    203.77      0.63      7.49      4.42
21:42:57    nvme0n1p1     83.60      0.00  17004.80     30.40    203.77      0.63      7.49      4.74
21:42:57    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:57    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:42:57    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:02        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:02      nvme0n1     69.60     14.40    181.60      0.00      2.82      0.02      0.28      1.52
21:43:02    nvme0n1p1     69.60     14.40    181.60      0.00      2.82      0.02      0.28      1.52
21:43:02    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:02    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:02    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:07      nvme0n1     46.20     31.20    108.00      0.00      3.01      0.01      0.26      1.04
21:43:07    nvme0n1p1     46.20     31.20    108.00      0.00      3.01      0.01      0.26      1.04
21:43:07    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:07    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:07    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:12      nvme0n1     50.00      0.00    923.20      0.00     18.46      0.04      0.87      0.28
21:43:12    nvme0n1p1     50.00      0.00    923.20      0.00     18.46      0.04      0.87      0.28
21:43:12    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:12    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:12    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:43:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
