Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(4 CPU)

22:38:53        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:38:58        all      0.15      0.00      0.10      0.00      0.00     99.75
22:39:03        all     14.41      0.00      0.55      0.10      0.00     84.93
22:39:08        all     29.13      0.00      0.91      0.00      0.00     69.96
22:39:13        all     29.09      0.00      1.21      0.00      0.00     69.70
22:39:18        all     10.07      0.00      0.55      0.05      0.00     89.33
22:39:23        all      0.10      0.00      0.10      0.00      0.00     99.80
22:39:28        all      1.65      0.00      0.05      0.00      0.00     98.30
22:39:33        all     31.49      0.00      1.11      0.10      0.00     67.30
22:39:38        all     11.12      0.00      0.70      0.05      0.00     88.13
22:39:43        all     15.63      0.00      1.21      0.05      0.00     83.12
22:39:48        all      9.29      0.00      0.60      0.10      0.00     90.01
22:39:53        all      9.24      0.00      0.70      0.00      0.00     90.06
22:39:58        all      0.00      0.00      0.10      0.00      0.00     99.90
Average:        all     12.39      0.00      0.61      0.03      0.00     86.97

22:38:53    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
22:38:58      3381300  11944184   2805640     18.25     95476   8716944   3299540     21.46   2813612   8574444      2184
22:39:03      3369020  11931916   2817924     18.33     95484   8716952   3327264     21.64   2849848   8574456       144
22:39:08      3322148  11885060   2864756     18.63     95484   8716960   3355792     21.82   2892360   8574472       152
22:39:13      3279420  11842340   2907444     18.91     95484   8716968   3368700     21.91   2930240   8574480       160
22:39:18      3303348  11866260   2883540     18.75     95484   8716976   3371976     21.93   2924496   8574488       168
22:39:23      3303588  11866508   2883292     18.75     95484   8716984   3372044     21.93   2924624   8574496       164
22:39:28      3302128  11865056   2884744     18.76     95484   8716992   3372496     21.93   2929892   8574504       108
22:39:33      3263888  11826824   2922976     19.01     95484   8717000   3381672     21.99   2964700   8574512      1924
22:39:38      3257980  11820924   2928876     19.05     95484   8717008   3384248     22.01   2977112   8574520      3540
22:39:43      3236388  11799396   2950404     19.19     95484   8717072   3386440     22.02   2994652   8574584     20364
22:39:48      3215188  11778200   2971600     19.33     95484   8717076   3388308     22.04   3015016   8574588     20368
22:39:53      3212656  11775692   2974112     19.34     95484   8717100   3394728     22.08   3014984   8574612     21128
22:39:58      3212656  11775692   2974104     19.34     95484   8717108   3394728     22.08   3014984   8574612     21136
Average:      3281516  11844466   2905339     18.89     95483   8717011   3369072     21.91   2942040   8574521      7042

22:38:53          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
22:38:58        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:38:58        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:38:58        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:38:58        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:38:58      nvme0n1      0.60      0.00     31.20      0.00     52.00      0.00      1.33      0.04
22:38:58    nvme0n1p1      0.60      0.00     31.20      0.00     52.00      0.00      1.33      0.04
22:38:58    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:38:58    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:38:58    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:03        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:03        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:03        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:03        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:03      nvme0n1     12.00      0.00    472.80      0.00     39.40      0.02      1.35      0.36
22:39:03    nvme0n1p1     12.00      0.00    472.80      0.00     39.40      0.02      1.33      0.36
22:39:03    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:03    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:03    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:08        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:08        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:08        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:08        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:08      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.10
22:39:08    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.10
22:39:08    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:08    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:08    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:13        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:13        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:39:13        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
