Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(4 CPU)

22:36:44        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:36:49        all     24.81      0.00      2.75      0.87      0.00     71.57
22:36:54        all     79.14      0.00      3.02      0.00      0.00     17.83
22:36:59        all     94.24      0.00      4.76      0.10      0.00      0.90
22:37:04        all     92.53      0.00      6.32      0.00      0.00      1.15
22:37:09        all     89.88      0.00      8.16      0.00      0.00      1.95
22:37:14        all     12.63      0.00      1.40      0.15      0.00     85.81
22:37:19        all      3.10      0.00      0.86      0.00      0.00     96.04
22:37:24        all     64.55      0.00      6.19      0.10      0.00     29.15
22:37:29        all     89.82      0.00      9.32      0.00      0.00      0.85
22:37:34        all     90.17      0.00      8.73      0.00      0.00      1.10
22:37:39        all     88.52      0.00      9.28      0.00      0.00      2.21
22:37:44        all     91.78      0.00      7.52      0.00      0.00      0.70
22:37:49        all     90.14      0.00      8.61      0.00      0.00      1.25
22:37:54        all     77.33      0.00      9.25      0.45      0.00     12.97
22:37:59        all      2.80      0.00      0.40      0.00      0.00     96.80
Average:        all     66.19      0.00      5.78      0.11      0.00     27.92

22:36:44    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
22:36:49      3874316  12436360   2313740     15.05     95240   8716420   3033444     19.73   2324904   8573824       332
22:36:54      3679616  12241668   2508144     16.31     95240   8716428   3201816     20.82   2516032   8573832       180
22:36:59      3627428  12189996   2559816     16.65     95240   8716944   3248508     21.13   2576316   8574348     34824
22:37:04      3644092  12206684   2543128     16.54     95240   8716968   3254408     21.16   2559752   8574372     46240
22:37:09      3500468  12063084   2686732     17.47     95240   8716992   3391436     22.06   2707156   8574396     46968
22:37:14      3504928  12067544   2682264     17.44     95240   8717000   3391508     22.06   2708016   8574396     27976
22:37:19      3413736  11976196   2773556     18.04     95240   8716836   3410868     22.18   2800960   8574240     27724
22:37:24      3402468  11965720   2783948     18.11     95240   8717628   3416580     22.22   2818788   8575032     33212
22:37:29      3405428  11969096   2780540     18.08     95240   8718044   3419256     22.24   2819548   8575448     70756
22:37:34      3397392  11961092   2788544     18.14     95240   8718076   3420288     22.24   2827544   8575480     71748
22:37:39      3258620  11822348   2927288     19.04     95240   8718104   3549552     23.08   2966292   8575508     72160
22:37:44      3252096  11815848   2933788     19.08     95240   8718128   3550132     23.09   2972660   8575532     72440
22:37:49      3241036  11804824   2944812     19.15     95240   8718164   3550904     23.09   2976836   8575568     72864
22:37:54      3115292  11679112   3070596     19.97     95240   8718196   3673484     23.89   3103548   8575600      5356
22:37:59      3115292  11679112   3070588     19.97     95240   8718204   3673484     23.89   3103028   8575600       192
Average:      3428814  11991912   2757832     17.94     95240   8717475   3412378     22.19   2785425   8574878     38865

22:36:44          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
22:36:49        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:49        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:49        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:49        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:49      nvme0n1     62.60      0.00  13202.40     22.40    211.26      1.04     16.55      3.56
22:36:49    nvme0n1p1     62.60      0.00  13202.40     22.40    211.26      1.04     16.55      3.80
22:36:49    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:49    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:49    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:54        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:54        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:54        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:54        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:54      nvme0n1     27.00      0.00    103.20      0.00      3.82      0.01      0.38      0.92
22:36:54    nvme0n1p1     27.00      0.00    103.20      0.00      3.82      0.01      0.38      0.92
22:36:54    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:54    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:54    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:59        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:59        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:59        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:59        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:59      nvme0n1     97.40     45.60    238.40      0.00      2.92      0.04      0.38      3.24
22:36:59    nvme0n1p1     97.40     45.60    238.40      0.00      2.92      0.04      0.37      3.24
22:36:59    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:59    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:36:59    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:04        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:04        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:04        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:04        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:04      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:04    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:04    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:04    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:04    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:09      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:09    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:09    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:09    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:09    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:14        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:14        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:14        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:14      nvme0n1     64.00      0.00   1179.20      0.00     18.43      0.06      0.90      0.70
22:37:14    nvme0n1p1     64.00      0.00   1179.20      0.00     18.43      0.06      0.90      0.72
22:37:14    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:14    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:14    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:37:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
