Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(4 CPU)

22:34:41        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:34:46        all     26.96      0.00      2.65      0.87      0.00     69.52
22:34:51        all     74.56      0.00      2.78      0.00      0.00     22.67
22:34:56        all     93.72      0.00      5.07      0.05      0.00      1.16
22:35:01        all     92.92      0.00      5.97      0.00      0.00      1.10
22:35:06        all     83.68      0.00      9.54      0.00      0.00      6.78
22:35:11        all      7.87      0.00      1.05      0.20      0.00     90.88
22:35:16        all      3.66      0.00      0.97      0.00      0.00     95.38
22:35:21        all     56.77      0.00      5.07      0.10      0.00     38.06
22:35:26        all     88.71      0.00      9.88      0.00      0.00      1.40
22:35:31        all     85.73      0.00     10.35      0.05      0.00      3.87
22:35:36        all     88.11      0.00     10.49      0.10      0.00      1.30
22:35:41        all     89.95      0.00      9.20      0.05      0.00      0.80
22:35:46        all     90.33      0.00      8.87      0.00      0.00      0.80
22:35:51        all     62.19      0.00      7.47      0.50      0.00     29.84
22:35:56        all      1.35      0.00      0.25      0.00      0.00     98.40
Average:        all     63.18      0.00      5.98      0.13      0.00     30.71

22:34:41    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
22:34:46      3852716  12413192   2336788     15.20     94912   8715200   3003992     19.54   2298524   8572528       408
22:34:51      3761996  12322484   2427224     15.79     94912   8715208   3146168     20.46   2433292   8572540       260
22:34:56      3722684  12283552   2466156     16.04     94912   8715588   3185208     20.71   2478616   8572920     33272
22:35:01      3710392  12271420   2478288     16.12     94912   8715748   3191916     20.76   2489052   8573080     46384
22:35:06      2991128  11552180   3197424     20.79     94912   8715772   3897768     25.35   3214116   8573104     48924
22:35:11      3003800  11564864   3184740     20.71     94912   8715780   3898292     25.35   3214124   8573112     29604
22:35:16      2902148  11463040   3286528     21.37     94916   8715612   3902388     25.38   3298604   8572944     29592
22:35:21      2900928  11461932   3287572     21.38     94916   8715720   3905420     25.40   3306440   8573056     14768
22:35:26      2899560  11460764   3288740     21.39     94916   8715920   3910020     25.43   3319696   8573256     33456
22:35:31      2891368  11452744   3296760     21.44     94916   8716092   3912212     25.44   3326100   8573428     46040
22:35:36      2858392  11420144   3329424     21.65     94916   8716468   3913824     25.45   3339196   8573804     56312
22:35:41      2874240  11436836   3312724     21.54     94916   8717312   3918696     25.49   3343224   8574648     66680
22:35:46      2874744  11437552   3312004     21.54     94916   8717528   3916944     25.47   3344520   8574860     74288
22:35:51      2871472  11434336   3315224     21.56     94916   8717580   3917200     25.48   3347524   8574916      6940
22:35:56      2840728  11403624   3345936     21.76     94916   8717612   3923708     25.52   3374104   8574948      1768
Average:      3130420  11691911   3057702     19.89     94914   8716209   3702917     24.08   3075142   8573543     32580

22:34:41          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
22:34:46        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:46        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:46        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:46        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:46      nvme0n1     62.40      0.00  13195.20    412.80    218.08      0.46      7.32      3.58
22:34:46    nvme0n1p1     62.40      0.00  13195.20    412.80    218.08      0.46      7.32      3.76
22:34:46    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:46    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:46    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:51        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:51        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:51        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:51        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:51      nvme0n1     34.60      0.00    124.80      0.00      3.61      0.01      0.35      1.14
22:34:51    nvme0n1p1     34.60      0.00    124.80      0.00      3.61      0.01      0.34      1.14
22:34:51    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:51    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:51    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:56        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:56        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:56      nvme0n1     67.60     30.40    164.00      0.00      2.88      0.03      0.34      2.00
22:34:56    nvme0n1p1     67.60     30.40    164.00      0.00      2.88      0.02      0.34      2.00
22:34:56    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:56    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:34:56    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:01        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:01        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:01        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:01        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:01      nvme0n1     22.20     15.20     52.00      0.00      3.03      0.01      0.34      0.70
22:35:01    nvme0n1p1     22.20     15.20     52.00      0.00      3.03      0.01      0.33      0.70
22:35:01    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:01    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:01    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:06        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:06        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:06        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:06        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:06      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:06    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:06    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:06    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:06    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:11        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:11        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:11        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:11        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:11      nvme0n1     68.40      0.00   1196.80      0.00     17.50      0.07      0.97      0.80
22:35:11    nvme0n1p1     68.40      0.00   1196.80      0.00     17.50      0.07      0.97      0.82
22:35:11    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:11    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:11    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:16        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:16        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:16        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:16        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:16      nvme0n1      3.20      0.00     66.40     48.80     36.00      0.00      0.62      0.16
22:35:16    nvme0n1p1      3.20      0.00     66.40     48.80     36.00      0.00      0.62      0.16
22:35:16    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:16    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:16    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:21        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:21        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:21        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:21        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:21      nvme0n1    152.00     20.80   1077.60      0.00      7.23      0.61      4.00      1.24
22:35:21    nvme0n1p1    152.00     20.80   1077.60      0.00      7.23      0.61      4.00      1.34
22:35:21    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:21    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:21    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:26      nvme0n1     51.80     29.60    119.20      0.00      2.87      0.02      0.31      1.38
22:35:26    nvme0n1p1     51.80     29.60    119.20      0.00      2.87      0.02      0.31      1.38
22:35:26    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:26    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:26    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:31        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:31      nvme0n1     50.20     27.20    114.40      0.00      2.82      0.02      0.30      1.30
22:35:31    nvme0n1p1     50.20     27.20    114.40      0.00      2.82      0.02      0.31      1.30
22:35:31    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:31    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:31    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:36        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:36        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:36        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:36        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:36      nvme0n1     61.60     33.60    505.60      0.00      8.75      0.03      0.53      1.42
22:35:36    nvme0n1p1     61.60     33.60    505.60      0.00      8.75      0.03      0.53      1.44
22:35:36    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:36    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:36    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:41        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:41      nvme0n1     63.60    156.80    140.80      0.00      4.68      0.02      0.34      1.90
22:35:41    nvme0n1p1     63.60    156.80    140.80      0.00      4.68      0.02      0.33      1.92
22:35:41    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:41    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:41    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:46        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:46        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:46        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:46        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:46      nvme0n1     54.80     28.00    182.40      0.00      3.84      0.02      0.39      1.60
22:35:46    nvme0n1p1     54.80     28.00    182.40      0.00      3.84      0.02      0.40      1.60
22:35:46    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22:35:46    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
