Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

23:27:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:28:04        all      0.03      0.00      0.08      0.00      0.00     99.90
23:28:09        all     43.71      0.00      1.31      0.03      0.00     54.95
23:28:14        all      0.03      0.00      0.03      0.00      0.00     99.95
23:28:19        all      5.91      0.00      0.30      0.00      0.00     93.79
23:28:24        all     36.01      0.00      2.46      0.18      0.00     61.36
23:28:29        all      0.08      0.00      0.03      0.00      0.00     99.90
Average:        all     14.26      0.00      0.70      0.03      0.00     85.01

23:27:59    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:28:04     19908284  28473500   2752064      8.64     81180   8721780   3354948     10.53   2692960   8564960       364
23:28:09     19838736  28403976   2821380      8.85     81180   8721788   3464044     10.87   2786008   8564984      2168
23:28:14     19844888  28410128   2815216      8.83     81180   8721800   3464044     10.87   2778444   8564984      2180
23:28:19     19831960  28397200   2828128      8.88     81180   8721812   3463256     10.87   2803020   8564984      2340
23:28:24     19818028  28383384   2841980      8.92     81184   8721904   3485956     10.94   2828428   8565100     19484
23:28:29     19817856  28383212   2842140      8.92     81184   8721916   3502860     10.99   2828648   8565100     19488
Average:     19843292  28408567   2816818      8.84     81181   8721833   3455851     10.85   2786251   8565019      7671

23:27:59          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
23:28:04        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:28:04        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:28:04        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:28:04        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:28:04      nvme0n1      6.00      0.00    569.60      0.00     94.93      0.01      1.73      0.16
23:28:04    nvme0n1p1      6.00      0.00    569.60      0.00     94.93      0.01      1.73      0.18
23:28:04    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:28:04    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:28:04    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:28:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:28:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:28:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:28:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:28:09      nvme0n1     16.00      0.00     72.80      0.00      4.55      0.01      0.30      0.44
23:28:09    nvme0n1p1     16.00      0.00     72.80      0.00      4.55      0.00      0.30      0.44
23:28:09    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:28:09    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:28:09    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:28:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
