Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

23:24:42        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:24:47        all      0.07      0.00      0.07      0.03      0.00     99.83
23:24:52        all      6.44      0.00      0.25      0.00      0.00     93.30
23:24:57        all     15.67      0.00      0.58      0.05      0.00     83.70
23:25:02        all     13.20      0.00      0.53      0.00      0.00     86.27
23:25:07        all      5.21      0.00      0.33      0.00      0.00     94.46
23:25:12        all      0.05      0.00      0.03      0.00      0.00     99.92
23:25:17        all      0.33      0.00      0.10      0.03      0.00     99.55
23:25:22        all     14.57      0.00      0.45      0.03      0.00     84.95
23:25:27        all      6.44      0.00      0.25      0.03      0.00     93.29
23:25:32        all      7.41      0.00      0.75      0.00      0.00     91.84
23:25:37        all      3.74      0.00      0.25      0.05      0.00     95.96
23:25:42        all      6.54      0.00      0.40      0.03      0.00     93.03
23:25:47        all      0.05      0.00      0.05      0.00      0.00     99.90
Average:        all      6.13      0.00      0.31      0.02      0.00     93.55

23:24:42    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:24:47     19846896  28410432   2815824      8.84     80616   8721028   3443620     10.81   2791916   8563808       380
23:24:52     19799520  28363064   2863192      8.99     80616   8721036   3463840     10.87   2847560   8563816       236
23:24:57     19741116  28304672   2921552      9.17     80616   8721048   3484524     10.94   2911224   8563828       248
23:25:02     19703772  28267340   2958852      9.29     80616   8721064   3503772     11.00   2944016   8563840      2280
23:25:07     19690228  28253812   2972380      9.33     80620   8721076   3505184     11.00   2954572   8563856      2204
23:25:12     19696228  28259828   2966368      9.31     80620   8721088   3505184     11.00   2954840   8563872      2212
23:25:17     19696356  28259964   2966232      9.31     80620   8721096   3505568     11.00   2954808   8563880      2140
23:25:22     19651248  28214868   3011328      9.45     80620   8721108   3512072     11.02   2998788   8563892      4004
23:25:27     19655448  28219080   3007116      9.44     80620   8721120   3513620     11.03   2994308   8563904      5624
23:25:32     19655632  28219340   3006856      9.44     80620   8721196   3515808     11.03   2998788   8563980     21728
23:25:37     19650844  28214560   3011668      9.45     80620   8721204   3518704     11.04   3006112   8563988     21472
23:25:42     19641268  28205016   3021212      9.48     80624   8721232   3520056     11.05   3028864   8564020     22612
23:25:47     19641268  28205016   3021200      9.48     80624   8721244   3528636     11.07   3028864   8564020     22624
Average:     19697679  28261307   2964906      9.30     80619   8721118   3501584     10.99   2954974   8563900      8290

23:24:42          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
23:24:47        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:47        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:47        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:47        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:47      nvme0n1      6.40      0.00    548.00      0.00     85.62      0.01      1.47      0.12
23:24:47    nvme0n1p1      6.40      0.00    548.00      0.00     85.62      0.01      1.47      0.12
23:24:47    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:47    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:47    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:52        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:52        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:52        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:52        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:52      nvme0n1      6.40      0.00     45.60      0.00      7.12      0.00      0.34      0.22
23:24:52    nvme0n1p1      6.40      0.00     45.60      0.00      7.12      0.00      0.34      0.22
23:24:52    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:52    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:52    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:57      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.12
23:24:57    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.12
23:24:57    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:57    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:24:57    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:25:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:25:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:25:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
