Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

23:23:02        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:23:07        all      2.72      0.00      1.02      0.03      0.00     96.24
23:23:12        all     83.44      0.00      2.90      0.00      0.00     13.66
23:23:17        all     91.05      0.00      6.31      0.03      0.00      2.61
23:23:22        all     34.36      0.00      4.77      0.00      0.00     60.86
23:23:27        all      1.34      0.00      0.45      0.00      0.00     98.21
23:23:32        all     35.24      0.00      3.52      0.18      0.00     61.06
23:23:37        all     82.86      0.00     13.31      0.18      0.00      3.65
23:23:42        all     84.44      0.00     12.80      0.00      0.00      2.76
23:23:47        all     73.86      0.00     11.78      0.00      0.00     14.36
23:23:52        all      1.00      0.00      0.13      0.03      0.00     98.85
Average:        all     49.08      0.00      5.71      0.04      0.00     45.17

23:23:02    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:23:07     19758672  28321480   2905160      9.12     80304   8720512   3994948     12.54   2812492   8563116      2760
23:23:12     19489044  28051876   3174272      9.96     80304   8720536   4311776     13.53   3102064   8563140      9544
23:23:17     19459508  28022884   3203264     10.05     80304   8721080   4334932     13.60   3144036   8563684     50256
23:23:22     19249148  27812548   3413596     10.71     80312   8721100   4563036     14.32   3365676   8563708     51796
23:23:27     19145868  27709100   3516952     11.04     80312   8720940   4567696     14.33   3474980   8563552     51764
23:23:32     19095976  27659484   3566596     11.19     80312   8721216   4594876     14.42   3527760   8563828     49260
23:23:37     19107504  27671984   3554032     11.15     80312   8722188   4608232     14.46   3526624   8564800    101316
23:23:42     19096164  27660708   3565308     11.19     80312   8722252   4609000     14.46   3551200   8564864     24840
23:23:47     18782284  27346880   3879136     12.17     80312   8722304   4884160     15.33   3862004   8564916     25852
23:23:52     18791476  27356072   3869860     12.14     80320   8722316   4884144     15.33   3851172   8564916     26096
Average:     19197564  27761302   3464818     10.87     80310   8721444   4535280     14.23   3421801   8564052     39348

23:23:02          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
23:23:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:07      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:07    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:07    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:07    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:07    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:12      nvme0n1     44.80      0.00    596.00      0.00     13.30      0.02      0.45      1.18
23:23:12    nvme0n1p1     44.80      0.00    596.00      0.00     13.30      0.02      0.45      1.20
23:23:12    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:12    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:12    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:23:17      nvme0n1     85.60     45.60    233.60      0.00      3.26      0.03      0.29      2.04
23:23:17    nvme0n1p1     85.60     45.60    233.60      0.00      3.26      0.02      0.29      2.04
