Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

23:21:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:21:22        all      2.72      0.00      1.09      0.00      0.00     96.19
23:21:27        all     73.25      0.00      3.42      0.13      0.00     23.20
23:21:32        all     87.22      0.00      7.07      0.00      0.00      5.71
23:21:37        all     26.11      0.00      3.67      0.03      0.00     70.20
23:21:42        all      1.77      0.00      0.58      0.00      0.00     97.65
23:21:47        all     15.52      0.00      2.17      0.13      0.00     82.19
23:21:52        all     35.83      0.00      4.65      0.20      0.00     59.32
23:21:57        all     33.35      0.00      5.21      0.13      0.00     61.31
23:22:02        all     29.56      0.00      4.33      0.13      0.00     65.98
23:22:07        all     37.34      0.00      4.71      0.20      0.00     57.75
23:22:12        all     43.39      0.00      5.84      0.18      0.00     50.59
23:22:17        all     13.81      0.00      1.99      0.05      0.00     84.15
Average:        all     33.34      0.00      3.72      0.10      0.00     62.84

23:21:17    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:21:22     19743688  28305284   2921580      9.17     79976   8719904   4034268     12.66   2855964   8562420      2952
23:21:27     19463984  28025660   3200664     10.04     79976   8719984   4333600     13.60   3153852   8562500     11572
23:21:32     19176988  27739052   3487268     10.94     79976   8720372   4615000     14.48   3457872   8562888     46368
23:21:37     19175320  27737504   3488812     10.95     79976   8720492   4617000     14.49   3454700   8563008     51444
23:21:42     19054220  27616220   3609996     11.33     79976   8720328   4629680     14.53   3564824   8562844     51412
23:21:47     19070068  27632164   3594052     11.28     79984   8720416   4632388     14.54   3566948   8562940     43716
23:21:52     19059948  27622228   3603980     11.31     79984   8720600   4634192     14.54   3589164   8563124     57712
23:21:57     19064020  27626468   3599644     11.30     79984   8720768   4642836     14.57   3583584   8563292     26920
23:22:02     19047068  27609844   3616268     11.35     79984   8721096   4643968     14.57   3607380   8563620     43724
23:22:07     19041724  27604800   3621312     11.36     79984   8721396   4644932     14.58   3611932   8563920     59300
23:22:12     19025540  27588868   3637244     11.41     79984   8721648   4646416     14.58   3623880   8564172     70260
23:22:17     19007792  27571188   3655052     11.47     79984   8721716   4646788     14.58   3633284   8564240     66744
Average:     19160863  27723273   3502989     10.99     79981   8720727   4560089     14.31   3475282   8563247     44344

23:21:17          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
23:21:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:22      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:22    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:22    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:22    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:22    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:27        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:27      nvme0n1     48.60      0.00    630.40      0.00     12.97      0.03      0.49      1.30
23:21:27    nvme0n1p1     48.60      0.00    630.40      0.00     12.97      0.02      0.49      1.32
23:21:27    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:27    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:27    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:32        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:32        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:32        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:32        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:32      nvme0n1     64.60     33.60    181.60      0.00      3.33      0.02      0.30      1.68
23:21:32    nvme0n1p1     64.60     33.60    181.60      0.00      3.33      0.02      0.30      1.68
23:21:32    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:32    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:32    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:21:37        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
