Linux 6.17.0-1020-gcp (neo4j-baseline-16) 	07/05/26 	_x86_64_	(16 CPU)

04:03:52        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:03:57        all      1.73      0.00      0.49      0.00      0.00     97.78
04:04:02        all     76.60      0.00      2.85      0.00      0.00     20.55
04:04:07        all     37.62      0.00      3.39      0.10      0.00     58.89
04:04:12        all      0.86      0.00      0.19      0.00      0.00     98.95
04:04:17        all     22.31      0.00      2.12      0.04      0.00     75.54
04:04:22        all     82.76      0.00     11.99      0.13      0.00      5.12
04:04:27        all     53.16      0.00      7.94      0.00      0.00     38.90
04:04:32        all      0.41      0.00      0.06      0.11      0.00     99.41
Average:        all     34.37      0.00      3.63      0.05      0.00     61.96

04:03:52    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
04:03:57     51931116  60284720   4670012      7.09     73856   8722312   6273372      9.53   4384356   8557976      3156
04:04:02     51391580  59745284   5208264      7.91     73856   8722412   6913104     10.50   4914504   8558076     16612
04:04:07     51359636  59713832   5239716      7.96     73856   8722904   6969748     10.59   4973592   8558568     48280
04:04:12     51256984  59611028   5342400      8.11     73856   8722752   6977776     10.60   5076720   8558416     48256
04:04:17     51244316  59598664   5354752      8.13     73856   8723068   6996960     10.63   5126148   8558720     61124
04:04:22     51210260  59565656   5387732      8.18     73860   8724104   7015956     10.66   5176080   8559768     81672
04:04:27     51221764  59577244   5376144      8.17     73860   8724188   7017096     10.66   5170652   8559852     85124
04:04:32     51213664  59569156   5384256      8.18     73860   8724208   7029720     10.68   5179320   8559864      5792
Average:     51353665  59708198   5245410      7.97     73858   8723244   6899216     10.48   5000172   8558905     43752

04:03:52          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
04:03:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:03:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:03:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:03:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:03:57          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:03:57         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:03:57        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:03:57        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:03:57        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:02        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:02          sda     32.60      0.00    642.40      0.00     19.71      0.02      0.71      0.88
04:04:02         sda1     32.60      0.00    642.40      0.00     19.71      0.02      0.71      0.88
04:04:02        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:02        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:02        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:07          sda     97.00     45.60    266.40      0.00      3.22      0.03      0.30      2.76
04:04:07         sda1     97.00     45.60    266.40      0.00      3.22      0.03      0.30      2.76
04:04:07        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:07        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:07        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:12          sda      1.00      0.00     19.20      0.00     19.20      0.00      0.60      0.04
04:04:12         sda1      1.00      0.00     19.20      0.00     19.20      0.00      0.60      0.04
04:04:12        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:12        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:12        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:17          sda     92.20     52.00    211.20      0.00      2.85      0.03      0.27      2.54
04:04:17         sda1     92.20     52.00    211.20      0.00      2.85      0.03      0.27      2.54
04:04:17        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:17        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:17        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:22          sda    315.60    126.40   2470.40   3649.60     19.79      0.31      0.96      6.66
04:04:22         sda1    315.60    126.40   2470.40   3649.60     19.79      0.30      0.96      6.74
04:04:22        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:22        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:22        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:27        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:27          sda      6.40      0.00     68.80      0.00     10.75      0.01      1.28      0.04
04:04:27         sda1      6.40      0.00     68.80      0.00     10.75      0.01      1.28      0.04
04:04:27        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:27        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:27        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:32        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:32        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:32        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:32        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:32          sda    278.40      0.00   2470.40      0.00      8.87      0.17      0.62      2.04
04:04:32         sda1    278.40      0.00   2470.40      0.00      8.87      0.17      0.62      2.12
04:04:32        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:32        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:04:32        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          sda    102.90     28.00    768.60    456.20     12.17      0.07      0.68      1.87
Average:         sda1    102.90     28.00    768.60    456.20     12.17      0.07      0.68      1.89
Average:        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
