Linux 6.17.0-1020-gcp (neo4j-baseline-16) 	07/05/26 	_x86_64_	(16 CPU)

04:08:36        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:08:41        all      0.02      0.00      0.05      0.00      0.00     99.93
04:08:46        all     27.62      0.00      0.93      0.04      0.00     71.41
04:08:51        all      0.00      0.00      0.03      0.00      0.00     99.97
04:08:56        all     12.97      0.00      0.48      0.00      0.00     86.56
04:09:01        all      8.71      0.00      0.64      0.04      0.00     90.62
04:09:06        all      0.29      0.00      0.10      0.00      0.00     99.61
Average:        all      8.24      0.00      0.37      0.01      0.00     91.38

04:08:36    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
04:08:41     52314208  60670924   4281768      6.50     74748   8723936   4794844      7.28   3957452   8560056      3300
04:08:46     52192844  60549604   4402912      6.69     74748   8723956   4924032      7.48   4122016   8560100      3172
04:08:51     52232944  60589704   4362796      6.63     74748   8723972   4924032      7.48   4116456   8560100      3188
04:08:56     52194144  60550932   4401344      6.69     74748   8723992   5060380      7.69   4172980   8560128      8532
04:09:01     52193944  60550816   4401340      6.69     74748   8724068   5068268      7.70   4178916   8560212     20296
04:09:06     52185072  60541964   4410184      6.70     74748   8724096   5105516      7.75   4197772   8560232     20420
Average:     52218859  60575657   4376724      6.65     74748   8724003   4979512      7.56   4124265   8560138      9818

04:08:36          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
04:08:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:41        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:41          sda      0.20      0.00      0.80      0.00      4.00      0.00      1.00      0.00
04:08:41         sda1      0.20      0.00      0.80      0.00      4.00      0.00      1.00      0.00
04:08:41        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:41        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:41        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:46        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:46        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:46        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:46        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:46          sda     15.80      0.00     72.00      0.00      4.56      0.01      0.37      0.48
04:08:46         sda1     15.80      0.00     72.00      0.00      4.56      0.01      0.35      0.48
04:08:46        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:46        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:46        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:51        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:51        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:51        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:51        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:51          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:51         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:51        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:51        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:51        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:56        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:56        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:56          sda     10.60      0.00     43.20      0.00      4.08      0.01      0.60      0.16
04:08:56         sda1     10.60      0.00     43.20      0.00      4.08      0.01      0.62      0.16
04:08:56        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:56        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:08:56        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:09:01        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:09:01        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:09:01        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:09:01        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:09:01          sda     44.40      0.00    428.80      0.00      9.66      0.05      1.10      0.92
04:09:01         sda1     44.40      0.00    428.80      0.00      9.66      0.05      1.10      0.92
04:09:01        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:09:01        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:09:01        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:09:06        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:09:06        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:09:06        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:09:06        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:09:06          sda      0.60      0.00     24.80      0.00     41.33      0.00      0.67      0.04
04:09:06         sda1      0.60      0.00     24.80      0.00     41.33      0.00      0.67      0.04
04:09:06        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:09:06        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:09:06        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
