Linux 6.17.0-1020-gcp (neo4j-baseline-16) 	07/05/26 	_x86_64_	(16 CPU)

04:05:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:05:24        all      0.05      0.00      0.00      0.01      0.00     99.94
04:05:29        all      3.75      0.00      0.15      0.01      0.00     96.08
04:05:34        all      7.38      0.00      0.33      0.01      0.00     92.28
04:05:39        all      9.06      0.00      0.29      0.00      0.00     90.66
04:05:44        all      2.48      0.00      0.14      0.01      0.00     97.37
04:05:49        all      0.05      0.00      0.03      0.00      0.00     99.92
04:05:54        all      0.39      0.00      0.01      0.00      0.00     99.60
04:05:59        all      5.69      0.00      0.23      0.01      0.00     94.08
04:06:04        all      2.18      0.00      0.11      0.01      0.00     97.70
04:06:09        all      3.64      0.00      0.25      0.00      0.00     96.11
04:06:14        all      2.34      0.00      0.09      0.03      0.00     97.55
04:06:19        all      3.70      0.00      0.25      0.00      0.00     96.05
04:06:24        all      0.03      0.00      0.01      0.00      0.00     99.96
Average:        all      3.13      0.00      0.14      0.01      0.00     96.72

04:05:19    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
04:05:24     52240408  60595308   4358860      6.62     74136   8723132   4850068      7.37   4025584   8558684       276
04:05:29     52238136  60593056   4361112      6.62     74136   8723152   4870608      7.40   4056740   8558704       144
04:05:34     52210068  60565004   4389132      6.67     74136   8723168   4897356      7.44   4118700   8558720       160
04:05:39     52214276  60569232   4384872      6.66     74136   8723188   4910332      7.46   4137400   8558740       176
04:05:44     52228872  60583848   4370288      6.64     74140   8723208   4914516      7.46   4157836   8558760       224
04:05:49     52242256  60597244   4356884      6.62     74140   8723228   4914580      7.46   4150944   8558772       240
04:05:54     52241364  60596368   4357756      6.62     74140   8723248   4915032      7.47   4154980   8558788       120
04:05:59     52232000  60587040   4367100      6.63     74140   8723268   4921016      7.47   4167332   8558824      2184
04:06:04     52215436  60570484   4383644      6.66     74140   8723288   4923524      7.48   4180860   8558832      3684
04:06:09     52216148  60571276   4382864      6.66     74140   8723356   4924492      7.48   4182504   8558912     20960
04:06:14     52211416  60566560   4387580      6.66     74140   8723372   4926360      7.48   4191352   8558928     20976
04:06:19     52163772  60518932   4435224      6.74     74144   8723408   4927968      7.48   4229256   8558944     21996
04:06:24     52165628  60520820   4433348      6.73     74144   8723428   4928032      7.49   4229444   8558976     22016
Average:     52216906  60571936   4382205      6.66     74139   8723265   4909530      7.46   4152533   8558814      7166

04:05:19          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
04:05:24        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:24        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:24        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:24        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:24          sda      6.00      0.00    634.40      0.00    105.73      0.01      1.63      0.12
04:05:24         sda1      6.00      0.00    634.40      0.00    105.73      0.01      1.67      0.12
04:05:24        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:24        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:24        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:29        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:29        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:29        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:29        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:29          sda      6.40      0.00     45.60      0.00      7.12      0.00      0.41      0.20
04:05:29         sda1      6.40      0.00     45.60      0.00      7.12      0.00      0.38      0.20
04:05:29        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:29        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:29        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:34        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:34        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:34        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:34        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:34          sda      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.10
04:05:34         sda1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.10
04:05:34        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:34        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:34        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:39        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:39        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:39        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:39        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:39          sda      5.00      0.00     15.20      0.00      3.04      0.00      0.36      0.18
04:05:39         sda1      5.00      0.00     15.20      0.00      3.04      0.00      0.40      0.18
04:05:39        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:39        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:39        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:44        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:44        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:44        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:44        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:44          sda      5.00      0.00     40.80      0.00      8.16      0.00      0.64      0.14
04:05:44         sda1      5.00      0.00     40.80      0.00      8.16      0.00      0.60      0.14
04:05:44        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:44        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:44        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:49        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:49        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:49        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:49        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:49          sda      0.20      0.00      0.80      0.00      4.00      0.00      0.00      0.00
04:05:49         sda1      0.20      0.00      0.80      0.00      4.00      0.00      1.00      0.00
04:05:49        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:49        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:49        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:54        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:54        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:54        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:54        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:54          sda      2.20      0.00     33.60      0.00     15.27      0.00      0.45      0.08
04:05:54         sda1      2.20      0.00     33.60      0.00     15.27      0.00      0.45      0.08
04:05:54        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:54        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:54        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:59        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:59        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:59        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:59        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:59          sda      2.80      0.00      8.00      0.00      2.86      0.00      0.36      0.08
04:05:59         sda1      2.80      0.00      8.00      0.00      2.86      0.00      0.36      0.08
04:05:59        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:59        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:05:59        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:04        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:04        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:04        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:04        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:04          sda      3.60      0.00      8.80      0.00      2.44      0.00      0.28      0.08
04:06:04         sda1      3.60      0.00      8.80      0.00      2.44      0.00      0.28      0.08
04:06:04        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:04        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:04        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:09          sda      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.12
04:06:09         sda1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.12
04:06:09        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:09        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:09        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:14        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:14        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:14        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:14          sda     12.40      0.00     36.80      0.00      2.97      0.00      0.32      0.36
04:06:14         sda1     12.40      0.00     36.80      0.00      2.97      0.00      0.32      0.36
04:06:14        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:14        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:14        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:19        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:06:19          sda      9.00      0.00     41.60      0.00      4.62      0.01      0.62      0.18
04:06:19         sda1      9.00      0.00     41.60      0.00      4.62      0.01      0.62      0.18
04:06:19        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
