Linux 6.17.0-1020-gcp (neo4j-baseline-16) 	07/05/26 	_x86_64_	(16 CPU)

04:07:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:07:19        all      0.05      0.00      0.04      0.01      0.00     99.90
04:07:24        all     26.53      0.00      0.89      0.03      0.00     72.55
04:07:29        all      0.03      0.00      0.01      0.00      0.00     99.96
04:07:34        all      6.14      0.00      0.21      0.01      0.00     93.63
04:07:39        all     19.72      0.00      1.07      0.08      0.00     79.14
04:07:44        all      0.13      0.00      0.04      0.00      0.00     99.84
Average:        all      8.74      0.00      0.38      0.02      0.00     90.87

04:07:14    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
04:07:19     52395660  60751296   4202012      6.38     74412   8723628   4771260      7.25   3929956   8559412       376
04:07:24     52243872  60599552   4353580      6.61     74412   8723648   4885336      7.42   4080556   8559456       244
04:07:29     52262412  60618092   4335024      6.58     74412   8723664   4885336      7.42   4080532   8559456       260
04:07:34     52234528  60590236   4362888      6.63     74412   8723684   4889840      7.43   4109360   8559484       280
04:07:39     52228048  60583880   4369220      6.64     74412   8723800   4921304      7.47   4143676   8559608     11856
04:07:44     52240512  60596356   4356720      6.62     74420   8723820   4933180      7.49   4144892   8559620     11972
Average:     52267505  60623235   4329907      6.58     74413   8723707   4881043      7.41   4081495   8559506      4165

04:07:14          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
04:07:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:19        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:19          sda      5.40      0.00    665.60      0.00    123.26      0.01      1.96      0.14
04:07:19         sda1      5.40      0.00    665.60      0.00    123.26      0.01      2.00      0.16
04:07:19        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:19        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:19        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:24        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:24        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:24        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:24        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:24          sda     16.00      0.00     72.80      0.00      4.55      0.01      0.38      0.66
04:07:24         sda1     16.00      0.00     72.80      0.00      4.55      0.01      0.38      0.66
04:07:24        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:24        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:24        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:29        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:29        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:29        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:29        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:29          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:29         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:29        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:29        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:29        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:34        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:34        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:34        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:34        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:34          sda      4.40      0.00     12.00      0.00      2.73      0.00      0.41      0.20
04:07:34         sda1      4.40      0.00     12.00      0.00      2.73      0.00      0.41      0.20
04:07:34        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:34        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:34        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:39        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:07:39        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
