Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/05/26 	_x86_64_	(2 CPU)

01:36:51        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:36:56        all     83.25      0.00      6.86      1.21      0.00      8.68
01:37:01        all     75.43      0.00      2.32      0.60      0.00     21.65
01:37:06        all     95.50      0.00      4.30      0.00      0.00      0.20
01:37:11        all     96.39      0.00      3.41      0.00      0.00      0.20
01:37:16        all     94.60      0.00      5.10      0.00      0.00      0.30
01:37:21        all     96.10      0.00      3.60      0.00      0.00      0.30
01:37:26        all     95.29      0.00      4.41      0.00      0.00      0.30
01:37:31        all     93.10      0.00      6.40      0.00      0.00      0.50
01:37:36        all     57.79      0.00      4.42      0.00      0.00     37.79
01:37:41        all      6.53      0.00      0.90      0.00      0.00     92.56
01:37:46        all     21.56      0.00      1.92      0.10      0.00     76.42
01:37:51        all     91.99      0.00      7.71      0.10      0.00      0.20
01:37:56        all     92.38      0.00      6.81      0.00      0.00      0.80
01:38:01        all     93.69      0.00      6.01      0.00      0.00      0.30
01:38:06        all     91.09      0.00      8.51      0.10      0.00      0.30
01:38:11        all     91.68      0.00      7.92      0.00      0.00      0.40
01:38:16        all     93.19      0.00      6.11      0.00      0.00      0.70
01:38:21        all     92.88      0.00      6.72      0.00      0.00      0.40
01:38:26        all     94.71      0.00      5.00      0.00      0.00      0.30
01:38:31        all     91.47      0.00      8.22      0.00      0.00      0.30
01:38:36        all     93.61      0.00      6.19      0.00      0.00      0.20
01:38:41        all     91.48      0.00      8.02      0.00      0.00      0.50
01:38:46        all     61.12      0.00      5.01      0.00      0.00     33.87
01:38:51        all      2.61      0.00      0.20      0.00      0.00     97.19
Average:        all     79.11      0.00      5.26      0.09      0.00     15.55

01:36:51    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
01:36:56       378712   5452016   2288156     28.16     77224   5117200   2948712     36.28   2202192   5116804     72220
01:37:01       322432   5337028   2403096     29.57     77224   5059868   3042284     37.44   2313696   5059472      2392
01:37:06       282364   5297032   2443092     30.06     77224   5059940   3065104     37.72   2350352   5059544      2404
01:37:11       259188   5274048   2466076     30.35     77224   5060132   3090044     38.02   2381040   5058984      4664
01:37:16       244820   5259944   2480196     30.52     77224   5060396   3093716     38.07   2390952   5059248     31288
01:37:21       238072   5253208   2486932     30.60     77224   5060408   3095384     38.09   2398820   5059260     30140
01:37:26       238072   5253224   2486916     30.60     77224   5060424   3097128     38.11   2401540   5059276     30684
01:37:31       238072   5253240   2486900     30.60     77224   5060440   3097772     38.12   2394920   5059292      4240
01:37:36       237064   5252248   2487892     30.61     77224   5060456   3098692     38.13   2395940   5059308      4448
01:37:41       173308   5188316   2551792     31.40     77224   5060292   3150120     38.76   2463448   5059144      4436
01:37:46       161212   5176328   2563780     31.55     77224   5060400   3157140     38.85   2479304   5059252       280
01:37:51       152672   5168624   2571484     31.64     77224   5061236   3164448     38.94   2487388   5060088     49228
01:37:56       149064   5165296   2574812     31.68     77224   5061516   3166320     38.96   2489896   5060368     71156
01:38:01       141000   5157248   2582860     31.78     77224   5061532   3169032     39.00   2496048   5060384     73140
01:38:06       141292   5157560   2582548     31.78     77224   5061552   3169496     39.00   2496960   5060404     22284
01:38:11       146052   5162336   2577772     31.72     77224   5061568   3169496     39.00   2492460   5060320     22788
01:38:16       136224   5152524   2587584     31.84     77224   5061584   3169624     39.00   2497472   5060336     20356
01:38:21       133200   5149524   2590584     31.88     77224   5061608   3169884     39.01   2498552   5060360      5924
01:38:26       131184   5147532   2592576     31.90     77224   5061632   3170208     39.01   2500480   5060384       676
01:38:31       130176   5146544   2593564     31.91     77228   5061652   3170468     39.01   2501988   5060408      1140
01:38:36       128188   5144572   2595512     31.94     77228   5061668   3170596     39.01   2503560   5060424      3504
01:38:41       127684   5144088   2595996     31.94     77228   5061688   3170856     39.02   2505204   5060444      3592
01:38:46       126928   5143348   2596732     31.95     77228   5061708   3170984     39.02   2506372   5060460      4380
01:38:51       126424   5142876   2597208     31.96     77228   5061736   3171796     39.03   2509780   5060492      4308
Average:       189308   5207446   2532669     31.16     77225   5063360   3130804     38.52   2444098   5062269     19570

01:36:51          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
01:36:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:36:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:36:56        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:36:56        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:36:56          sda     37.40      0.00   9496.00      0.00    253.90      0.29      7.65      2.48
01:36:56         sda1     37.40      0.00   9496.00      0.00    253.90      0.29      7.65      2.58
01:36:56        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:36:56        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:36:56        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:01        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:01        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:01        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:01        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:01          sda     25.95      0.00   3326.95     24.75    129.17      0.16      6.20      1.38
01:37:01         sda1     25.95      0.00   3326.95     24.75    129.17      0.16      6.19      1.40
01:37:01        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:01        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:01        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:06        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:06        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:06        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:06        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:06          sda     61.60     11.20    162.40      0.00      2.82      0.02      0.31      1.32
01:37:06         sda1     61.60     11.20    162.40      0.00      2.82      0.02      0.31      1.32
01:37:06        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:06        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:06        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:11        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:11        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:11        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:11        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:11          sda     53.40     34.40    124.00      0.00      2.97      0.02      0.31      1.44
01:37:11         sda1     53.40     34.40    124.00      0.00      2.97      0.02      0.31      1.44
01:37:11        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:11        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:11        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:16        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:16        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:16        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:16        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:16          sda     49.00      0.00   1296.80      0.00     26.47      0.06      1.30      0.34
01:37:16         sda1     49.00      0.00   1296.80      0.00     26.47      0.06      1.30      0.34
01:37:16        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:16        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:16        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:21        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:21        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:21        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:21        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:37:21          sda      1.20      0.00     11.20      0.00      9.33      0.00      0.83      0.00
01:37:21         sda1      1.20      0.00     11.20      0.00      9.33      0.00      0.67      0.00
