Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/05/26 	_x86_64_	(2 CPU)

01:33:42        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:33:47        all     68.41      0.00      5.63      1.91      0.00     24.04
01:33:52        all     69.28      0.00      2.32      0.00      0.00     28.40
01:33:57        all     95.79      0.00      4.01      0.00      0.00      0.20
01:34:02        all     96.20      0.00      3.50      0.00      0.00      0.30
01:34:07        all     95.19      0.00      4.61      0.00      0.00      0.20
01:34:12        all     95.39      0.00      4.11      0.00      0.00      0.50
01:34:17        all     95.30      0.00      4.40      0.00      0.00      0.30
01:34:22        all     94.09      0.00      5.71      0.00      0.00      0.20
01:34:27        all     83.77      0.00      7.01      0.00      0.00      9.22
01:34:32        all      0.70      0.00      0.20      0.00      0.00     99.10
01:34:37        all      5.88      0.00      1.62      0.10      0.00     92.40
01:34:42        all     81.97      0.00      5.24      0.10      0.00     12.69
01:34:47        all     92.71      0.00      6.79      0.00      0.00      0.50
01:34:52        all     92.27      0.00      7.33      0.00      0.00      0.40
01:34:57        all     92.09      0.00      7.51      0.00      0.00      0.40
01:35:02        all     90.98      0.00      8.52      0.00      0.00      0.50
01:35:07        all     92.99      0.00      6.81      0.00      0.00      0.20
01:35:12        all     93.29      0.00      6.21      0.00      0.00      0.50
01:35:17        all     92.41      0.00      7.19      0.00      0.00      0.40
01:35:22        all     95.49      0.00      4.21      0.00      0.00      0.30
01:35:27        all     92.38      0.00      7.01      0.00      0.00      0.60
01:35:32        all     92.99      0.00      6.71      0.00      0.00      0.30
01:35:37        all     93.79      0.00      6.01      0.00      0.00      0.20
01:35:42        all     92.50      0.00      7.30      0.00      0.00      0.20
01:35:47        all     43.39      0.00      3.71      0.00      0.00     52.91
Average:        all     81.61      0.00      5.35      0.08      0.00     12.96

01:33:42    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
01:33:47       262864   5477764   2261484     27.83     80544   5249756   2999928     36.91   2266244   5203528       256
01:33:52       145260   5360168   2378948     29.27     80544   5249764   3077744     37.87   2362464   5203536       264
01:33:57       200516   5332864   2406380     29.61     79340   5170268   3112540     38.30   2344620   5186520       276
01:34:02       189456   5321984   2417260     29.74     79340   5170448   3119680     38.39   2357072   5186700      2600
01:34:07       174592   5307384   2431856     29.92     79340   5170712   3124068     38.44   2367672   5186900     40860
01:34:12       168796   5301600   2437640     30.00     79340   5170724   3125604     38.46   2379604   5186912     42144
01:34:17       150652   5283464   2455776     30.22     79340   5170732   3126644     38.47   2389648   5186920     43076
01:34:22       150652   5283480   2455760     30.22     79340   5170748   3128836     38.50   2395980   5186936     43672
01:34:27       141076   5273928   2465312     30.34     79340   5170772   3136232     38.59   2403468   5186960     17072
01:34:32       141076   5273936   2465304     30.34     79340   5170780   3136232     38.59   2403704   5186968     17080
01:34:37       171000   5224708   2514672     30.94     78092   5094720   3138576     38.62   2452936   5109740     11064
01:34:42       167220   5221080   2518344     30.99     78092   5094868   3144572     38.69   2462520   5109888     14328
01:34:47       150088   5204108   2535284     31.20     78100   5095020   3148160     38.74   2472712   5110048     30488
01:34:52       150088   5204276   2535116     31.19     78100   5095188   3148740     38.75   2474608   5110216     47692
01:34:57       148324   5203076   2536316     31.21     78100   5095752   3152692     38.79   2474848   5110576     58396
01:35:02       144796   5199816   2539492     31.25     78104   5096016   3152944     38.80   2475848   5110828     31028
01:35:07       128920   5184132   2555184     31.44     78104   5096208   3154040     38.81   2490308   5111020     42956
01:35:12       128920   5184504   2554812     31.44     78104   5096580   3154104     38.81   2488832   5111048     42368
01:35:17       128920   5184532   2554784     31.44     78104   5096608   3154232     38.81   2483076   5110584     26520
01:35:22       128920   5184544   2554772     31.44     78104   5096620   3154556     38.82   2484064   5110596     26528
01:35:27       128920   5184568   2554748     31.44     78104   5096644   3163076     38.92   2486836   5110620     21632
01:35:32       200428   5177916   2561536     31.52     76856   5021312   3163332     38.93   2496176   5034036      1776
01:35:37       200176   5177688   2561764     31.52     76856   5021336   3163528     38.93   2497504   5034060      1900
01:35:42       192112   5169644   2569884     31.62     76856   5021356   3163784     38.93   2504752   5034080      4132
01:35:47       192112   5169656   2569868     31.62     76860   5021368   3163848     38.93   2504968   5034092      5380
Average:       163435   5243633   2495692     30.71     78494   5120172   3136308     38.59   2436819   5130132     22940

01:33:42          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
01:33:47        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:47        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:47        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:47        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:47          sda    104.60    755.20  12776.80     46.40    129.81      0.45      4.34      5.36
01:33:47         sda1    104.60    755.20  12776.80     46.40    129.81      0.45      4.34      5.56
01:33:47        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:47        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:47        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:52        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:52        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:52        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:52        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:52          sda     12.80      0.00     34.40      0.00      2.69      0.00      0.33      0.28
01:33:52         sda1     12.80      0.00     34.40      0.00      2.69      0.00      0.33      0.28
01:33:52        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:52        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:52        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:57          sda     62.60     13.60    162.40      0.00      2.81      0.02      0.34      1.90
01:33:57         sda1     62.60     13.60    162.40      0.00      2.81      0.02      0.34      1.90
01:33:57        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:57        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:33:57        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:02        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:02          sda     48.40     32.00    112.80      0.00      2.99      0.02      0.32      1.08
01:34:02         sda1     48.40     32.00    112.80      0.00      2.99      0.02      0.32      1.08
01:34:02        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:02        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:02        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:07          sda     19.00      0.00    200.80      0.00     10.57      0.02      1.04      0.16
01:34:07         sda1     19.00      0.00    200.80      0.00     10.57      0.02      1.04      0.16
01:34:07        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:07        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:07        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:12          sda      0.40      0.00      1.60      0.00      4.00      0.00      0.50      0.00
01:34:12         sda1      0.40      0.00      1.60      0.00      4.00      0.00      1.00      0.00
01:34:12        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:34:12        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
