Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/05/26 	_x86_64_	(2 CPU)

01:42:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:42:19        all      0.10      0.00      0.20      0.00      0.00     99.70
01:42:24        all     86.89      0.00      1.90      0.00      0.00     11.21
01:42:29        all     48.80      0.00      1.50      0.00      0.00     49.70
01:42:34        all      0.10      0.00      0.10      0.00      0.00     99.80
01:42:39        all     16.62      0.00      0.80      0.00      0.00     82.58
01:42:44        all     92.18      0.00      2.81      0.00      0.00      5.01
01:42:49        all     75.73      0.00      3.71      0.00      0.00     20.56
01:42:54        all      2.71      0.00      0.40      0.20      0.00     96.69
Average:        all     40.41      0.00      1.43      0.03      0.00     58.14

01:42:14    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
01:42:19       560236   5584656   2155200     26.52     77624   5069076   2656800     32.69   2066460   5061808      3368
01:42:24       502780   5527208   2212580     27.23     77624   5069084   2688700     33.08   2120764   5061816      3376
01:42:29       502876   5527312   2212476     27.22     77624   5069092   2693396     33.14   2125224   5061824      3376
01:42:34       502876   5527316   2212472     27.22     77624   5069096   2693396     33.14   2125232   5061828      3188
01:42:39       499348   5523796   2216020     27.27     77624   5069104   2695320     33.17   2129444   5061836        44
01:42:44       493304   5517776   2222044     27.34     77628   5069124   2702336     33.25   2137944   5061860      7768
01:42:49       485268   5509892   2229932     27.44     77628   5069276   2706460     33.30   2145224   5062012     24864
01:42:54       485044   5509672   2230152     27.44     77628   5069280   2706784     33.31   2145688   5062016     12584
Average:       503966   5528454   2211360     27.21     77626   5069142   2692899     33.14   2124498   5061875      7321

01:42:14          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
01:42:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:19        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:19          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:19         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:19        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:19        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:19        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:24        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:24        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:24        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:24        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:24          sda     13.20      0.00     36.00      0.00      2.73      0.01      0.35      0.40
01:42:24         sda1     13.20      0.00     36.00      0.00      2.73      0.00      0.36      0.40
01:42:24        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:24        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:24        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:29        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:29        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:29        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
