Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/05/26 	_x86_64_	(4 CPU)

02:29:06        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:11        all     27.06      0.00      2.12      0.91      0.00     69.90
02:29:16        all     79.56      0.00      2.67      0.00      0.00     17.77
02:29:21        all     94.94      0.00      4.26      0.00      0.00      0.80
02:29:26        all     93.48      0.00      5.72      0.00      0.00      0.80
02:29:31        all     88.45      0.00      7.98      0.00      0.00      3.56
02:29:36        all      2.25      0.00      0.45      0.20      0.00     97.10
02:29:41        all      4.19      0.00      0.66      0.10      0.00     95.05
02:29:46        all     65.31      0.00      5.24      0.05      0.00     29.41
02:29:51        all     90.07      0.00      8.78      0.00      0.00      1.15
02:29:56        all     88.66      0.00      9.53      0.00      0.00      1.81
02:30:01        all     90.34      0.00      8.81      0.05      0.00      0.80
02:30:06        all     91.08      0.00      8.17      0.00      0.00      0.75
02:30:11        all     91.04      0.00      8.21      0.05      0.00      0.70
02:30:16        all     63.81      0.00      7.12      0.55      0.00     28.52
02:30:21        all      1.35      0.00      0.15      0.00      0.00     98.50
Average:        all     64.81      0.00      5.33      0.13      0.00     29.74

02:29:06    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:29:11      4442480  13192360   2738932     16.73     93232   8715308   3409640     20.83   2678060   8570828       328
02:29:16      4334372  13084260   2846664     17.39     93232   8715316   3536456     21.60   2808444   8570836       188
02:29:21      4279012  13029292   2901600     17.72     93232   8715708   3582092     21.88   2860948   8571228     32592
02:29:26      4292148  13042588   2888304     17.64     93232   8715868   3588868     21.92   2870536   8571388     46508
02:29:31      4291368  13041832   2889060     17.65     93232   8715892   3592016     21.94   2890224   8571412     47556
02:29:36      4303388  13053860   2877032     17.57     93232   8715900   3592156     21.94   2890036   8571420     28364
02:29:41      4199520  12949828   2981028     18.21     93240   8715740   3598048     21.98   2988240   8571260     28112
02:29:46      4204252  12954688   2976140     18.18     93240   8715860   3602112     22.00   2991672   8571388     15668
02:29:51      4186412  12937048   2993748     18.29     93240   8716060   3606964     22.03   3006132   8571588     32428
02:29:56      4179888  12930704   3000088     18.33     93240   8716240   3609152     22.05   3011796   8571768     45132
02:30:01      4175892  12927076   3003680     18.35     93240   8716604   3609412     22.05   3016404   8572132     59900
02:30:06      4186024  12937460   2993296     18.28     93240   8716856   3610184     22.05   3014980   8572384     70412
02:30:11      4180500  12932132   2998624     18.32     93240   8717052   3610828     22.06   3021220   8572580     76420
02:30:16      4174744  12926412   3004376     18.35     93240   8717088   3618732     22.10   3025084   8572616      7424
02:30:21      4167864  12919548   3011232     18.39     93240   8717112   3624708     22.14   3037848   8572632      2252
Average:      4239858  12990606   2940254     17.96     93237   8716174   3586091     21.90   2940775   8571697     32886

02:29:06          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:29:11        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:11        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:11        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:11        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:11          sda     59.40      0.00  13364.80  13119.20    445.86      0.45      7.63      3.76
02:29:11         sda1     59.40      0.00  13364.80  13119.20    445.86      0.45      7.63      3.82
02:29:11        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:11        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:11        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:16        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:16        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:16        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:16        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:16          sda     37.80      0.00    132.80      0.00      3.51      0.01      0.33      1.14
02:29:16         sda1     37.80      0.00    132.80      0.00      3.51      0.01      0.34      1.14
02:29:16        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:16        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:16        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:21        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:21        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:21        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:21        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:21          sda     65.80     31.20    157.60      0.00      2.87      0.02      0.28      1.62
02:29:21         sda1     65.80     31.20    157.60      0.00      2.87      0.02      0.28      1.62
02:29:21        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:21        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:21        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:26          sda     20.80     14.40     48.80      0.00      3.04      0.01      0.27      0.44
02:29:26         sda1     20.80     14.40     48.80      0.00      3.04      0.01      0.25      0.44
02:29:26        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:29:26        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
