Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/05/26 	_x86_64_	(4 CPU)

02:36:52        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:36:57        all      0.20      0.00      0.15      0.00      0.00     99.65
02:37:02        all     76.62      0.00      1.71      0.10      0.00     21.58
02:37:07        all      0.25      0.00      0.05      0.00      0.00     99.70
02:37:12        all      0.00      0.00      0.05      0.00      0.00     99.95
02:37:17        all     81.17      0.00      3.42      0.00      0.00     15.42
02:37:22        all      9.57      0.00      0.95      0.05      0.00     89.42
Average:        all     27.92      0.00      1.05      0.03      0.00     71.00

02:36:52    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:36:57      4468000  13220936   2709964     16.55     94064   8717000   3153628     19.26   2670716   8572932      3348
02:37:02      4442736  13195688   2735092     16.71     94064   8717008   3216488     19.65   2736536   8572948      3356
02:37:07      4452976  13205928   2724844     16.64     94064   8717016   3216488     19.65   2736524   8572948      3364
02:37:12      4461900  13214852   2715916     16.59     94064   8717020   3216488     19.65   2736524   8572948      3368
02:37:17      4414216  13167308   2763472     16.88     94064   8717148   3230116     19.73   2786604   8573088     21664
02:37:22      4418424  13171576   2759204     16.85     94068   8717204   3232416     19.74   2787928   8573148     27148
Average:      4443042  13196048   2734749     16.70     94065   8717066   3210937     19.61   2742472   8573002     10375

02:36:52          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:36:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:36:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:36:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:36:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:36:57          sda      0.60      0.00     32.00      0.00     53.33      0.00      0.67      0.02
02:36:57         sda1      0.60      0.00     32.00      0.00     53.33      0.00      1.00      0.02
02:36:57        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:36:57        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:36:57        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:37:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:37:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:37:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:37:02        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:37:02          sda     15.20      0.00     41.60      0.00      2.74      0.01      0.32      0.46
02:37:02         sda1     15.20      0.00     41.60      0.00      2.74      0.00      0.32      0.46
02:37:02        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:37:02        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:37:02        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
