Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/05/26 	_x86_64_	(4 CPU)

02:33:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:33:24        all      0.15      0.00      0.10      0.00      0.00     99.75
02:33:29        all     17.25      0.00      0.50      0.00      0.00     82.25
02:33:34        all     32.65      0.00      0.80      0.05      0.00     66.50
02:33:39        all     25.76      0.00      0.85      0.05      0.00     73.33
02:33:44        all     10.93      0.00      0.60      0.00      0.00     88.47
02:33:49        all      0.20      0.00      0.05      0.00      0.00     99.75
02:33:54        all      1.60      0.00      0.15      0.10      0.00     98.15
02:33:59        all     29.96      0.00      0.70      0.00      0.00     69.33
02:34:04        all     14.66      0.00      0.65      0.00      0.00     84.69
02:34:09        all     16.41      0.00      1.25      0.00      0.00     82.34
02:34:14        all      6.80      0.00      0.40      0.15      0.00     92.65
02:34:19        all     10.38      0.00      0.70      0.00      0.00     88.92
02:34:24        all      0.05      0.00      0.10      0.00      0.00     99.85
Average:        all     12.82      0.00      0.53      0.03      0.00     86.63

02:33:19    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:33:24      4928960  13680212   2250748     13.75     93708   8716068   2723932     16.64   2233908   8572056      3192
02:33:29      4893100  13644368   2286656     13.97     93716   8716076   2748144     16.79   2280880   8572072       196
02:33:34      4831816  13583092   2347900     14.34     93716   8716084   2773532     16.94   2345552   8572080       204
02:33:39      4821480  13572760   2358196     14.40     93716   8716088   2785520     17.01   2363980   8572084       208
02:33:44      4859176  13610464   2320492     14.17     93716   8716096   2789964     17.04   2342852   8572092       212
02:33:49      4863200  13614488   2316460     14.15     93716   8716104   2789964     17.04   2342896   8572092        56
02:33:54      4853412  13604716   2326240     14.21     93716   8716112   2790412     17.04   2349764   8572108         0
02:33:59      4793464  13544776   2386180     14.58     93716   8716120   2795752     17.08   2405428   8572116      1928
02:34:04      4776192  13527512   2403444     14.68     93716   8716128   2798716     17.10   2419324   8572124      3352
02:34:09      4775864  13527248   2403708     14.68     93716   8716192   2808484     17.15   2423440   8572188     20432
02:34:14      4784776  13536168   2394788     14.63     93716   8716200   2810796     17.17   2427488   8572196     20440
02:34:19      4779488  13530904   2400052     14.66     93716   8716224   2813248     17.18   2436640   8572220     21312
02:34:24      4779488  13530904   2400044     14.66     93716   8716232   2813248     17.18   2436640   8572220     21320
Average:      4826186  13577509   2353454     14.38     93715   8716133   2787824     17.03   2369907   8572127      7142

02:33:19          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:33:24        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:24        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:24        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:24        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:24          sda      0.60      0.00     32.00      0.00     53.33      0.00      1.00      0.02
02:33:24         sda1      0.60      0.00     32.00      0.00     53.33      0.00      1.00      0.02
02:33:24        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:24        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:24        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:29        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:29        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:29        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:29        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:29          sda     11.00      0.00    649.60      0.00     59.05      0.02      1.55      0.28
02:33:29         sda1     11.00      0.00    649.60      0.00     59.05      0.02      1.53      0.28
02:33:29        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:29        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:29        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:34        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:34        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:34        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:34        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:34          sda      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.10
02:33:34         sda1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.10
02:33:34        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:34        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:34        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:39        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:39        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:39        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:39        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:39          sda      4.80      0.00     14.40      0.00      3.00      0.00      0.42      0.22
02:33:39         sda1      4.80      0.00     14.40      0.00      3.00      0.00      0.42      0.22
02:33:39        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:39        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:39        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:44        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:44        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:44        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:44        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:44          sda      2.60      0.00      7.20      0.00      2.77      0.00      0.38      0.12
02:33:44         sda1      2.60      0.00      7.20      0.00      2.77      0.00      0.46      0.12
02:33:44        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:44        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:44        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:49        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:49        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:49        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:49        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:49          sda      5.60      0.00     29.60      0.00      5.29      0.01      0.96      0.04
02:33:49         sda1      5.60      0.00     29.60      0.00      5.29      0.01      0.96      0.04
02:33:49        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:49        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:49        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:54        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:54        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:54        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:54        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:54          sda      2.40      0.00     18.40      0.00      7.67      0.00      0.50      0.12
02:33:54         sda1      2.40      0.00     18.40      0.00      7.67      0.00      0.50      0.12
02:33:54        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:54        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:54        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:59        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:59        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:59        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:59        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:59          sda      3.20      0.00     16.80      0.00      5.25      0.00      0.56      0.14
02:33:59         sda1      3.20      0.00     16.80      0.00      5.25      0.00      0.56      0.14
02:33:59        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:59        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:33:59        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:04        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:04        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:04        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:04        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:04          sda      3.60      0.00      8.80      0.00      2.44      0.00      0.39      0.18
02:34:04         sda1      3.60      0.00      8.80      0.00      2.44      0.00      0.39      0.18
02:34:04        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:04        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:04        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:09          sda      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.08
02:34:09         sda1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.08
02:34:09        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:09        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:09        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:14        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:14        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:14        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:14          sda     12.40      0.00     36.80      0.00      2.97      0.01      0.37      0.54
02:34:14         sda1     12.40      0.00     36.80      0.00      2.97      0.00      0.37      0.54
02:34:14        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:14        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:14        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:19        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:19          sda      4.00      0.00     11.20      0.00      2.80      0.00      0.40      0.18
02:34:19         sda1      4.00      0.00     11.20      0.00      2.80      0.00      0.40      0.18
02:34:19        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:19        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:19        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:24        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:24        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:24        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:24        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:24          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:24         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:24        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:24        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:34:24        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          sda      4.23      0.00     64.43      0.00     15.23      0.00      0.70      0.16
