Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/05/26 	_x86_64_	(4 CPU)

02:35:21        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:35:26        all      0.05      0.00      0.05      0.00      0.00     99.90
02:35:31        all     77.46      0.00      1.66      0.00      0.00     20.88
02:35:36        all      0.60      0.00      0.10      0.00      0.00     99.30
02:35:41        all      0.15      0.00      0.10      0.00      0.00     99.75
02:35:46        all     71.44      0.00      2.71      0.10      0.00     25.75
02:35:51        all     24.30      0.00      1.55      0.00      0.00     74.15
Average:        all     28.97      0.00      1.03      0.02      0.00     69.98

02:35:21    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:35:26      4310404  13062748   2868236     17.52     93896   8716644   3370720     20.59   2864692   8572544      3224
02:35:31      4223676  12976028   2954828     18.05     93896   8716652   3430320     20.95   2954312   8572552      3232
02:35:36      4238260  12990620   2940236     17.96     93896   8716660   3430772     20.96   2954868   8572560      3232
02:35:41      4260596  13012956   2917896     17.82     93896   8716664   3430772     20.96   2944688   8572560      3236
02:35:46      4205864  12958308   2972516     18.16     93896   8716744   3450140     21.07   2983592   8572644     19596
02:35:51      4211532  12964096   2966720     18.12     93896   8716864   3453300     21.09   2991968   8572764     26720
Average:      4241722  12994126   2936739     17.94     93896   8716705   3427671     20.94   2949020   8572604      9873

02:35:21          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:35:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:35:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:35:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:35:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:35:26          sda      0.60      0.00     31.20      0.00     52.00      0.00      1.00      0.02
02:35:26         sda1      0.60      0.00     31.20      0.00     52.00      0.00      1.00     87.04
02:35:26        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:35:26        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:35:26        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:35:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:35:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:35:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:35:31        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:35:31          sda     15.60      0.00     42.40      0.00      2.72      0.01      0.33      0.44
02:35:31         sda1     15.60      0.00     42.40      0.00      2.72      0.01      0.35      0.44
02:35:31        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:35:31        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:35:31        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
