Linux 6.17.0-1020-gcp (neo4j-baseline-8) 	07/05/26 	_x86_64_	(8 CPU)

03:17:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:17:10        all      5.28      0.00      1.12      0.33      0.00     93.27
03:17:15        all     73.44      0.00      2.55      0.08      0.00     23.94
03:17:20        all     91.77      0.00      5.59      0.03      0.00      2.61
03:17:25        all     42.55      0.00      5.45      0.03      0.00     51.98
03:17:30        all      1.73      0.00      0.60      0.00      0.00     97.66
03:17:35        all     10.56      0.00      1.50      0.13      0.00     87.81
03:17:40        all     38.59      0.00      5.18      0.20      0.00     56.02
03:17:45        all     33.54      0.00      4.52      0.18      0.00     61.76
03:17:50        all     34.07      0.00      4.14      0.25      0.00     61.53
03:17:55        all     41.28      0.00      5.08      0.33      0.00     53.30
03:18:00        all     45.29      0.00      5.33      0.18      0.00     49.20
03:18:05        all     21.20      0.00      3.08      0.10      0.00     75.62
03:18:10        all      0.83      0.00      0.10      0.10      0.00     98.97
Average:        all     33.87      0.00      3.40      0.15      0.00     62.58

03:17:05    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
03:17:10     18895160  27506888   4764676     14.50     80032   8716872   5826888     17.73   4636112   8558236       376
03:17:15     18673568  27285312   4985716     15.17     80032   8716888   6074544     18.49   4895468   8558252      6204
03:17:20     18646520  27258696   5012332     15.25     80032   8717320   6103184     18.57   4941092   8558684     43904
03:17:25     18650196  27262512   5008516     15.24     80032   8717460   6105696     18.58   4946560   8558824     50188
03:17:30     18556312  27168460   5102436     15.53     80032   8717292   6110512     18.60   5047008   8558656     50152
03:17:35     18535300  27147512   5123352     15.59     80032   8717356   6120416     18.63   5066668   8558720     37356
03:17:40     18541152  27153548   5117284     15.57     80036   8717536   6123000     18.63   5062784   8558904     53920
03:17:45     18535636  27148212   5122616     15.59     80036   8717716   6124480     18.64   5073140   8559084     65688
03:17:50     18531924  27144696   5126120     15.60     80036   8717916   6124608     18.64   5078328   8559280     30392
03:17:55     18523480  27136720   5134100     15.62     80036   8718380   6125120     18.64   5088444   8559748     50260
03:18:00     18510916  27124424   5146396     15.66     80036   8718648   6127116     18.65   5101364   8560016     61816
03:18:05     18498684  27112296   5158524     15.70     80036   8718752   6127316     18.65   5107944   8560120     67896
03:18:10     18468204  27081836   5188980     15.79     80036   8718776   6150036     18.72   5140188   8560140     47500
Average:     18582081  27194701   5076234     15.45     80034   8717762   6095609     18.55   5014238   8559128     43512

03:17:05          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
03:17:10        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:10        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:10        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:10        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:10          sda     58.20      0.00  13265.60     32.00    228.48      0.35      6.00      3.12
03:17:10         sda1     58.20      0.00  13265.60     32.00    228.48      0.35      6.00      3.20
03:17:10        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:10        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:10        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:15        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:15        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:15        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:15        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:15          sda     42.40      0.00    117.60      0.00      2.77      0.02      0.33      1.24
03:17:15         sda1     42.40      0.00    117.60      0.00      2.77      0.01      0.33      1.24
03:17:15        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:15        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:15        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:20        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:20        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:20        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:20        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:20          sda     61.00     31.20    172.80      0.00      3.34      0.02      0.36      2.04
03:17:20         sda1     61.00     31.20    172.80      0.00      3.34      0.02      0.36      2.04
03:17:20        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:20        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:20        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:25        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:25        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:25        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:25        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:25          sda     20.80     14.40     48.80      0.00      3.04      0.01      0.38      0.66
03:17:25         sda1     20.80     14.40     48.80      0.00      3.04      0.01      0.38      0.66
03:17:25        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:25        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:25        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:30        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:30        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:30        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:30        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:30          sda      1.00      0.00     19.20      0.00     19.20      0.00      0.40      0.06
03:17:30         sda1      1.00      0.00     19.20      0.00     19.20      0.00      0.60      0.06
03:17:30        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:30        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:30        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:35        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:35        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:35        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:35        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:35          sda     69.60     10.40   1080.00      0.00     15.67      0.06      0.88      1.38
03:17:35         sda1     69.60     10.40   1080.00      0.00     15.67      0.06      0.87      1.40
03:17:35        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:35        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:35        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:40        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:40        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:17:40        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
