Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(16 CPU)

04:32:37        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:32:42        all      0.00      0.00      0.05      0.00      0.00     99.95
04:32:47        all     27.90      0.00      1.32      0.01      0.00     70.76
04:32:52        all      0.01      0.00      0.00      0.00      0.00     99.99
04:32:57        all     13.54      0.00      0.70      0.00      0.00     85.75
04:33:02        all      6.86      0.00      0.64      0.06      0.00     92.44
04:33:07        all      0.38      0.00      0.14      0.00      0.00     99.49
Average:        all      8.09      0.00      0.47      0.01      0.00     91.42

04:32:37    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
04:32:42     51488364  59763704   4121648      6.36     75356   8719652   4720472      7.28   3955720   8556780      3380
04:32:47     51357800  59633180   4251976      6.56     75356   8719668   4855824      7.49   4127344   8556820      3396
04:32:52     51382332  59657712   4227428      6.52     75356   8719684   4855824      7.49   4127440   8556820      3232
04:32:57     51349136  59624588   4260320      6.57     75356   8719740   4952476      7.64   4173784   8556892     12408
04:33:02     51365612  59641092   4243812      6.54     75360   8719768   4956920      7.64   4172876   8556920     23748
04:33:07     51336144  59611640   4273236      6.59     75360   8719784   5024492      7.75   4176404   8556936     23764
Average:     51379898  59655319   4229737      6.52     75357   8719716   4894335      7.55   4122261   8556861     11655

04:32:37          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
04:32:42        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:42        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:42        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:42        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:42      nvme0n1      0.40      0.00     30.40      0.00     76.00      0.00      1.50      0.02
04:32:42    nvme0n1p1      0.40      0.00     30.40      0.00     76.00      0.00      1.00      0.02
04:32:42    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:42    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:42    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:47        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:47        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:47        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:47        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:47      nvme0n1     15.60      0.00     42.40      0.00      2.72      0.01      0.33      0.60
04:32:47    nvme0n1p1     15.60      0.00     42.40      0.00      2.72      0.01      0.35      0.60
04:32:47    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:47    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:47    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:52        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:52        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:52        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:52        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:52      nvme0n1      4.60      0.00     24.80      0.00      5.39      0.01      1.09      0.04
04:32:52    nvme0n1p1      4.60      0.00     24.80      0.00      5.39      0.01      1.09      0.04
04:32:52    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:52    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:52    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:57      nvme0n1     19.40      0.00    165.60      0.00      8.54      0.03      1.77      0.32
04:32:57    nvme0n1p1     19.40      0.00    165.60      0.00      8.54      0.03      1.77      0.32
04:32:57    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:57    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:32:57    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:33:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:33:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:33:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:33:02        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:33:02      nvme0n1     23.60      0.00     95.20      0.00      4.03      0.01      0.38      0.78
04:33:02    nvme0n1p1     23.60      0.00     95.20      0.00      4.03      0.01      0.38      0.78
04:33:02    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:33:02    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:33:02    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:33:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:33:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:33:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:33:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:33:07      nvme0n1      0.20      0.00      0.80      0.00      4.00      0.00      1.00      0.00
04:33:07    nvme0n1p1      0.20      0.00      0.80      0.00      4.00      0.00      0.00      0.00
