Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(16 CPU)

04:31:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:31:19        all      0.04      0.00      0.08      0.01      0.00     99.87
04:31:24        all     31.69      0.00      1.82      0.06      0.00     66.43
04:31:29        all      0.03      0.00      0.01      0.00      0.00     99.96
04:31:34        all      0.51      0.00      0.03      0.00      0.00     99.46
04:31:39        all     25.72      0.00      1.68      0.06      0.00     72.53
04:31:44        all      0.05      0.00      0.00      0.00      0.00     99.95
Average:        all      9.61      0.00      0.60      0.02      0.00     89.77

04:31:14    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
04:31:19     51575744  59850316   4035216      6.22     74992   8719360   4712644      7.27   3920028   8556148      2676
04:31:24     51464236  59738824   4146516      6.39     74992   8719376   4823928      7.44   4057008   8556164      2540
04:31:29     51466556  59741144   4144180      6.39     74992   8719392   4823992      7.44   4057004   8556164      2556
04:31:34     51461824  59736412   4148896      6.40     74992   8719408   4824444      7.44   4070524   8556164      2572
04:31:39     51434124  59708868   4176372      6.44     75000   8719532   4861072      7.50   4115336   8556320     19840
04:31:44     51437856  59712600   4172688      6.44     75000   8719548   4890652      7.54   4115340   8556320     16712
Average:     51473390  59748027   4137311      6.38     74995   8719436   4822789      7.44   4055873   8556213      7816

04:31:14          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
04:31:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:19        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:19      nvme0n1      6.60      0.00    653.60      0.00     99.03      0.01      1.79      0.14
04:31:19    nvme0n1p1      6.60      0.00    653.60      0.00     99.03      0.01      1.79      0.18
04:31:19    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:19    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:19    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:24        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:24        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:24        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:24        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:24      nvme0n1     16.00      0.00     72.80      0.00      4.55      0.01      0.66      1.16
04:31:24    nvme0n1p1     16.00      0.00     72.80      0.00      4.55      0.01      0.65      1.16
04:31:24    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:24    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:24    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:29        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:29        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:29        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:29        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:29      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:29    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:29    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:29    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:29    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:34        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:34        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:34        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:34        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:34      nvme0n1      1.60      0.00      4.80      0.00      3.00      0.00      0.38      0.08
04:31:34    nvme0n1p1      1.60      0.00      4.80      0.00      3.00      0.00      0.50      0.08
04:31:34    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:34    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:34    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:39        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:39        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:39        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:39        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:39      nvme0n1     53.40      0.00    497.60      0.00      9.32      0.07      1.32      1.20
04:31:39    nvme0n1p1     53.40      0.00    497.60      0.00      9.32      0.07      1.32      1.22
04:31:39    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:39    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:39    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:44        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:44        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:44        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:44        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:44      nvme0n1      1.40      0.00     11.20      0.00      8.00      0.00      1.00      0.02
04:31:44    nvme0n1p1      1.40      0.00     11.20      0.00      8.00      0.00      0.86      0.02
04:31:44    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:44    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:31:44    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:      nvme0n1     13.17      0.00    206.67      0.00     15.70      0.02      1.20      0.43
Average:    nvme0n1p1     13.17      0.00    206.67      0.00     15.70      0.02      1.20      0.44
Average:    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
