Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(16 CPU)

04:27:51        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:27:56        all      1.59      0.00      0.86      0.00      0.00     97.55
04:28:01        all     73.88      0.00      3.52      0.04      0.00     22.57
04:28:06        all     41.80      0.00      4.02      0.11      0.00     54.07
04:28:11        all      0.74      0.00      0.29      0.00      0.00     98.97
04:28:16        all     19.73      0.00      2.54      0.01      0.00     77.73
04:28:21        all     80.71      0.00     13.06      0.18      0.00      6.06
04:28:26        all     51.29      0.00      9.25      0.00      0.00     39.47
04:28:31        all      0.64      0.00      0.14      0.11      0.00     99.11
Average:        all     33.76      0.00      4.21      0.06      0.00     61.97

04:27:51    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
04:27:56     51436240  59708828   4177888      6.44     74276   8718248   5941404      9.16   4079936   8554604      2836
04:28:01     50880256  59152924   4732800      7.30     74276   8718328   6516088     10.05   4625072   8554684     13908
04:28:06     50869300  59142468   4743288      7.31     74276   8718828   6534408     10.08   4639892   8555184     45100
04:28:11     50757444  59030628   4855128      7.49     74276   8718844   6548744     10.10   4765128   8555200     45096
04:28:16     50746644  59019884   4865832      7.50     74276   8718920   6577196     10.14   4795104   8555264     57088
04:28:21     50721072  58995416   4890120      7.54     74284   8720016   6582892     10.15   4823764   8556368     95924
04:28:26     50243428  58517856   5367720      8.28     74284   8720092   7046872     10.87   5284284   8556452     93408
04:28:31     50238440  58512884   5372692      8.29     74284   8720108   7096976     10.94   5298652   8556468     12916
Average:     50736603  59010111   4875684      7.52     74279   8719173   6605572     10.19   4788979   8555528     45784

04:27:51          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
04:27:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:27:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:27:56        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:27:56        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:27:56      nvme0n1      7.40      0.00     45.60      0.00      6.16      0.01      0.95      0.04
04:27:56    nvme0n1p1      7.40      0.00     45.60      0.00      6.16      0.01      0.95      0.04
04:27:56    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:27:56    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:27:56    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:28:01        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:28:01        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:28:01        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:28:01        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:28:01      nvme0n1     31.94      0.00    591.62      0.00     18.52      0.02      0.71      1.00
04:28:01    nvme0n1p1     31.94      0.00    591.62      0.00     18.52      0.02      0.71      1.00
04:28:01    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:28:01    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:28:01    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:28:06        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:28:06        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:28:06        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
