Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(2 CPU)

02:06:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:06:43        all      0.30      0.00      0.20      0.00      0.00     99.50
02:06:48        all     27.54      0.00      1.01      0.10      0.00     71.36
02:06:53        all     44.58      0.00      1.00      0.10      0.00     54.32
02:06:58        all     48.44      0.00      1.21      0.00      0.00     50.35
02:07:03        all     28.14      0.00      1.11      0.00      0.00     70.75
02:07:08        all      0.10      0.00      0.20      0.00      0.00     99.70
02:07:13        all      2.32      0.00      0.00      0.00      0.00     97.68
02:07:18        all     50.15      0.00      1.70      0.10      0.00     48.05
02:07:23        all     32.49      0.00      1.21      0.10      0.00     66.20
02:07:28        all     30.02      0.00      2.61      0.00      0.00     67.37
02:07:33        all     15.01      0.00      0.91      0.10      0.00     83.99
02:07:38        all     26.18      0.00      1.61      0.10      0.00     72.10
02:07:43        all      0.00      0.00      0.20      0.00      0.00     99.80
Average:        all     23.48      0.00      1.00      0.05      0.00     75.47

02:06:38    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:06:43       380884   5205904   2074808     27.08     53272   4910292   2591912     33.83   1979200   4904816      2972
02:06:48       367180   5192204   2088508     27.26     53272   4910296   2605776     34.01   2008092   4904820      2976
02:06:53       351556   5176588   2104092     27.46     53272   4910304   2621284     34.21   2029088   4904828      2984
02:06:58       335680   5160720   2119960     27.67     53272   4910312   2632024     34.35   2040612   4904836      2808
02:07:03       335680   5160724   2119924     27.67     53272   4910316   2633628     34.37   2043228   4904840      2804
02:07:08       335680   5160732   2119912     27.67     53276   4910324   2633628     34.37   2043344   4904848       144
02:07:13       335680   5160740   2119908     27.67     53276   4910328   2633756     34.37   2043564   4904856       100
02:07:18       320560   5145628   2135020     27.86     53276   4910336   2639808     34.45   2057560   4904864      1664
02:07:23       312748   5137824   2142824     27.97     53276   4910344   2642192     34.48   2059852   4904872      2960
02:07:28       312252   5137388   2143260     27.97     53276   4910404   2643028     34.49   2060820   4904932     20100
02:07:33       312252   5137396   2143252     27.97     53276   4910412   2645180     34.52   2062784   4904940     20108
02:07:38       312252   5137420   2143228     27.97     53276   4910436   2647628     34.55   2066496   4904964     20560
02:07:43       312252   5137420   2143220     27.97     53280   4910440   2647692     34.55   2066496   4904964     20604
Average:       332666   5157745   2122917     27.71     53275   4910350   2632118     34.35   2043164   4904875      7753

02:06:38          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:06:43        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:43        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:43        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:43        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:43      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:43    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:43    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:43    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:43    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:48        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:48        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:48        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:48        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:48      nvme0n1      6.00      0.00     15.20      0.00      2.53      0.00      0.37      0.22
02:06:48    nvme0n1p1      6.00      0.00     15.20      0.00      2.53      0.00      0.40      0.22
02:06:48    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:48    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:48    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:53        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:53        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:53        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:53        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:53      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.04
02:06:53    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.04
02:06:53    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:53    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:53    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:58        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:06:58        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
