Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(2 CPU)

02:08:53        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:08:58        all      0.30      0.00      0.30      0.00      0.00     99.40
02:09:03        all     87.16      0.00      2.11      0.00      0.00     10.73
02:09:08        all     40.64      0.00      1.71      0.00      0.00     57.65
02:09:13        all      0.20      0.00      0.10      0.00      0.00     99.70
02:09:18        all     23.77      0.00      0.90      0.00      0.00     75.33
02:09:23        all     92.39      0.00      3.90      0.00      0.00      3.70
02:09:28        all     57.33      0.00      3.01      0.00      0.00     39.66
02:09:33        all      0.40      0.00      0.20      0.30      0.00     99.10
Average:        all     37.77      0.00      1.53      0.04      0.00     60.67

02:08:53    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:08:58       392740   5238180   2042412     26.65     53756   4929984   2576992     33.63   1964464   4909672      3108
02:09:03       337552   5183008   2097532     27.37     53756   4929988   2611528     34.08   2010740   4909688      3112
02:09:08       337688   5183152   2097388     27.37     53756   4929996   2615576     34.14   2015916   4909696      3120
02:09:13       337940   5183412   2097128     27.37     53756   4930004   2615576     34.14   2015924   4909588      2944
02:09:18       337688   5183160   2097376     27.37     53756   4930008   2618728     34.18   2020616   4909588      2948
02:09:23       326352   5171884   2108656     27.52     53764   4930056   2625484     34.26   2033028   4909648     18988
02:09:28       320304   5165968   2114572     27.60     53764   4930188   2628192     34.30   2040432   4909780     24440
02:09:33       320304   5165976   2114564     27.60     53764   4930196   2628320     34.30   2040640   4909788     12740
Average:       338821   5184342   2096204     27.36     53759   4930052   2615050     34.13   2017720   4909681      8925

02:08:53          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:08:58        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:08:58        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:08:58        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:08:58        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:08:58      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:08:58    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:08:58    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:08:58    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:08:58    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:03        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:03        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:03        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:03        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:03      nvme0n1     14.40      0.00     39.20      0.00      2.72      0.01      0.33      0.40
02:09:03    nvme0n1p1     14.40      0.00     39.20      0.00      2.72      0.00      0.33      0.40
02:09:03    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:03    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:03    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:08        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:08        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:08        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
