Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(2 CPU)

02:03:34        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:03:39        all     81.48      0.00      6.98      0.00      0.00     11.54
02:03:44        all     75.35      0.00      3.13      1.72      0.00     19.80
02:03:49        all     94.69      0.00      5.01      0.00      0.00      0.30
02:03:54        all     95.60      0.00      4.00      0.10      0.00      0.30
02:03:59        all     93.39      0.00      5.61      0.60      0.00      0.40
02:04:04        all     94.19      0.00      5.21      0.20      0.00      0.40
02:04:09        all     94.19      0.00      5.11      0.30      0.00      0.40
02:04:14        all     90.68      0.00      7.41      0.30      0.00      1.60
02:04:19        all      4.33      0.00      0.20      0.30      0.00     95.17
02:04:24        all      4.90      0.00      1.33      0.00      0.00     93.78
02:04:29        all     76.66      0.00      7.14      0.10      0.00     16.10
02:04:34        all     92.40      0.00      7.00      0.20      0.00      0.40
02:04:39        all     91.59      0.00      7.81      0.20      0.00      0.40
02:04:44        all     91.47      0.00      7.73      0.40      0.00      0.40
02:04:49        all     92.59      0.00      6.81      0.30      0.00      0.30
02:04:54        all     92.07      0.00      7.23      0.20      0.00      0.50
02:04:59        all     91.39      0.00      7.41      0.40      0.00      0.80
02:05:04        all     94.18      0.00      5.32      0.10      0.00      0.40
02:05:09        all     91.27      0.00      7.52      0.50      0.00      0.70
02:05:14        all     92.18      0.00      7.02      0.40      0.00      0.40
02:05:19        all     92.28      0.00      7.01      0.20      0.00      0.50
02:05:24        all     87.98      0.00      7.92      1.10      0.00      3.01
02:05:29        all      8.73      0.00      0.80      0.00      0.00     90.46
Average:        all     79.37      0.00      5.69      0.33      0.00     14.61

02:03:34    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:03:39       205548   5096720   2183768     28.50     62000   4966276   2835900     37.01   2089880   4971172     57572
02:03:44       121360   5004380   2276020     29.70     60716   4959420   2928772     38.22   2192232   4963008       268
02:03:49       125884   4972692   2307716     30.12     57116   4927256   2959336     38.62   2231012   4928880       288
02:03:54       155036   4952112   2328264     30.39     55068   4879936   2968108     38.74   2249736   4879492     23760
02:03:59       137728   4943508   2336864     30.50     55068   4888644   2970572     38.77   2259132   4888196     40856
02:04:04       132644   4939184   2341200     30.55     55068   4889392   2973872     38.81   2263616   4888956     29440
02:04:09       129620   4936980   2343384     30.58     55068   4890232   2974064     38.81   2259652   4889776     31732
02:04:14       119276   4928024   2352376     30.70     55076   4891576   2982476     38.92   2270360   4891164     29164
02:04:19       119276   4928048   2352360     30.70     55076   4891592   2982604     38.93   2270180   4891188      3068
02:04:24       122076   4859832   2420584     31.59     53988   4821792   3066732     40.02   2328812   4820300      3052
02:04:29       190388   4861844   2418568     31.56     52932   4756676   3073928     40.12   2345428   4754128     17988
02:04:34       182772   4855380   2425008     31.65     52932   4757852   3075672     40.14   2347780   4755280     68604
02:04:39       178992   4852816   2427556     31.68     52932   4759084   3077032     40.16   2354276   4756496     62208
02:04:44       174728   4849572   2430736     31.72     52936   4760164   3077872     40.17   2355048   4757516     62432
02:04:49       172188   4847912   2432404     31.74     52936   4761036   3078384     40.18   2356320   4758396     62964
02:04:54       160140   4836868   2443540     31.89     52940   4761944   3078516     40.18   2358512   4759400     63024
02:04:59       160140   4838080   2442192     31.87     52940   4763292   3078516     40.18   2358300   4760612      8632
02:05:04       160140   4838896   2441408     31.86     52944   4763964   3078772     40.18   2356472   4761428      5564
02:05:09       160140   4840624   2439680     31.84     52944   4765692   3079096     40.18   2359396   4763156      2856
02:05:14       136200   4817972   2462300     32.13     52944   4767012   3080060     40.20   2381644   4764444      3108
02:05:19       136200   4818728   2461576     32.13     52944   4767736   3080444     40.20   2377608   4765200      3072
02:05:24       135960   4822692   2457552     32.07     52944   4772000   3080704     40.21   2378016   4769404      4180
02:05:29       135952   4822812   2457468     32.07     52944   4772092   3080704     40.21   2377688   4769532      3812
Average:       150104   4889812   2390545     31.20     54455   4823246   3028789     39.53   2309613   4822049     25550

02:03:34          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:03:39        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:39        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:39        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:39        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:39      nvme0n1     40.00      0.00   9860.00      0.00    246.50      0.21      5.13      3.02
02:03:39    nvme0n1p1     40.00      0.00   9860.00      0.00    246.50      0.21      5.13      3.10
02:03:39    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:39    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:39    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:44        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:44        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:44        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:44        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:44      nvme0n1     70.80      0.00  12812.00     67.20    181.91      0.46      6.47      3.90
02:03:44    nvme0n1p1     70.80      0.00  12812.00     67.20    181.91      0.46      6.47      4.12
02:03:44    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:44    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:44    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:49        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:49        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:49        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:49        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:49      nvme0n1    102.00     41.60    252.80      0.00      2.89      0.03      0.28      2.46
02:03:49    nvme0n1p1    102.00     41.60    252.80      0.00      2.89      0.03      0.28      2.46
02:03:49    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:49    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:49    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:54        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:54        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:54        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:54        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:54      nvme0n1     80.20    698.40     15.20      0.00      8.90      0.04      0.50      3.48
02:03:54    nvme0n1p1     80.20    698.40     15.20      0.00      8.90      0.04      0.50      3.64
02:03:54    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:54    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:54    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:59        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:59        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:59        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:59        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:59      nvme0n1    181.80   1712.80     25.60      0.00      9.56      0.09      0.47      6.42
02:03:59    nvme0n1p1    181.80   1712.80     25.60      0.00      9.56      0.09      0.47      6.54
02:03:59    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:59    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:03:59    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:04:04        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:04:04        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
