Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(2 CPU)

02:00:39        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:00:44        all     64.19      0.00      6.31      4.27      0.00     25.23
02:00:49        all     73.06      0.00      2.83      0.00      0.00     24.12
02:00:54        all     94.49      0.00      5.21      0.00      0.00      0.30
02:00:59        all     96.30      0.00      3.50      0.00      0.00      0.20
02:01:04        all     93.79      0.00      5.91      0.00      0.00      0.30
02:01:09        all     95.09      0.00      4.61      0.00      0.00      0.30
02:01:14        all     94.89      0.00      4.91      0.00      0.00      0.20
02:01:19        all     91.78      0.00      7.42      0.00      0.00      0.80
02:01:24        all      4.81      0.00      0.40      0.00      0.00     94.79
02:01:29        all      5.39      0.00      1.63      0.00      0.00     92.98
02:01:34        all     68.52      0.00      5.25      0.30      0.00     25.93
02:01:39        all     91.59      0.00      7.91      0.00      0.00      0.50
02:01:44        all     90.59      0.00      8.81      0.10      0.00      0.50
02:01:49        all     90.39      0.00      9.41      0.00      0.00      0.20
02:01:54        all     91.48      0.00      8.22      0.00      0.00      0.30
02:01:59        all     92.08      0.00      7.52      0.00      0.00      0.40
02:02:04        all     91.10      0.00      8.40      0.00      0.00      0.50
02:02:09        all     93.39      0.00      6.31      0.00      0.00      0.30
02:02:14        all     93.19      0.00      6.51      0.00      0.00      0.30
02:02:19        all     92.28      0.00      7.52      0.00      0.00      0.20
02:02:24        all     92.41      0.00      7.09      0.00      0.00      0.50
02:02:29        all     92.48      0.00      7.32      0.00      0.00      0.20
02:02:34        all     45.69      0.00      3.21      0.00      0.00     51.10
Average:        all     80.03      0.00      5.93      0.20      0.00     13.85

02:00:39    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:00:44       250940   5035908   2244372     29.29     63016   4856492   2857984     37.30   2086548   4863260       156
02:00:49       204752   4989780   2290360     29.89     63016   4856496   2941680     38.39   2177120   4863320       168
02:00:54       192780   4977952   2302184     30.05     63016   4856640   2972132     38.79   2221796   4863464       188
02:00:59       184516   4969980   2310156     30.15     63016   4856932   2981220     38.91   2235544   4863756     20780
02:01:04       175896   4961452   2318680     30.26     63016   4857024   2983420     38.94   2242392   4863848     41152
02:01:09       166068   4951640   2328492     30.39     63016   4857040   2985868     38.97   2247276   4863864     42256
02:01:14       164720   4950304   2329828     30.41     63016   4857052   2986964     38.98   2248344   4863876     42980
02:01:19       157440   4943048   2337084     30.50     63020   4857072   2992152     39.05   2256524   4863900     10536
02:01:24       157440   4943068   2337064     30.50     63020   4857088   2992600     39.06   2256896   4863916     10308
02:01:29       187816   4892088   2388200     31.17     61696   4778848   3046024     39.75   2312216   4784340     10300
02:01:34       176224   4880612   2399676     31.32     61696   4778964   3060808     39.95   2322932   4784456     14644
02:01:39       164380   4868944   2411344     31.47     61696   4779140   3062424     39.97   2337712   4784632     30052
02:01:44       163400   4868136   2412152     31.48     61704   4779304   3063776     39.98   2341180   4784804     41868
02:01:49       162144   4867244   2413044     31.49     61704   4779668   3064804     40.00   2338740   4785168     54680
02:01:54       162396   4867712   2412576     31.49     61704   4779884   3066348     40.02   2340444   4785012     62308
02:01:59       161896   4867408   2412880     31.49     61704   4780080   3066800     40.02   2340140   4785208     67332
02:02:04       158080   4863624   2416588     31.54     61704   4780112   3066932     40.03   2344528   4785240     21156
02:02:09       155540   4861108   2419100     31.57     61704   4780140   3067124     40.03   2345700   4785264      5700
02:02:14       152516   4858108   2422096     31.61     61712   4780160   3067540     40.03   2348256   4785288      5700
02:02:19       149492   4855108   2425104     31.65     61712   4780176   3067796     40.04   2350496   4785312      6932
02:02:24       149492   4855128   2425084     31.65     61712   4780196   3067988     40.04   2352292   4785332      7016
02:02:29       132608   4838260   2441952     31.87     61712   4780212   3068312     40.04   2362388   4785348      8440
02:02:34       126560   4832228   2447984     31.95     61712   4780228   3068504     40.05   2366856   4785364      1164
Average:       167700   4904297   2375913     31.01     62218   4809954   3026052     39.49   2294623   4815825     21992

02:00:39          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:00:44        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:44        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:44        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:44        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:44      nvme0n1     76.80      4.00  16500.00     69.60    215.80      0.44      5.73      4.96
02:00:44    nvme0n1p1     76.80      4.00  16500.00     69.60    215.80      0.44      5.73      5.16
02:00:44    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:44    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:44    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:49        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:49        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:49        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:49        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:49      nvme0n1     16.80      0.00     45.60      0.00      2.71      0.01      0.33      0.50
02:00:49    nvme0n1p1     16.80      0.00     45.60      0.00      2.71      0.01      0.32      0.50
02:00:49    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:49    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:49    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:54        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:54        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:54        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:54        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:54      nvme0n1     76.60     24.80    192.80      0.00      2.84      0.03      0.34      2.24
02:00:54    nvme0n1p1     76.60     24.80    192.80      0.00      2.84      0.03      0.35      2.24
02:00:54    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:54    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:54    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:59        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:59        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:59        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:59        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:59      nvme0n1     30.40     20.80     71.20      0.00      3.03      0.01      0.31      0.72
02:00:59    nvme0n1p1     30.40     20.80     71.20      0.00      3.03      0.01      0.31      0.72
02:00:59    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:59    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:59    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:04        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:04        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:04        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:04        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:04      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:04    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:04    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:04    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:04    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:09      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:09    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:09    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:09    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:09    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:14        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:14        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:14        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:14      nvme0n1      6.40      0.00     46.40   4915.20    775.25      0.01      0.81      0.06
02:01:14    nvme0n1p1      6.40      0.00     46.40   4915.20    775.25      0.01      0.81      0.06
02:01:14    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:14    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:14    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:19        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:19      nvme0n1    104.80      0.80   1433.60      0.00     13.69      0.08      0.80      0.54
02:01:19    nvme0n1p1    104.80      0.80   1433.60      0.00     13.69      0.08      0.80      0.56
02:01:19    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:19    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:19    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:24        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:24        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:24        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:24        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:24      nvme0n1      1.00      0.00     20.80      0.00     20.80      0.00      1.20      0.02
02:01:24    nvme0n1p1      1.00      0.00     20.80      0.00     20.80      0.00      1.20      0.02
02:01:24    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:24    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:24    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:29        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:29        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:29        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:29        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:29      nvme0n1      1.00      0.00      8.80      0.00      8.80      0.00      0.60      0.02
02:01:29    nvme0n1p1      1.00      0.00      8.80      0.00      8.80      0.00      0.60      0.04
02:01:29    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:29    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:29    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:34        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:34        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:34        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:34        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:34      nvme0n1     87.60     22.40    702.40      0.00      8.27      0.05      0.59      1.68
02:01:34    nvme0n1p1     87.60     22.40    702.40      0.00      8.27      0.05      0.59      1.68
02:01:34    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:34    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:34    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:39        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:39        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:39        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:39        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:39      nvme0n1     49.20     28.80    120.80      0.00      3.04      0.02      0.34      1.32
02:01:39    nvme0n1p1     49.20     28.80    120.80      0.00      3.04      0.02      0.33      1.32
02:01:39    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:39    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:39    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:44        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:44        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:44        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:44        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:44      nvme0n1     53.20     28.00    135.20     68.80      4.36      0.02      0.30      1.44
02:01:44    nvme0n1p1     53.20     28.00    135.20     68.80      4.36      0.02      0.30      1.44
02:01:44    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:44    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:44    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:49        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:49        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:49        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:49        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:49      nvme0n1     57.00     33.60    136.80      0.00      2.99      0.02      0.30      1.26
02:01:49    nvme0n1p1     57.00     33.60    136.80      0.00      2.99      0.02      0.30      1.26
02:01:49    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:49    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:49    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:54        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:54        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:54        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:54        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:54      nvme0n1     63.00     36.00    153.60      0.00      3.01      0.02      0.30      1.44
02:01:54    nvme0n1p1     63.00     36.00    153.60      0.00      3.01      0.02      0.30      1.44
02:01:54    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:54    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:54    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:59        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:59        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:59        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:59        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:59      nvme0n1     51.80     28.00    117.60      0.00      2.81      0.02      0.29      1.22
02:01:59    nvme0n1p1     51.80     28.00    117.60      0.00      2.81      0.01      0.29      1.22
02:01:59    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:59    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:01:59    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:04        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:04        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:04        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:04        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:04      nvme0n1    233.60      1.60   2807.20      0.00     12.02      2.50     10.69      0.66
02:02:04    nvme0n1p1    233.60      1.60   2807.20      0.00     12.02      2.50     10.69      0.74
02:02:04    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:04    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:04    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:09      nvme0n1     42.60      0.00    406.40      0.00      9.54      0.03      0.75      0.20
02:02:09    nvme0n1p1     42.60      0.00    406.40      0.00      9.54      0.03      0.75      0.20
02:02:09    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:09    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:09    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:14        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:14        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:14        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:14      nvme0n1      1.60      0.00     18.40      0.00     11.50      0.00      1.12      0.04
02:02:14    nvme0n1p1      1.60      0.00     18.40      0.00     11.50      0.00      1.25      0.04
02:02:14    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:02:14    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
