Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(4 CPU)

02:56:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:56:16        all      0.15      0.00      0.15      0.00      0.00     99.70
02:56:21        all     15.77      0.00      0.60      0.05      0.00     83.58
02:56:26        all     30.38      0.00      1.06      0.05      0.00     68.51
02:56:31        all     28.39      0.00      1.06      0.05      0.00     70.50
02:56:36        all      9.45      0.00      0.55      0.00      0.00     89.99
02:56:41        all      0.20      0.00      0.10      0.00      0.00     99.70
02:56:46        all      0.55      0.00      0.15      0.10      0.00     99.20
02:56:51        all     27.53      0.00      0.96      0.00      0.00     71.51
02:56:56        all     14.63      0.00      0.55      0.00      0.00     84.82
02:57:01        all     13.36      0.00      1.40      0.05      0.00     85.19
02:57:06        all      7.23      0.00      0.60      0.15      0.00     92.02
02:57:11        all      8.40      0.00      0.70      0.00      0.00     90.90
02:57:16        all      0.10      0.00      0.05      0.00      0.00     99.85
Average:        all     12.00      0.00      0.61      0.03      0.00     87.36

02:56:11    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:56:16      3879572  12630904   2309772     15.02     94308   8715764   2815228     18.31   2330504   8572728      2828
02:56:21      3855028  12606368   2334292     15.18     94308   8715772   2834116     18.43   2368968   8572736      2832
02:56:26      3815460  12566808   2373820     15.44     94308   8715780   2857320     18.58   2407136   8572744      2832
02:56:31      3767224  12518580   2422016     15.75     94308   8715788   2872596     18.68   2453784   8572752      2640
02:56:36      3767428  12518792   2421804     15.75     94308   8715796   2880240     18.73   2454156   8572760      2648
02:56:41      3775200  12526564   2414024     15.70     94308   8715804   2880240     18.73   2447360   8572760      2756
02:56:46      3775452  12526832   2413764     15.70     94308   8715812   2880240     18.73   2447328   8572776       104
02:56:51      3734124  12485512   2455084     15.97     94308   8715820   2888456     18.78   2488508   8572784      1900
02:56:56      3729280  12480676   2459920     16.00     94308   8715828   2893400     18.82   2499696   8572792      3392
02:57:01      3719780  12471232   2469364     16.06     94308   8715884   2898748     18.85   2517780   8572848     20656
02:57:06      3716356  12467816   2472780     16.08     94312   8715888   2899728     18.86   2522032   8572856     22568
02:57:11      3710560  12462044   2478552     16.12     94312   8715912   2906500     18.90   2529168   8572880     23284
02:57:16      3706780  12458272   2482324     16.14     94312   8715920   2906500     18.90   2529300   8572888     23628
Average:      3765557  12516954   2423655     15.76     94309   8715828   2877947     18.72   2461209   8572793      8621

02:56:11          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:56:16        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:16        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:16        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:16        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:16      nvme0n1      0.60      0.00     32.00      0.00     53.33      0.00      1.00      0.04
02:56:16    nvme0n1p1      0.60      0.00     32.00      0.00     53.33      0.00      1.00      0.04
02:56:16    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:16    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:16    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:21        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:21        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:21        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:21        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:21      nvme0n1      6.20      0.00     16.00      0.00      2.58      0.00      0.39      0.28
02:56:21    nvme0n1p1      6.20      0.00     16.00      0.00      2.58      0.00      0.39      0.28
02:56:21    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:21    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:21    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:26      nvme0n1      2.80      0.00      8.00      0.00      2.86      0.00      0.43      0.10
02:56:26    nvme0n1p1      2.80      0.00      8.00      0.00      2.86      0.00      0.43      0.10
02:56:26    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:26    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:26    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:56:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
