Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(4 CPU)

02:58:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:58:16        all      0.10      0.00      0.15      0.00      0.00     99.75
02:58:21        all     73.51      0.00      2.11      0.00      0.00     24.37
02:58:26        all      0.15      0.00      0.05      0.00      0.00     99.80
02:58:31        all      0.05      0.00      0.05      0.00      0.00     99.90
02:58:36        all     74.56      0.00      3.47      0.10      0.00     21.87
02:58:41        all     13.99      0.00      1.30      0.05      0.00     84.65
Average:        all     27.00      0.00      1.19      0.03      0.00     71.79

02:58:11    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:58:16      4058728  12810992   2129424     13.85     94520   8716344   2671476     17.37   2149928   8573244      3092
02:58:21      3979424  12731696   2208588     14.36     94520   8716352   2747796     17.87   2233476   8573252      3100
02:58:26      3987328  12739608   2200672     14.31     94520   8716360   2744820     17.85   2232096   8573260      3124
02:58:31      3994240  12746520   2193752     14.27     94520   8716368   2744820     17.85   2232096   8573260      3132
02:58:36      3955504  12707872   2232308     14.52     94520   8716448   2760736     17.95   2275768   8573348     15868
02:58:41      3955700  12708176   2232004     14.52     94520   8716556   2761964     17.96   2278484   8573456     19328
Average:      3988487  12740811   2199458     14.30     94520   8716405   2738602     17.81   2233641   8573303      7941

02:58:11          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:58:16        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:16        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:16        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:16        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:16      nvme0n1      0.60      0.00     30.40      0.00     50.67      0.00      1.00      0.04
02:58:16    nvme0n1p1      0.60      0.00     30.40      0.00     50.67      0.00      1.00      0.04
02:58:16    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:16    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:16    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:21        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:21        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:21        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:21        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:21      nvme0n1     15.60      0.00     42.40      0.00      2.72      0.01      0.37      0.68
02:58:21    nvme0n1p1     15.60      0.00     42.40      0.00      2.72      0.01      0.37      0.68
02:58:21    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:21    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:21    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:26      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:26    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:26    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:26    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:26    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:31        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:31      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:31    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:31    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:31    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:31    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:36        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:36        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:36        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:36        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:36      nvme0n1     62.20      0.00    577.60      0.00      9.29      0.10      1.66      0.76
02:58:36    nvme0n1p1     62.20      0.00    577.60      0.00      9.29      0.10      1.66      0.78
02:58:36    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:36    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:36    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:41        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:41      nvme0n1      3.40      0.00     41.60      0.80     12.47      0.00      0.71      0.10
02:58:41    nvme0n1p1      3.40      0.00     41.60      0.80     12.47      0.00      0.71      0.10
02:58:41    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:41    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:58:41    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
