Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(4 CPU)

02:54:03        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:54:08        all     33.40      0.00      3.26      0.92      0.00     62.42
02:54:13        all     83.37      0.00      3.02      0.00      0.00     13.61
02:54:18        all     94.03      0.00      5.07      0.00      0.00      0.90
02:54:23        all     91.93      0.00      6.67      0.00      0.00      1.40
02:54:28        all     79.61      0.00      9.12      0.00      0.00     11.27
02:54:33        all      0.30      0.00      0.10      0.15      0.00     99.45
02:54:38        all      4.13      0.00      1.02      0.05      0.00     94.80
02:54:43        all     78.45      0.00      7.48      0.15      0.00     13.91
02:54:48        all     88.99      0.00      9.60      0.00      0.00      1.41
02:54:53        all     89.47      0.00      9.33      0.00      0.00      1.20
02:54:58        all     89.88      0.00      9.02      0.00      0.00      1.10
02:55:03        all     89.43      0.00      9.62      0.00      0.00      0.95
02:55:08        all     90.21      0.00      8.84      0.00      0.00      0.95
02:55:13        all     21.84      0.00      2.86      0.00      0.00     75.30
Average:        all     66.89      0.00      6.08      0.09      0.00     26.94

02:54:03    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:54:08      3799044  12549256   2391352     15.55     94060   8715112   3042840     19.79   2331660   8572092       336
02:54:13      3596212  12346432   2593876     16.87     94060   8715120   3220376     20.94   2524628   8572100       184
02:54:18      3571324  12322060   2618216     17.03     94060   8715636   3257256     21.18   2577648   8572616     41556
02:54:23      3634112  12384872   2555404     16.62     94060   8715660   3262476     21.22   2564388   8572640     46752
02:54:28      2922168  11672952   3267304     21.25     94060   8715684   3972148     25.83   3293192   8572664     47612
02:54:33      2913960  11664748   3275500     21.30     94060   8715692   3972412     25.83   3289292   8572664     31692
02:54:38      2826264  11576896   3363304     21.87     94060   8715528   3980348     25.89   3379464   8572508     28296
02:54:43      2795632  11547336   3392860     22.07     94060   8716600   3994060     25.98   3399668   8573580     31244
02:54:48      2802452  11554304   3385908     22.02     94060   8716752   3996448     25.99   3399072   8573728     49936
02:54:53      2800076  11551964   3388220     22.04     94060   8716784   3997540     26.00   3406152   8573764     51248
02:54:58      2800172  11552092   3388048     22.03     94060   8716812   3998380     26.00   3406076   8573792     54184
02:55:03      2801400  11553360   3386720     22.03     94060   8716852   3999088     26.01   3407368   8573832     55428
02:55:08      2805724  11557720   3382360     22.00     94060   8716888   3999156     26.01   3405548   8573868     55532
02:55:13      2804464  11556476   3383632     22.01     94060   8716904   3999140     26.01   3406784   8573884     55748
Average:      3062357  11813605   3126622     20.33     94060   8716145   3763691     24.48   3127924   8573124     39268

02:54:03          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:54:08        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:08        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:08        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:08        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:08      nvme0n1     61.40      0.00  13303.20     36.00    217.25      0.47      7.68      3.56
02:54:08    nvme0n1p1     61.40      0.00  13303.20     36.00    217.25      0.47      7.68      3.80
02:54:08    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:08    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:08    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:13        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:13        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:13        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:13        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:13      nvme0n1     27.00      0.00    103.20      0.00      3.82      0.01      0.32      0.50
02:54:13    nvme0n1p1     27.00      0.00    103.20      0.00      3.82      0.01      0.32      0.50
02:54:13    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:13    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:13    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:18        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:18        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:18        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:18        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:18      nvme0n1     97.60     45.60    239.20      0.00      2.92      0.03      0.29      2.18
02:54:18    nvme0n1p1     97.60     45.60    239.20      0.00      2.92      0.03      0.29      2.18
02:54:18    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:18    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:18    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:23        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:23        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:23        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:54:23        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
