Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(4 CPU)

02:52:04        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:52:09        all     26.17      0.00      2.81      0.87      0.00     70.15
02:52:14        all     78.91      0.00      2.98      0.05      0.00     18.06
02:52:19        all     94.03      0.00      5.17      0.00      0.00      0.80
02:52:24        all     93.18      0.00      6.17      0.00      0.00      0.65
02:52:29        all     85.39      0.00      8.58      0.00      0.00      6.02
02:52:34        all      0.10      0.00      0.15      0.20      0.00     99.55
02:52:39        all      4.13      0.00      1.07      0.00      0.00     94.80
02:52:44        all     69.12      0.00      7.30      0.15      0.00     23.43
02:52:49        all     89.30      0.00      9.59      0.05      0.00      1.05
02:52:54        all     85.47      0.00      9.70      0.05      0.00      4.78
02:52:59        all     88.50      0.00     10.19      0.05      0.00      1.26
02:53:04        all     89.11      0.00      9.64      0.00      0.00      1.26
02:53:09        all     90.34      0.00      8.86      0.00      0.00      0.80
02:53:14        all     46.73      0.00      6.43      0.55      0.00     46.28
Average:        all     67.29      0.00      6.34      0.14      0.00     26.23

02:52:04    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:52:09      3149668  11899072   3041852     19.78     93668   8714756   3721032     24.20   3001216   8571336       336
02:52:14      3066536  11815956   3124684     20.32     93668   8714764   3845296     25.01   3134580   8571352       196
02:52:19      3015304  11765112   3175524     20.65     93668   8715152   3880264     25.24   3186672   8571740     32760
02:52:24      3009148  11759108   3181528     20.69     93668   8715304   3885676     25.27   3194312   8571892     46640
02:52:29      3011324  11761308   3179296     20.68     93668   8715328   3888740     25.29   3210224   8571916     47368
02:52:34      3023812  11773804   3166800     20.60     93668   8715336   3888740     25.29   3205292   8571924     28428
02:52:39      2917124  11666932   3273668     21.29     93672   8715176   3895136     25.33   3300700   8571764     28212
02:52:44      2915764  11665732   3274756     21.30     93672   8715332   3898688     25.35   3303244   8571924     15452
02:52:49      2900048  11650184   3290300     21.40     93672   8715504   3899844     25.36   3318616   8572096     33620
02:52:54      2898344  11648668   3291820     21.41     93672   8715688   3902032     25.38   3321980   8572280     47292
02:52:59      2898464  11649172   3291312     21.40     93672   8716072   3903388     25.39   3325668   8572664     61576
02:53:04      2898120  11649072   3291412     21.41     93672   8716316   3903580     25.39   3330652   8572908     71408
02:53:09      2895600  11646752   3293724     21.42     93672   8716520   3904164     25.39   3333664   8573108     76728
02:53:14      2886528  11637708   3302952     21.48     93672   8716544   3904344     25.39   3339268   8573136      5304
Average:      2963270  11713470   3227116     20.99     93670   8715557   3880066     25.23   3250435   8572146     35380

02:52:04          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:52:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:09      nvme0n1     60.80      0.00  13189.60     29.60    217.42      0.91     14.95      3.60
02:52:09    nvme0n1p1     60.80      0.00  13189.60     29.60    217.42      0.91     14.95      3.76
02:52:09    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:09    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:09    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:14        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:14        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:14        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:14      nvme0n1     39.60      0.00    139.20      0.00      3.52      0.01      0.30      1.00
02:52:14    nvme0n1p1     39.60      0.00    139.20      0.00      3.52      0.01      0.30      1.00
02:52:14    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:14    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:14    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:19        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:19      nvme0n1     63.80     31.20    151.20      0.00      2.86      0.02      0.31      1.68
02:52:19    nvme0n1p1     63.80     31.20    151.20      0.00      2.86      0.02      0.31      1.68
02:52:19    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:19    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:19    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:24        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:24        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:24        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:24        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:24      nvme0n1     20.80     14.40     48.80      0.00      3.04      0.01      0.28      0.52
02:52:24    nvme0n1p1     20.80     14.40     48.80      0.00      3.04      0.01      0.28      0.52
02:52:24    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:24    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:24    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:29        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:29        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:29        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:29        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:29      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:29    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:29    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:29    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:29    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:34        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:34        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:34        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:34        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:52:34      nvme0n1     65.60      0.00   1184.80      0.00     18.06      0.05      0.83      0.68
02:52:34    nvme0n1p1     65.60      0.00   1184.80      0.00     18.06      0.05      0.83      0.70
