Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(8 CPU)

03:41:50        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:41:55        all      0.05      0.00      0.03      0.00      0.00     99.92
03:42:00        all      5.74      0.00      0.28      0.03      0.00     93.96
03:42:05        all     12.16      0.00      0.45      0.03      0.00     87.36
03:42:10        all     12.74      0.00      0.50      0.03      0.00     86.73
03:42:15        all      3.76      0.00      0.23      0.03      0.00     95.99
03:42:20        all      0.03      0.00      0.05      0.00      0.00     99.92
03:42:25        all      0.73      0.00      0.10      0.00      0.00     99.17
03:42:30        all     13.77      0.00      0.55      0.00      0.00     85.67
03:42:35        all      4.71      0.00      0.25      0.03      0.00     95.01
03:42:40        all      6.64      0.00      0.53      0.03      0.00     92.81
03:42:45        all      4.16      0.00      0.33      0.05      0.00     95.46
03:42:50        all      4.79      0.00      0.33      0.00      0.00     94.89
03:42:55        all      0.00      0.00      0.03      0.00      0.00     99.97
Average:        all      5.32      0.00      0.28      0.02      0.00     94.38

03:41:50    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
03:41:55     19877400  28420196   2787944      8.75     80764   8720580   3394444     10.65   2749628   8563992       268
03:42:00     19825324  28368120   2840108      8.91     80764   8720588   3412448     10.71   2790464   8563992       116
03:42:05     19801320  28344148   2864068      8.99     80764   8720600   3436072     10.78   2834780   8564024       128
03:42:10     19761888  28304728   2903476      9.11     80764   8720612   3449868     10.83   2892408   8564036       140
03:42:15     19746720  28289572   2918632      9.16     80764   8720624   3453664     10.84   2902520   8564048       152
03:42:20     19746720  28289572   2918616      9.16     80768   8720636   3453664     10.84   2902344   8564048        72
03:42:25     19722780  28265652   2942548      9.23     80768   8720644   3454116     10.84   2929352   8564068         0
03:42:30     19703304  28246192   2962020      9.30     80768   8720656   3459392     10.86   2944940   8564084      2056
03:42:35     19700532  28243432   2964780      9.30     80768   8720668   3461192     10.86   2952972   8564096      3676
03:42:40     19679368  28222336   2985876      9.37     80768   8720736   3462720     10.87   2975568   8564164     21592
03:42:45     19662908  28205884   3002328      9.42     80768   8720744   3465296     10.87   2989644   8564172     21600
03:42:50     19663700  28206708   3001504      9.42     80772   8720772   3466456     10.88   2995432   8564204     22644
03:42:55     19663700  28206708   3001492      9.42     80772   8720784   3466456     10.88   2995432   8564204     22656
Average:     19735051  28277942   2930261      9.20     80767   8720665   3448907     10.82   2911960   8564087      7315

03:41:50          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
03:41:55        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:41:55        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:41:55        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:41:55        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:41:55      nvme0n1      7.00      0.00    516.80      0.00     73.83      0.01      1.26      0.14
03:41:55    nvme0n1p1      7.00      0.00    516.80      0.00     73.83      0.01      1.29      0.14
03:41:55    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:41:55    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:41:55    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:00        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:00        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:00        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:00        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:00      nvme0n1      6.60      0.00     47.20      0.00      7.15      0.00      0.36      0.22
03:42:00    nvme0n1p1      6.60      0.00     47.20      0.00      7.15      0.00      0.36      0.22
03:42:00    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:00    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:00    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:05        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:05        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:05        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:05        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:05      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.04
03:42:05    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.04
03:42:05    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:05    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:05    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:10        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:10        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:10        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:10        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:10      nvme0n1      4.80      0.00     14.40      0.00      3.00      0.00      0.38      0.18
03:42:10    nvme0n1p1      4.80      0.00     14.40      0.00      3.00      0.00      0.38      0.18
03:42:10    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:10    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:10    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:15        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:15        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:15        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:15        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:15      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.10
03:42:15    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.10
03:42:15    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:15    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:15    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:20        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:20        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:20        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:20        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:20      nvme0n1      6.40      0.00     56.00      0.00      8.75      0.01      0.84      0.08
03:42:20    nvme0n1p1      6.40      0.00     56.00      0.00      8.75      0.01      0.84      0.08
03:42:20    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:20    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:20    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:25        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:25        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:25        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:25        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:25      nvme0n1      2.20      0.00     21.60      0.00      9.82      0.00      0.45      0.10
03:42:25    nvme0n1p1      2.20      0.00     21.60      0.00      9.82      0.00      0.45      0.10
03:42:25    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:42:25    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
