Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(8 CPU)

03:40:12        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:40:17        all      2.90      0.00      0.92      0.00      0.00     96.18
03:40:22        all     82.26      0.00      3.25      0.08      0.00     14.42
03:40:27        all     87.59      0.00      7.66      0.03      0.00      4.72
03:40:32        all     21.82      0.00      2.88      0.00      0.00     75.30
03:40:37        all      1.77      0.00      0.58      0.03      0.00     97.62
03:40:42        all     47.92      0.00      5.74      0.20      0.00     46.15
03:40:47        all     84.00      0.00     12.43      0.15      0.00      3.42
03:40:52        all     83.92      0.00     12.87      0.00      0.00      3.22
03:40:57        all     51.87      0.00      8.68      0.00      0.00     39.45
03:41:02        all      1.10      0.00      0.15      0.00      0.00     98.75
Average:        all     46.57      0.00      5.52      0.05      0.00     47.86

03:40:12    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
03:40:17     19686776  28228552   2979780      9.35     80452   8720188   3990892     12.52   2875816   8563308      2816
03:40:22     19473452  28015276   3192544     10.02     80452   8720236   4334412     13.60   3162436   8563356     13040
03:40:27     19203064  27745432   3462388     10.87     80452   8720780   4591440     14.41   3441328   8563900     51184
03:40:32     19197664  27740052   3467768     10.88     80452   8720800   4594660     14.42   3440556   8563920     51716
03:40:37     19099288  27641504   3566284     11.19     80452   8720636   4603708     14.45   3552800   8563756     51676
03:40:42     19064160  27606868   3600888     11.30     80452   8721128   4609444     14.47   3566316   8564248     68872
03:40:47     19053184  27596640   3611116     11.33     80452   8721876   4612792     14.48   3582608   8564996     99308
03:40:52     19051484  27595016   3612740     11.34     80452   8721948   4613512     14.48   3600120   8565068     25720
03:40:57     19042668  27586236   3621520     11.37     80452   8721984   4613820     14.48   3603236   8565104     26268
03:41:02     19002412  27545984   3661768     11.49     80452   8721996   4628960     14.53   3645648   8565108     26280
Average:     19187415  27730156   3477680     10.91     80452   8721157   4519364     14.18   3447086   8564276     41688

03:40:12          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
03:40:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:17      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:17    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:17    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:17    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:17    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:22      nvme0n1     44.60      0.00    604.80      0.00     13.56      0.03      0.56      1.32
03:40:22    nvme0n1p1     44.60      0.00    604.80      0.00     13.56      0.02      0.56      1.32
03:40:22    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:22    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:22    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:27        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:27      nvme0n1     86.60     45.60    236.00      0.00      3.25      0.03      0.33      2.66
03:40:27    nvme0n1p1     86.60     45.60    236.00      0.00      3.25      0.03      0.33      2.66
