Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(8 CPU)

03:38:26        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:38:31        all      2.97      0.00      1.07      0.00      0.00     95.96
03:38:36        all     72.93      0.00      3.46      0.08      0.00     23.53
03:38:41        all     87.05      0.00      7.21      0.05      0.00      5.68
03:38:46        all     29.41      0.00      3.89      0.03      0.00     66.68
03:38:51        all      1.82      0.00      0.53      0.00      0.00     97.65
03:38:56        all     12.55      0.00      1.96      0.20      0.00     85.28
03:39:01        all     38.04      0.00      5.00      0.13      0.00     56.84
03:39:06        all     33.84      0.00      4.89      0.20      0.00     61.07
03:39:11        all     30.64      0.00      4.23      0.15      0.00     64.98
03:39:16        all     38.43      0.00      5.13      0.18      0.00     56.26
03:39:21        all     43.67      0.00      5.46      0.20      0.00     50.67
03:39:26        all     15.06      0.00      2.66      0.08      0.00     82.20
03:39:31        all      0.88      0.00      0.15      0.10      0.00     98.87
Average:        all     31.32      0.00      3.50      0.11      0.00     65.07

03:38:26    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
03:38:31     19635576  28176280   3032668      9.52     80076   8719680   4065768     12.76   2917524   8562552      2624
03:38:36     19377548  27918300   3290156     10.33     80076   8719728   4359488     13.68   3230772   8562600     11356
03:38:41     19076164  27617340   3591116     11.27     80076   8720152   4636428     14.55   3528984   8563024     45368
03:38:46     19085976  27627284   3581172     11.24     80076   8720284   4641748     14.57   3535060   8563156     50836
03:38:51     18968732  27509880   3698476     11.61     80076   8720124   4651904     14.60   3649212   8562996     50804
03:38:56     18981860  27523072   3685316     11.57     80076   8720188   4653260     14.60   3641248   8563060     41776
03:39:01     18978476  27519884   3688504     11.58     80076   8720384   4655576     14.61   3652548   8563256     56780
03:39:06     18979620  27521180   3687148     11.57     80076   8720540   4656800     14.61   3656816   8563408     26164
03:39:11     18978876  27520660   3687672     11.57     80076   8720760   4658432     14.62   3663200   8563632     40168
03:39:16     18973452  27515620   3692708     11.59     80076   8721144   4659076     14.62   3671676   8564016     56904
03:39:21     18959300  27501732   3706596     11.63     80076   8721408   4660492     14.63   3682836   8564280     68328
03:39:26     18956316  27498848   3709508     11.64     80080   8721504   4660816     14.63   3687800   8564380     66076
03:39:31     18915240  27457772   3750572     11.77     80080   8721516   4686084     14.71   3723040   8564380     48556
Average:     19066703  27608296   3600124     11.30     80077   8720570   4588144     14.40   3556978   8563442     43518

03:38:26          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
03:38:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:31        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:31      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:31    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:31    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:31    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:31    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:36        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:36        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:36        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:36        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:36      nvme0n1     55.40      0.00    584.00      0.00     10.54      0.03      0.54      1.52
03:38:36    nvme0n1p1     55.40      0.00    584.00      0.00     10.54      0.03      0.54      1.52
03:38:36    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:36    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:36    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:41        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:41      nvme0n1     62.80     32.00    177.60      0.00      3.34      0.02      0.36      1.98
03:38:41    nvme0n1p1     62.80     32.00    177.60      0.00      3.34      0.02      0.36      1.98
03:38:41    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:41    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:41    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:46        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:46        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:38:46        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
