run,cores,variant,location,load,query,count,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms
ResultsRun1,2,baseline,local,low,LdbcQuery1,25,38.52,39,79,81,86
ResultsRun1,2,baseline,local,low,LdbcQuery10,22,339.22727272727275,305,490,497,592
ResultsRun1,2,baseline,local,low,LdbcQuery11,41,30.097560975609756,28,47,48,72
ResultsRun1,2,baseline,local,low,LdbcQuery12,15,306.6666666666667,268,458,458,469
ResultsRun1,2,baseline,local,low,LdbcQuery13,35,4.6,4,7,7,12
ResultsRun1,2,baseline,local,low,LdbcQuery14,13,501.7692307692308,454,1024,1024,1229
ResultsRun1,2,baseline,local,low,LdbcQuery2,18,52.611111111111114,27,63,86,371
ResultsRun1,2,baseline,local,low,LdbcQuery3,10,1778.8,1793,1845,1942,1942
ResultsRun1,2,baseline,local,low,LdbcQuery4,19,27.63157894736842,23,32,34,106
ResultsRun1,2,baseline,local,low,LdbcQuery5,11,1289.2727272727273,1396,1679,1679,1953
ResultsRun1,2,baseline,local,low,LdbcQuery6,5,1378.0,1273,1673,1673,1673
ResultsRun1,2,baseline,local,low,LdbcQuery7,8,56.625,30,89,143,143
ResultsRun1,2,baseline,local,low,LdbcQuery8,15,3.8,3,7,7,8
ResultsRun1,2,baseline,local,low,LdbcQuery9,4,2136.75,1988,2677,2677,2677
ResultsRun1,2,baseline,local,low,LdbcShortQuery1PersonProfile,280,2.1535714285714285,1,4,5,18
ResultsRun1,2,baseline,local,low,LdbcShortQuery2PersonPosts,280,4.564285714285714,3,9,13,34
ResultsRun1,2,baseline,local,low,LdbcShortQuery3PersonFriends,280,2.85,2,5,8,19
ResultsRun1,2,baseline,local,low,LdbcShortQuery4MessageContent,280,1.9071428571428573,1,4,5,8
ResultsRun1,2,baseline,local,low,LdbcShortQuery5MessageCreator,280,1.8214285714285714,1,3,5,11
ResultsRun1,2,baseline,local,low,LdbcShortQuery6MessageForum,280,1.8821428571428571,1,3,4,13
ResultsRun1,2,baseline,local,low,LdbcShortQuery7MessageReplies,280,2.0214285714285714,1,4,5,11
ResultsRun1,2,baseline,local,low,LdbcUpdate2AddPostLike,88,4.545454545454546,4,7,8,9
ResultsRun1,2,baseline,local,low,LdbcUpdate3AddCommentLike,121,4.404958677685951,4,7,9,17
ResultsRun1,2,baseline,local,low,LdbcUpdate4AddForum,7,6.0,5,7,10,10
ResultsRun1,2,baseline,local,low,LdbcUpdate5AddForumMembership,297,4.006734006734007,4,6,7,7
ResultsRun1,2,baseline,local,low,LdbcUpdate6AddPost,59,5.8474576271186445,5,8,11,14
ResultsRun1,2,baseline,local,low,LdbcUpdate7AddComment,94,6.117021276595745,5,10,11,13
ResultsRun1,2,baseline,local,low,LdbcUpdate8AddFriendship,12,3.75,4,5,5,6
ResultsRun1,2,baseline,local,medium,LdbcQuery1,25,63.84,63,127,130,170
ResultsRun1,2,baseline,local,medium,LdbcQuery10,22,474.90909090909093,462,577,677,687
ResultsRun1,2,baseline,local,medium,LdbcQuery11,41,45.53658536585366,45,72,86,104
ResultsRun1,2,baseline,local,medium,LdbcQuery12,15,456.6,439,567,567,656
ResultsRun1,2,baseline,local,medium,LdbcQuery13,35,4.6571428571428575,4,8,10,14
ResultsRun1,2,baseline,local,medium,LdbcQuery14,13,792.9230769230769,725,1550,1550,1967
ResultsRun1,2,baseline,local,medium,LdbcQuery2,18,85.22222222222223,44,113,145,630
ResultsRun1,2,baseline,local,medium,LdbcQuery3,10,3034.1,2861,3390,3900,3900
ResultsRun1,2,baseline,local,medium,LdbcQuery4,19,28.63157894736842,27,42,49,51
ResultsRun1,2,baseline,local,medium,LdbcQuery5,11,2196.818181818182,2441,2837,2837,3486
ResultsRun1,2,baseline,local,medium,LdbcQuery6,5,2513.2,2396,3071,3071,3071
ResultsRun1,2,baseline,local,medium,LdbcQuery7,8,77.875,62,68,206,206
ResultsRun1,2,baseline,local,medium,LdbcQuery8,15,2.8666666666666667,2,6,6,11
ResultsRun1,2,baseline,local,medium,LdbcQuery9,4,3616.25,3227,4286,4286,4286
ResultsRun1,2,baseline,local,medium,LdbcShortQuery1PersonProfile,286,2.4405594405594404,2,4,6,15
ResultsRun1,2,baseline,local,medium,LdbcShortQuery2PersonPosts,286,6.744755244755245,4,9,16,54
ResultsRun1,2,baseline,local,medium,LdbcShortQuery3PersonFriends,286,3.909090909090909,3,6,9,23
ResultsRun1,2,baseline,local,medium,LdbcShortQuery4MessageContent,292,2.3013698630136985,2,4,4,8
ResultsRun1,2,baseline,local,medium,LdbcShortQuery5MessageCreator,292,2.1815068493150687,1,4,4,16
ResultsRun1,2,baseline,local,medium,LdbcShortQuery6MessageForum,292,2.654109589041096,1,4,5,19
ResultsRun1,2,baseline,local,medium,LdbcShortQuery7MessageReplies,292,2.482876712328767,2,4,6,16
ResultsRun1,2,baseline,local,medium,LdbcUpdate2AddPostLike,88,9.159090909090908,7,12,18,58
ResultsRun1,2,baseline,local,medium,LdbcUpdate3AddCommentLike,121,8.256198347107437,7,12,17,24
ResultsRun1,2,baseline,local,medium,LdbcUpdate4AddForum,7,11.571428571428571,8,16,21,21
ResultsRun1,2,baseline,local,medium,LdbcUpdate5AddForumMembership,297,8.478114478114477,7,12,16,30
ResultsRun1,2,baseline,local,medium,LdbcUpdate6AddPost,59,11.135593220338983,9,15,18,25
ResultsRun1,2,baseline,local,medium,LdbcUpdate7AddComment,94,12.03191489361702,11,18,20,32
ResultsRun1,2,baseline,local,medium,LdbcUpdate8AddFriendship,12,10.75,8,15,15,25
ResultsRun1,2,baseline,local,high,LdbcQuery1,25,64.2,66,125,141,187
ResultsRun1,2,baseline,local,high,LdbcQuery10,22,477.77272727272725,466,582,622,623
ResultsRun1,2,baseline,local,high,LdbcQuery11,41,52.4390243902439,47,95,104,130
ResultsRun1,2,baseline,local,high,LdbcQuery12,15,492.0,454,681,681,784
ResultsRun1,2,baseline,local,high,LdbcQuery13,35,5.114285714285714,4,9,9,22
